LKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-27,31,27,23,20,19,18,78,63,48,1013,1011,1008,10,10,9,23,16,,0.00,4,,27<br />
2003-1-28,32,26,21,22,21,19,94,72,49,1012,1010,1008,10,9,8,27,14,,0.00,2,,24<br />
2003-1-29,31,27,23,23,21,19,89,73,49,1013,1011,1009,10,10,9,23,13,,0.00,3,,22<br />
2003-1-30,31,26,21,22,20,19,88,72,52,1013,1011,1009,10,10,9,23,11,,0.00,4,,12<br />
2003-1-31,31,27,23,24,22,20,88,76,52,1014,1011,1009,10,10,9,19,8,,0.00,4,Thunderstorm,338<br />
2003-2-1,29,27,24,24,23,22,94,84,66,1014,1012,1010,10,9,7,13,6,,0.00,6,Thunderstorm,53<br />
2003-2-2,32,28,24,24,22,21,94,78,55,1014,1012,1009,10,9,4,26,6,,0.00,6,Rain,51<br />
2003-2-3,32,28,24,23,21,19,89,68,46,1013,1011,1009,10,10,8,23,10,,0.00,4,Rain,36<br />
2003-2-4,32,27,23,24,22,20,88,72,52,1013,1011,1008,10,9,7,23,11,,0.00,3,,21<br />
2003-2-5,32,28,24,23,22,20,94,71,49,1012,1010,1007,10,10,9,19,11,,0.00,3,,46<br />
2003-2-6,33,29,25,25,22,21,94,74,49,1011,1009,1007,10,10,9,14,5,,0.00,-431,Rain,64<br />
2003-2-7,32,27,23,25,23,20,94,82,49,1011,1008,1006,10,10,8,27,6,,0.00,3,Rain-Thunderstorm,14<br />
2003-2-8,32,28,24,23,22,20,94,75,49,1011,1008,1005,10,10,10,24,11,,0.00,4,,36<br />
2003-2-9,34,28,23,25,23,21,94,75,46,1008,1006,1003,10,10,7,23,14,,0.00,2,,20<br />
2003-2-10,34,29,25,23,22,20,89,69,44,1009,1006,1004,10,10,10,24,13,,0.00,2,,43<br />
2003-2-11,32,29,26,25,24,23,89,79,59,1010,1008,1005,10,10,9,34,11,,0.00,-831,,42<br />
2003-2-12,33,28,24,26,24,23,94,85,55,1011,1008,1005,10,10,9,19,8,,0.00,3,Rain,63<br />
2003-2-13,30,27,24,26,24,23,100,87,70,1011,1009,1006,10,10,7,19,10,,0.00,6,Rain,16<br />
2003-2-14,31,28,25,26,25,24,100,86,66,1011,1009,1007,10,10,7,19,5,,0.00,4,,295<br />
2003-2-15,31,27,24,26,25,22,100,87,70,1013,1010,1008,10,10,7,21,5,,0.00,-2081,Thunderstorm,242<br />
2003-2-16,31,27,23,26,24,22,100,85,70,1014,1011,1009,10,10,8,19,3,,0.00,3,,272<br />
2003-2-17,32,28,24,25,23,20,94,79,49,1013,1011,1009,10,10,9,23,10,,0.00,2,,12<br />
2003-2-18,32,28,24,25,23,19,94,76,46,1014,1011,1009,10,10,9,16,6,,0.00,2,,343<br />
2003-2-19,31,16,2,24,21,-22,94,76,16,1013,1011,1009,10,8,4,19,3,,0.00,1,,313<br />
2003-2-20,31,26,22,25,23,21,100,80,58,1013,1011,1009,10,9,7,16,3,,0.00,1,,300<br />
2003-2-21,30,26,22,24,22,21,100,80,58,1014,1011,1009,10,9,4,19,3,,0.00,1,,310<br />
2003-2-22,31,27,23,24,23,22,94,79,62,1014,1011,1008,10,9,7,23,5,,0.00,1,,310<br />
2003-2-23,32,27,22,25,23,21,94,79,59,1012,1010,1007,10,10,8,21,10,,0.00,2,,25<br />
2003-2-24,33,28,23,25,22,12,94,73,28,1012,1010,1008,10,10,9,23,6,,0.00,1,,334<br />
2003-2-25,31,27,23,25,23,22,94,80,62,1013,1010,1008,10,9,5,23,5,,0.00,1,,258<br />
2003-2-26,31,27,23,24,23,23,100,82,62,1012,1010,1008,10,9,4,19,5,,0.00,1,,264<br />
2003-2-27,31,27,24,24,23,21,94,78,58,1012,1010,1007,10,9,4,26,5,,0.00,2,,317<br />
2003-2-28,32,26,20,25,22,18,94,76,52,1012,1009,1007,10,10,9,23,11,,0.00,2,,7<br />
2003-3-1,33,28,23,24,21,17,89,69,43,1012,1009,1007,10,10,9,26,10,,0.00,3,,7<br />
2003-3-2,31,26,22,23,21,19,94,72,49,1011,1009,1007,10,9,8,24,6,,0.00,2,,318<br />
2003-3-3,32,27,23,23,22,20,94,71,52,1011,1009,1006,10,9,6,23,5,,0.00,2,,277<br />
2003-3-4,32,28,24,24,23,22,94,75,58,1010,1008,1005,10,9,6,21,3,,0.00,3,,289<br />
2003-3-5,31,28,25,25,24,23,94,81,62,1009,1008,1006,10,10,9,21,8,,0.00,4,Rain,221<br />
2003-3-6,32,28,25,25,24,24,94,81,62,1011,1008,1006,10,9,6,14,5,,0.00,-1426,Rain-Thunderstorm,286<br />
2003-3-7,32,28,24,25,24,23,100,83,66,1010,1008,1005,10,9,4,26,10,,0.00,-2220,Rain-Thunderstorm,329<br />
2003-3-8,32,27,23,26,23,21,100,82,59,1011,1008,1006,10,8,1,16,3,,0.00,2,Fog,286<br />
2003-3-9,33,28,23,26,24,19,94,75,46,1011,1009,1007,10,10,9,23,10,,0.00,2,,321<br />
2003-3-10,32,28,24,25,23,18,94,75,46,1012,1009,1007,10,9,7,19,3,,0.00,1,,298<br />
2003-3-11,31,28,25,25,24,22,94,79,62,1011,1009,1007,10,9,4,16,6,,0.00,4,,218<br />
2003-3-12,31,28,25,25,24,23,94,82,66,1011,1009,1007,10,9,6,16,3,,0.00,5,Rain-Thunderstorm,254<br />
2003-3-13,32,28,24,26,24,22,94,82,66,1013,1011,1008,10,10,9,23,6,,0.00,-2081,Rain-Thunderstorm,280<br />
2003-3-14,32,28,24,25,24,22,100,82,66,1014,1011,1009,10,10,9,19,5,,0.00,-3180,Rain-Thunderstorm,268<br />
2003-3-15,31,27,24,26,24,23,100,86,70,1012,1010,1007,10,9,5,21,3,,0.00,-831,Rain-Thunderstorm,296<br />
2003-3-16,31,27,24,25,24,23,100,83,70,1012,1009,1007,10,10,8,19,3,,0.00,-415,,273<br />
2003-3-17,31,28,25,25,24,23,94,86,66,1012,1010,1008,10,9,8,19,3,,0.00,-1664,Rain-Thunderstorm,280<br />
2003-3-18,31,27,24,25,24,23,100,86,66,1013,1011,1008,10,10,9,19,3,,0.00,-2914,Rain-Thunderstorm,334<br />
2003-3-19,31,27,23,25,24,23,100,87,62,1012,1010,1007,10,9,1,23,3,,0.00,-1735,Rain-Thunderstorm,280<br />
2003-3-20,31,27,23,25,24,22,100,85,66,1012,1010,1006,10,10,7,14,3,,0.00,-2170,Rain-Thunderstorm,294<br />
2003-3-21,31,27,23,25,24,23,100,85,70,1010,1008,1006,10,10,8,19,8,,0.00,-1361,Rain-Thunderstorm,271<br />
2003-3-22,32,28,24,26,24,22,100,79,55,1011,1009,1007,10,10,8,19,5,,0.00,1,,166<br />
2003-3-23,33,28,23,25,23,20,94,78,46,1012,1009,1007,10,9,3,37,10,,0.00,-475,Rain-Thunderstorm,18<br />
2003-3-24,33,28,23,25,23,22,100,82,55,1011,1009,1006,10,10,9,23,3,,0.00,2,,355<br />
2003-3-25,32,28,24,25,24,23,94,82,66,1011,1009,1007,10,10,9,19,3,,0.00,3,,301<br />
2003-3-26,32,28,24,25,24,22,94,80,66,1012,1010,1008,10,10,7,19,6,,0.00,-451,,296<br />
2003-3-27,31,28,25,26,25,24,94,83,70,1012,1010,1008,10,10,9,19,5,,0.00,-452,Rain,266<br />
2003-3-28,32,28,24,25,24,23,94,80,66,1012,1009,1007,10,10,9,19,5,,0.00,2,,274<br />
2003-3-29,32,28,25,25,24,22,94,77,58,1010,1008,1005,10,10,8,19,6,,0.00,2,,252<br />
2003-3-30,32,28,25,25,24,24,94,80,66,1011,1008,1006,10,10,9,19,5,,0.00,1,,250<br />
2003-3-31,32,28,25,25,24,24,94,79,66,1027,1009,1007,10,10,8,23,6,,0.00,2,,235<br />
2003-4-1,33,29,25,26,25,24,100,79,66,1011,1008,1006,10,10,7,19,5,,0.00,3,,239<br />
2003-4-2,32,29,26,26,26,23,94,79,66,1010,1008,1006,10,9,7,23,6,,0.00,-473,Rain-Thunderstorm,233<br />
2003-4-3,32,28,24,25,24,23,94,79,59,1012,1009,1007,10,10,8,19,3,,0.00,4,Rain-Thunderstorm,243<br />
2003-4-4,32,28,25,26,24,23,94,79,66,1010,1009,1007,10,10,8,21,5,,0.00,2,,262<br />
2003-4-5,32,28,25,26,25,24,94,80,62,1009,1007,1005,10,10,8,16,6,,0.00,2,,209<br />
2003-4-6,33,29,25,26,25,23,94,80,59,1009,1008,1006,10,10,9,23,5,,0.00,2,,222<br />
2003-4-7,33,29,26,25,24,22,89,73,55,1011,1009,1008,10,10,9,21,3,,0.00,4,Thunderstorm,249<br />
2003-4-8,32,28,25,26,24,23,100,78,59,1011,1009,1007,10,9,7,23,3,,0.00,2,,270<br />
2003-4-9,33,29,25,25,23,22,94,77,52,1010,1009,1006,10,10,8,23,6,,0.00,-553,Rain-Thunderstorm,252<br />
2003-4-10,33,29,25,25,24,24,100,83,59,1011,1009,1007,10,10,8,19,5,,0.00,-452,Rain-Thunderstorm,229<br />
2003-4-11,34,29,24,26,24,24,100,83,59,1012,1010,1007,10,9,6,19,3,,0.00,-907,Rain-Thunderstorm,259<br />
2003-4-12,32,28,25,26,25,23,94,82,66,1012,1009,1007,10,10,9,19,5,,0.00,2,Thunderstorm,280<br />
2003-4-13,32,28,25,26,25,24,100,81,66,1010,1008,1005,10,10,9,19,5,,0.00,3,,249<br />
2003-4-14,32,28,24,26,25,23,100,88,70,1010,1009,1007,10,9,4,23,2,,0.00,-1736,Rain-Thunderstorm,253<br />
2003-4-15,33,28,24,26,24,23,100,85,62,1010,1008,1006,10,9,2,26,3,,0.00,-1736,Rain-Thunderstorm,64<br />
2003-4-16,32,28,25,26,25,24,94,84,66,1011,1009,1007,10,10,9,19,3,,0.00,-2172,Thunderstorm,275<br />
2003-4-17,33,29,25,25,24,23,94,79,59,1011,1009,1006,10,10,9,19,3,,0.00,4,Thunderstorm,289<br />
2003-4-18,32,28,25,26,25,24,94,83,70,1011,1009,1007,10,10,9,23,5,,0.00,-1362,Rain-Thunderstorm,193<br />
2003-4-19,32,28,24,26,24,23,94,80,66,1010,1007,1005,10,10,9,23,8,,0.00,2,,210<br />
2003-4-20,32,29,26,26,25,25,94,82,66,1009,1007,1005,10,10,10,19,5,,0.00,3,,182<br />
2003-4-21,32,16,0,25,23,-24,94,79,15,1009,1008,1006,10,10,9,23,5,,0.00,-1302,Rain,197<br />
2003-4-22,33,28,24,26,24,22,94,81,66,1010,1008,1006,10,10,9,21,6,,0.00,-2082,Rain-Thunderstorm,183<br />
2003-4-23,31,27,24,25,24,23,94,82,66,1011,1009,1008,10,10,9,19,5,,0.00,-431,,229<br />
2003-4-24,33,29,25,26,24,23,94,79,59,1010,1008,1005,10,10,9,19,5,,0.00,-414,,267<br />
2003-4-25,33,28,23,25,24,22,100,81,59,1008,1006,1004,10,9,1,23,5,,0.00,-433,Rain-Thunderstorm,228<br />
2003-4-26,32,28,24,26,24,23,100,86,66,1008,1006,1003,10,10,7,23,5,,0.00,-415,Rain,56<br />
2003-4-27,32,28,24,25,24,24,100,89,66,1008,1006,1003,10,9,7,16,5,,0.00,-1246,Rain-Thunderstorm,234<br />
2003-4-28,31,27,23,25,24,22,100,91,70,1008,1006,1004,10,9,1,23,3,,0.00,-1299,Rain-Thunderstorm,311<br />
2003-4-29,32,27,23,26,24,22,100,87,66,1009,1007,1005,10,10,9,21,3,,0.00,-2079,Thunderstorm,122<br />
2003-4-30,32,28,24,25,24,23,100,87,66,1010,1008,1006,10,9,5,23,5,,0.00,-1246,Rain-Thunderstorm,60<br />
2003-5-1,31,27,24,26,24,24,100,85,70,1009,1007,1005,10,10,9,19,8,,0.00,-1246,Rain,38<br />
2003-5-2,32,28,25,26,24,24,94,79,62,1009,1006,1004,10,10,10,19,5,,0.00,-432,,229<br />
2003-5-3,33,30,27,26,26,24,94,80,59,1008,1007,1005,10,10,10,21,6,,0.00,-415,,208<br />
2003-5-4,32,29,27,27,26,24,94,83,70,1008,1006,1005,10,10,9,21,11,,0.00,-664,Rain,216<br />
2003-5-5,32,29,26,26,26,25,94,82,70,1009,1006,1005,10,10,9,24,10,,0.00,5,,236<br />
2003-5-6,31,28,25,27,24,22,94,80,74,1010,1008,1006,10,10,6,27,18,,0.00,4,Rain,224<br />
2003-5-7,31,28,26,27,26,25,94,82,70,1010,1008,1006,10,10,9,23,11,,0.00,5,Rain,247<br />
2003-5-8,33,30,27,27,26,25,94,79,70,1009,1007,1005,10,10,10,21,8,,0.00,3,,242<br />
2003-5-9,32,30,29,27,26,26,84,79,70,1009,1007,1005,10,10,10,19,10,,0.00,5,,246<br />
2003-5-10,30,28,25,27,24,22,89,83,74,1008,1007,1005,10,10,9,19,10,,0.00,-2604,Rain-Thunderstorm,233<br />
2003-5-11,31,26,22,27,23,22,100,90,79,1007,1006,1004,10,9,0,47,3,,0.00,-946,Rain-Thunderstorm,133<br />
2003-5-12,31,27,23,28,24,22,100,91,74,1007,1005,1004,10,9,9,26,5,,0.00,-470,Rain-Thunderstorm,238<br />
2003-5-13,28,24,20,24,22,19,100,88,70,1010,1007,1004,10,9,5,42,8,,0.00,-411,Rain-Thunderstorm,162<br />
2003-5-14,31,27,23,27,25,22,100,86,70,1007,1006,1004,10,9,7,24,6,,0.00,-867,Rain-Thunderstorm,205<br />
2003-5-15,32,30,29,27,26,26,89,81,70,1008,1005,1004,10,10,6,29,21,,0.00,5,Rain,240<br />
2003-5-16,31,29,28,27,26,26,89,83,79,1009,1007,1005,10,9,9,29,18,,0.00,5,Rain-Thunderstorm,239<br />
2003-5-17,30,28,26,27,26,24,94,86,79,1010,1008,1006,10,10,7,27,11,,0.00,7,Rain-Thunderstorm,235<br />
2003-5-18,31,28,26,27,26,24,94,85,75,1010,1008,1006,10,10,9,23,8,,0.00,5,,231<br />
2003-5-19,31,30,29,27,26,23,84,81,70,1010,1008,1007,10,10,10,29,14,,0.00,4,,228<br />
2003-5-20,31,29,27,27,26,25,94,83,70,1011,1009,1008,10,10,10,21,6,,0.00,2,,238<br />
2003-5-21,32,29,27,27,26,25,94,83,70,1011,1010,1009,10,10,9,24,6,,0.00,3,,233<br />
2003-5-22,32,29,27,27,26,25,94,83,70,1011,1009,1007,10,10,9,23,6,,0.00,3,,217<br />
2003-5-23,31,28,26,26,25,24,100,79,70,1010,1008,1007,10,10,9,24,5,,0.00,3,,230<br />
2003-5-24,32,29,26,26,26,24,100,80,66,1010,1009,1007,10,10,8,21,5,,0.00,3,,225<br />
2003-5-25,32,29,26,26,26,26,100,83,70,1011,1010,1008,10,10,9,24,8,,0.00,2,,207<br />
2003-5-26,32,29,27,26,26,25,94,82,70,1012,1010,1008,10,10,10,26,10,,0.00,3,,223<br />
2003-5-27,31,29,27,26,26,25,94,82,70,1010,1009,1007,10,10,10,26,14,,0.00,4,,226<br />
2003-5-28,32,30,29,26,26,25,84,80,70,1010,1008,1006,10,10,10,26,13,,0.00,4,,225<br />
2003-5-29,32,30,28,27,26,26,89,81,70,1010,1008,1006,10,10,10,26,14,,0.00,3,,222<br />
2003-5-30,32,30,28,27,26,26,89,81,75,1010,1009,1007,10,10,10,26,13,,0.00,4,,222<br />
2003-5-31,32,29,27,27,26,24,94,81,70,1010,1009,1007,10,10,10,23,14,,0.00,-451,Thunderstorm,225<br />
2003-6-1,32,30,28,27,26,26,89,81,70,1008,1007,1005,10,10,10,24,10,,0.00,3,,227<br />
2003-6-2,32,30,28,26,26,25,84,78,66,1008,1007,1005,10,10,10,27,16,,0.00,3,,222<br />
2003-6-3,32,29,27,26,26,24,94,81,66,1009,1007,1006,10,10,9,24,14,,0.00,4,,215<br />
2003-6-4,31,29,27,26,26,25,94,82,70,1009,1007,1006,10,10,7,29,13,,0.00,4,Rain,214<br />
2003-6-5,31,28,26,25,25,24,94,80,70,1009,1008,1007,10,10,10,27,14,,0.00,4,,219<br />
2003-6-6,31,28,26,26,24,24,94,80,66,1009,1007,1006,10,10,8,27,11,,0.00,3,Rain,183<br />
2003-6-7,31,28,26,27,26,25,100,85,70,1008,1007,1005,10,10,9,29,10,,0.00,4,,214<br />
2003-6-8,31,29,27,26,26,25,94,83,74,1009,1008,1007,10,10,8,23,10,,0.00,3,Rain-Thunderstorm,239<br />
2003-6-9,31,29,27,26,25,24,89,77,66,1009,1008,1006,10,10,10,19,13,,0.00,4,,220<br />
2003-6-10,32,29,26,26,26,24,94,85,66,1009,1007,1005,10,10,9,24,6,,0.00,-1301,Rain,204<br />
2003-6-11,31,28,26,27,26,24,100,87,70,1009,1007,1005,10,10,8,26,10,,0.00,3,Rain,191<br />
2003-6-12,31,28,26,26,26,24,94,84,70,1010,1008,1007,10,10,6,27,10,,0.00,4,Rain-Thunderstorm,195<br />
2003-6-13,30,28,26,26,25,24,94,85,70,1011,1009,1008,10,10,8,23,11,,0.00,4,Rain,197<br />
2003-6-14,30,28,25,25,24,23,94,84,74,1012,1010,1008,10,10,9,26,11,,0.00,4,Rain,213<br />
2003-6-15,31,27,24,25,24,23,100,81,70,1011,1008,1007,10,10,9,19,10,,0.00,3,Rain,227<br />
2003-6-16,31,28,25,25,24,24,100,81,70,1009,1007,1006,10,10,9,24,10,,0.00,3,Rain,205<br />
2003-6-17,30,28,25,25,24,23,94,88,70,1010,1008,1007,10,10,7,23,8,,0.00,4,Rain,201<br />
2003-6-18,31,27,24,25,24,23,94,87,70,1010,1008,1007,10,10,8,19,11,,0.00,3,Rain-Thunderstorm,187<br />
2003-6-19,30,27,24,25,24,23,94,84,70,1011,1009,1006,10,9,6,27,13,47,0.00,5,Rain-Thunderstorm,224<br />
2003-6-20,31,27,23,25,24,22,100,83,70,1009,1007,1006,10,9,6,29,19,,0.00,4,Rain,215<br />
2003-6-21,29,27,24,25,24,23,100,88,79,1009,1007,1005,10,9,4,34,11,,0.00,6,Rain-Thunderstorm,198<br />
2003-6-22,29,27,24,26,25,24,100,89,79,1008,1006,1005,10,10,7,19,8,,0.00,-2495,Rain,205<br />
2003-6-23,30,27,24,25,24,24,100,87,74,1008,1007,1005,10,9,9,26,13,42,0.00,-430,Rain-Thunderstorm,235<br />
2003-6-24,31,29,27,26,26,24,94,83,70,1008,1006,1005,10,10,9,29,21,,0.00,6,Rain,243<br />
2003-6-25,30,28,27,26,25,24,84,80,74,1008,1006,1005,10,10,9,23,14,,0.00,4,,240<br />
2003-6-26,31,29,28,25,25,24,84,79,70,1009,1007,1005,10,10,10,21,14,,0.00,4,,241<br />
2003-6-27,31,29,27,26,25,25,94,81,70,1009,1008,1006,10,10,9,23,11,,0.00,4,,226<br />
2003-6-28,30,28,27,26,25,24,94,82,74,1009,1008,1006,10,10,10,26,16,,0.00,4,,242<br />
2003-6-29,30,28,27,26,26,25,94,84,79,1008,1007,1006,10,10,10,23,14,,0.00,4,,247<br />
2003-6-30,30,28,27,26,25,22,89,82,70,1009,1007,1005,10,10,9,27,13,37,0.00,5,,233<br />
2003-7-1,30,28,26,25,24,23,94,83,70,1008,1007,1005,10,10,8,23,13,,0.00,5,Rain,226<br />
2003-7-2,29,27,24,26,25,24,100,87,79,1010,1008,1007,10,9,6,23,11,,0.00,5,Rain-Thunderstorm,219<br />
2003-7-3,30,28,25,26,25,24,100,86,74,1010,1009,1008,10,10,9,16,5,,0.00,5,,191<br />
2003-7-4,29,27,24,26,24,23,100,90,79,1009,1008,1006,10,9,1,26,8,,0.00,-412,Rain-Thunderstorm,216<br />
2003-7-5,30,28,25,25,24,24,100,84,74,1009,1007,1006,10,10,9,23,13,,0.00,5,Rain,233<br />
2003-7-6,30,27,24,25,24,23,94,85,66,1010,1008,1006,10,10,6,27,11,47,0.00,4,Rain,231<br />
2003-7-7,30,28,26,25,24,24,94,81,70,1010,1008,1006,10,10,9,26,11,,0.00,3,Rain,245<br />
2003-7-8,30,28,26,25,24,24,94,79,70,1009,1007,1004,10,10,10,23,13,,0.00,4,,254<br />
2003-7-9,30,28,27,26,25,24,84,81,74,1008,1006,1005,10,10,10,24,13,,0.00,4,,242<br />
2003-7-10,28,27,25,25,24,23,94,87,79,1009,1008,1006,10,10,8,37,21,,0.00,7,Rain,239<br />
2003-7-11,30,28,25,26,24,23,94,84,74,1009,1007,1005,10,10,10,21,8,,0.00,5,,205<br />
2003-7-12,31,28,26,25,24,24,89,79,70,1009,1007,1006,10,10,9,26,14,,0.00,3,,233<br />
2003-7-13,31,28,25,25,24,23,94,80,70,1009,1007,1006,10,10,9,29,14,,0.00,4,Rain,235<br />
2003-7-14,31,29,27,25,24,23,89,80,70,1008,1007,1005,10,10,10,29,19,,0.00,6,,239<br />
2003-7-15,30,28,25,25,24,23,94,83,74,1010,1008,1007,10,10,8,26,18,,0.00,5,Rain,241<br />
2003-7-16,30,28,25,25,24,23,100,83,66,1010,1009,1008,10,10,8,23,13,,0.00,5,Rain,240<br />
2003-7-17,30,28,25,25,24,23,94,80,70,1009,1008,1006,10,10,9,19,10,,0.00,4,,239<br />
2003-7-18,31,29,27,26,25,24,84,81,74,1009,1008,1007,10,10,9,26,16,,0.00,4,Rain,245<br />
2003-7-19,30,28,27,26,25,25,89,82,74,1008,1007,1005,10,10,9,24,16,,0.00,5,,261<br />
2003-7-20,30,29,28,25,25,25,84,81,74,1007,1006,1005,10,10,9,23,16,,0.00,5,,237<br />
2003-7-21,31,29,28,25,25,24,84,79,70,1009,1007,1006,10,10,10,27,16,,0.00,5,,242<br />
2003-7-22,30,28,27,26,25,24,89,81,74,1010,1008,1006,10,10,8,32,18,,0.00,6,Rain,234<br />
2003-7-23,30,29,28,26,25,24,89,80,74,1009,1007,1006,10,10,9,27,21,,0.00,5,,238<br />
2003-7-24,31,29,28,25,24,24,84,78,66,1009,1007,1006,10,10,10,26,19,,0.00,3,,241<br />
2003-7-25,31,29,27,26,25,24,89,80,70,1010,1008,1007,10,10,10,23,16,,0.00,3,,238<br />
2003-7-26,31,29,26,26,25,24,89,79,70,1009,1007,1006,10,10,10,29,21,,0.00,4,,252<br />
2003-7-27,31,27,24,26,24,23,94,83,70,1010,1008,1006,10,10,8,23,10,,0.00,5,,210<br />
2003-7-28,31,28,26,25,25,24,94,82,70,1011,1009,1007,10,10,9,21,10,,0.00,3,,202<br />
2003-7-29,31,27,24,26,24,23,100,82,70,1011,1009,1007,10,10,8,19,8,,0.00,3,,214<br />
2003-7-30,31,28,26,25,25,24,94,82,66,1010,1008,1006,10,10,10,26,13,,0.00,3,,210<br />
2003-7-31,31,29,28,26,25,24,89,81,70,1010,1008,1006,10,10,9,27,16,,0.00,6,Rain-Thunderstorm,242<br />
2003-8-1,30,27,24,25,24,23,100,84,70,1011,1009,1007,10,9,5,42,19,,0.00,7,Rain-Thunderstorm,237<br />
2003-8-2,31,28,25,25,24,23,100,84,70,1011,1010,1008,10,10,9,23,10,,0.00,4,,197<br />
2003-8-3,31,28,25,26,25,23,94,84,70,1011,1010,1008,10,10,10,23,6,,0.00,2,,198<br />
2003-8-4,31,28,26,26,25,25,94,81,70,1011,1009,1008,10,10,10,23,10,,0.00,3,,233<br />
2003-8-5,31,29,28,25,25,24,84,79,70,1010,1008,1007,10,10,10,26,19,,0.00,4,,249<br />
2003-8-6,31,29,28,25,24,24,84,77,66,1008,1007,1005,10,10,10,29,24,,0.00,4,,257<br />
2003-8-7,31,29,28,25,24,24,84,79,70,1008,1007,1005,10,10,10,26,23,,0.00,5,,247<br />
2003-8-8,30,29,28,25,24,24,84,77,70,1008,1007,1005,10,10,10,26,18,,0.00,6,Rain,254<br />
2003-8-9,31,29,27,25,24,24,89,80,66,1007,1006,1004,10,10,9,26,16,,0.00,4,Rain,253<br />
2003-8-10,31,29,28,26,25,25,84,80,70,1008,1006,1004,10,10,9,24,14,,0.00,6,Rain,255<br />
2003-8-11,31,29,28,25,25,25,84,80,70,1010,1008,1006,10,10,9,26,16,,0.00,6,,240<br />
