MVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-4-21,31,28,25,26,25,24,100,82,70,1009,1008,1006,10,10,8,21,10,,0.00,4,Rain,253<br />
2001-4-22,29,27,25,26,25,23,100,85,79,1010,1008,1006,10,9,1,21,16,,0.00,6,Rain,273<br />
2001-4-23,31,29,27,26,26,25,89,82,75,1010,1008,1007,10,10,8,24,16,,0.00,6,Rain,281<br />
2001-4-24,31,29,28,27,26,25,89,81,75,1011,1009,1007,10,10,10,14,13,,0.00,4,,285<br />
2001-4-25,32,29,27,28,26,24,89,80,70,1011,1009,1007,10,10,10,19,11,,0.00,6,Thunderstorm,268<br />
2001-4-26,31,30,29,26,26,25,84,79,70,1011,1009,1008,10,10,10,23,16,,0.00,6,,275<br />
2001-4-27,32,30,29,26,26,25,84,77,66,1011,1009,1007,10,10,9,13,10,,0.00,6,,292<br />
2001-4-28,31,28,26,26,26,24,94,83,74,1010,1008,1006,10,10,7,26,16,,0.00,6,Rain,272<br />
2001-4-29,29,27,26,26,25,24,89,83,74,1012,1009,1007,10,10,7,34,18,,0.00,6,Rain,293<br />
2001-4-30,30,28,27,26,25,23,94,82,66,1012,1009,1007,10,10,8,34,26,,0.00,6,Rain,284<br />
2001-5-1,29,27,26,26,25,24,94,86,79,1012,1009,1008,10,9,4,39,21,,0.00,7,Rain,270<br />
2001-5-2,30,28,25,26,25,24,94,85,74,1010,1008,1007,10,9,6,39,23,,0.00,6,Rain,258<br />
2001-5-3,31,29,27,26,25,24,94,80,70,1009,1008,1006,10,10,9,35,27,,0.00,5,,253<br />
2001-5-4,32,30,28,27,26,24,89,78,70,1011,1008,1006,10,10,9,37,27,,0.00,3,,264<br />
2001-5-5,31,30,29,26,26,25,84,79,74,1011,1009,1008,10,10,9,29,24,,0.00,4,Rain,269<br />
2001-5-6,32,30,29,27,26,25,89,78,70,1011,1009,1008,10,10,10,26,21,,0.00,2,,263<br />
2001-5-7,32,30,29,27,27,25,89,83,75,1012,1010,1008,10,10,10,34,24,,0.00,3,Rain,256<br />
2001-5-8,32,30,29,27,26,24,89,82,70,1012,1010,1008,10,10,4,32,26,,0.00,4,Rain-Thunderstorm,271<br />
2001-5-9,30,28,26,27,26,25,94,85,79,1012,1010,1008,10,10,8,32,24,,0.00,6,Rain,267<br />
2001-5-10,31,29,27,27,27,25,89,85,79,1012,1011,1009,10,9,4,34,26,,0.00,4,Rain,287<br />
2001-5-11,31,30,29,27,27,26,89,85,75,1012,1010,1009,10,10,10,26,23,,0.00,3,,278<br />
2001-5-12,31,30,29,27,27,26,89,83,75,1012,1010,1009,10,10,10,27,23,,0.00,5,,263<br />
2001-5-13,31,29,28,27,26,24,89,80,70,1011,1009,1008,10,10,10,26,21,,0.00,6,,259<br />
2001-5-14,31,30,29,27,26,24,84,80,74,1012,1009,1008,10,10,8,23,18,,0.00,6,,257<br />
2001-5-15,32,30,28,26,26,25,84,78,70,1012,1010,1008,10,10,10,19,14,,0.00,2,,277<br />
2001-5-16,32,30,28,26,26,24,84,78,66,1012,1011,1009,10,10,10,21,13,,0.00,1,,255<br />
2001-5-17,31,29,28,26,26,24,89,83,75,1013,1012,1011,10,9,6,39,18,,0.00,4,Rain,250<br />
2001-5-18,31,29,28,26,26,25,89,83,70,1012,1011,1009,10,10,8,26,19,,0.00,5,Rain,237<br />
2001-5-19,29,27,26,26,25,24,94,83,74,1013,1011,1008,10,10,9,39,24,,0.00,6,Rain,264<br />
2001-5-20,31,28,26,26,26,24,94,81,70,1019,1010,1008,10,10,6,26,16,,0.00,6,Rain,298<br />
2001-5-21,30,28,26,26,26,25,94,82,74,1011,1009,1008,10,10,7,29,13,,0.00,6,Rain,262<br />
2001-5-22,32,29,27,26,26,25,94,79,70,1011,1009,1008,10,10,10,23,11,,0.00,5,,225<br />
2001-5-23,32,30,29,26,26,25,84,79,70,1012,1010,1009,10,10,10,23,19,,0.00,2,,220<br />
2001-5-24,32,30,28,26,26,25,84,77,70,1011,1009,1007,10,10,10,14,11,,0.00,3,,266<br />
2001-5-25,31,29,28,26,26,25,89,79,70,1009,1008,1006,10,10,10,14,10,,0.00,1,,234<br />
2001-5-26,31,29,28,27,26,24,89,82,79,1010,1009,1007,10,10,10,26,16,,0.00,4,,252<br />
2001-5-27,32,30,28,27,26,25,89,81,70,1012,1009,1007,10,10,10,23,13,,0.00,5,,254<br />
2001-5-28,32,30,29,27,26,26,89,81,70,1011,1010,1008,10,10,10,23,16,,0.00,6,,233<br />
2001-5-29,31,28,26,27,26,23,100,85,79,1012,1010,1009,10,10,7,42,16,,0.00,6,Rain,252<br />
2001-5-30,29,28,27,27,25,24,94,87,79,1011,1010,1009,10,9,6,34,24,,0.00,8,Rain,290<br />
2001-5-31,31,29,27,27,26,22,89,82,74,1011,1009,1007,10,10,9,34,26,,0.00,7,,293<br />
2001-6-1,31,29,28,27,26,25,89,81,75,1011,1009,1007,10,10,10,34,26,,0.00,5,,287<br />
2001-6-2,31,29,28,27,26,25,94,83,75,1011,1010,1008,10,10,8,32,27,,0.00,6,,285<br />
2001-6-3,30,28,27,27,26,26,94,85,79,1011,1010,1008,10,10,10,34,26,,0.00,7,,289<br />
2001-6-4,31,29,28,27,27,26,89,84,75,1010,1009,1007,10,10,10,27,26,,0.00,6,,285<br />
2001-6-5,31,29,28,27,26,26,94,84,75,1010,1008,1006,10,10,9,27,24,,0.00,6,,280<br />
2001-6-6,31,29,27,28,27,25,89,84,79,1009,1007,1006,10,10,8,29,26,,0.00,6,Rain,279<br />
2001-6-7,31,29,27,27,27,25,94,86,79,1009,1007,1006,10,10,10,29,21,,0.00,6,,283<br />
2001-6-8,30,28,26,27,26,24,100,87,84,1008,1007,1006,10,10,10,29,24,,0.00,6,Rain,275<br />
2001-6-9,31,28,25,27,26,24,94,86,79,1009,1008,1007,10,10,6,39,24,,0.00,6,Rain,262<br />
2001-6-10,30,28,26,27,26,23,94,86,79,1010,1008,1006,10,10,8,47,23,,0.00,6,Rain,273<br />
2001-6-11,30,28,27,27,26,25,94,89,79,1009,1008,1007,10,10,8,29,14,,0.00,6,Rain,253<br />
2001-6-12,30,28,26,26,25,23,100,81,66,1011,1009,1007,10,10,6,40,19,,0.00,6,Rain,244<br />
2001-6-13,30,29,28,25,24,24,84,78,70,1012,1010,1009,10,10,10,24,16,,0.00,6,,248<br />
2001-6-14,31,29,28,25,24,24,84,76,70,1011,1010,1009,10,10,10,23,18,,0.00,6,,242<br />
2001-6-15,31,29,28,26,25,24,84,77,70,1012,1011,1010,10,10,10,19,14,,0.00,2,,256<br />
2001-6-16,31,29,28,26,25,24,84,78,70,1012,1010,1009,10,10,10,23,14,,0.00,3,,290<br />
2001-6-17,31,29,28,26,24,24,84,76,70,1012,1010,1009,10,10,10,23,16,,0.00,4,,296<br />
2001-6-18,31,29,28,25,24,24,84,76,66,1012,1011,1009,10,10,10,10,5,,0.00,2,,214<br />
2001-6-19,31,29,27,25,24,24,84,76,66,1013,1012,1010,10,10,10,10,6,,0.00,3,,203<br />
2001-6-20,31,29,28,25,24,24,84,76,70,1014,1012,1010,10,10,10,19,10,,0.00,1,,267<br />
2001-6-21,31,29,28,25,24,24,79,74,70,1013,1011,1010,10,10,10,16,14,,0.00,1,,266<br />
2001-6-22,31,29,28,26,26,24,84,78,70,1012,1011,1009,10,10,10,29,19,,0.00,4,,265<br />
2001-6-23,30,28,27,27,26,24,94,83,74,1012,1010,1009,10,9,6,37,26,,0.00,5,Rain,265<br />
2001-6-24,30,28,27,27,26,24,94,84,74,1012,1010,1009,10,10,3,52,24,,0.00,6,Rain-Thunderstorm,270<br />
2001-6-25,31,28,26,27,26,25,94,84,75,1013,1011,1010,10,10,7,34,21,,0.00,5,Rain,284<br />
2001-6-26,30,28,26,27,26,24,89,84,79,1012,1011,1009,10,10,9,27,23,,0.00,7,Rain-Thunderstorm,287<br />
2001-6-27,31,29,28,27,26,26,89,83,75,1013,1011,1010,10,10,10,27,23,,0.00,3,,274<br />
2001-6-28,31,29,27,27,26,24,89,82,75,1013,1011,1010,10,10,7,27,21,,0.00,5,Rain,269<br />
2001-6-29,32,30,28,27,26,25,89,80,70,1012,1010,1009,10,10,9,29,24,,0.00,6,Rain,264<br />
2001-6-30,31,29,28,27,26,25,89,81,74,1012,1010,1009,10,10,8,19,13,,0.00,4,,244<br />
2001-7-1,32,29,26,27,26,24,100,84,70,1013,1011,1010,10,10,6,19,11,,0.00,3,Rain,261<br />
2001-7-2,31,28,26,27,26,23,94,82,70,1013,1011,1010,10,10,9,29,19,,0.00,6,Rain,278<br />
2001-7-3,31,29,28,26,26,24,89,82,70,1012,1010,1009,10,10,7,29,21,,0.00,4,Rain,270<br />
2001-7-4,29,28,27,26,26,24,89,83,79,1011,1009,1008,10,9,7,27,21,,0.00,7,Rain,252<br />
2001-7-5,31,29,28,27,24,5,84,77,22,1011,1009,1007,10,10,8,32,26,,0.00,3,Rain,265<br />
2001-7-6,31,30,29,25,25,24,79,76,70,1011,1009,1008,10,10,10,37,27,,0.00,2,,272<br />
2001-7-7,31,29,28,26,25,24,84,78,70,1011,1010,1008,10,10,10,32,26,,0.00,5,Rain,261<br />
2001-7-8,31,29,28,26,25,24,89,78,66,1010,1009,1007,10,10,7,40,27,,0.00,5,Rain,250<br />
2001-7-9,30,28,27,26,26,24,89,81,74,1010,1008,1007,10,10,7,34,18,,0.00,7,Rain,248<br />
2001-7-10,28,27,25,26,25,24,100,88,79,1011,1010,1009,10,9,3,32,14,,0.00,7,Rain-Thunderstorm,242<br />
2001-7-11,30,28,27,26,25,24,94,81,74,1012,1010,1008,10,10,9,13,10,,0.00,6,Rain,189<br />
2001-7-12,31,29,27,26,25,25,89,81,70,1012,1010,1008,10,10,10,13,8,,0.00,2,,164<br />
2001-7-13,31,29,27,25,25,24,89,78,70,1012,1011,1009,10,10,10,10,8,,0.00,2,,260<br />
2001-7-14,30,29,27,25,24,24,84,77,70,1013,1011,1010,10,10,10,24,11,,0.00,3,,327<br />
2001-7-15,30,28,27,26,25,24,89,79,70,1014,1013,1011,10,10,10,27,21,,0.00,5,,303<br />
2001-7-16,31,29,28,25,24,23,84,76,70,1014,1012,1010,10,10,10,24,16,,0.00,5,,311<br />
2001-7-17,31,29,27,26,24,23,89,77,66,1013,1012,1010,10,10,10,23,14,,0.00,6,,312<br />
2001-7-18,31,29,28,25,24,23,79,75,66,1012,1011,1009,10,10,10,23,16,,0.00,6,,313<br />
2001-7-19,31,29,28,27,24,23,84,76,66,1013,1010,1008,10,10,10,23,16,,0.00,6,,312<br />
2001-7-20,28,26,24,25,24,22,100,87,74,1012,1011,1010,10,9,3,60,18,,0.00,6,Rain,309<br />
2001-7-21,31,29,27,26,24,22,89,78,70,1011,1009,1007,10,10,9,26,21,,0.00,5,Rain,292<br />
2001-7-22,30,28,26,25,24,23,84,79,74,1011,1009,1008,10,10,10,26,21,,0.00,6,,288<br />
2001-7-23,31,29,28,25,24,23,84,77,70,1011,1009,1008,10,10,10,23,18,,0.00,6,Rain,280<br />
2001-7-24,31,29,28,25,24,23,84,76,66,1010,1009,1008,10,10,10,24,18,,0.00,5,,288<br />
2001-7-25,31,29,28,25,24,23,84,75,66,1011,1009,1008,10,10,10,26,21,,0.00,5,,294<br />
2001-7-26,31,28,26,26,24,22,89,78,70,1012,1010,1009,10,10,10,37,27,,0.00,6,,291<br />
2001-7-27,30,27,24,25,24,22,89,79,70,1011,1010,1008,10,10,9,39,24,,0.00,6,Rain,281<br />
2001-7-28,28,26,24,25,24,22,94,83,74,1012,1010,1008,10,9,4,42,31,,0.00,7,Rain,267<br />
2001-7-29,30,28,25,25,24,23,89,78,70,1013,1011,1010,10,10,6,29,23,,0.00,6,Rain,281<br />
2001-7-30,30,29,28,26,24,24,84,78,74,1013,1011,1009,10,10,10,29,21,,0.00,5,,288<br />
2001-7-31,30,29,28,25,24,23,84,75,66,1013,1011,1010,10,10,10,27,24,,0.00,6,,285<br />
2001-8-1,29,27,24,25,24,22,100,82,74,1013,1012,1010,10,9,3,39,21,,0.00,7,Rain,287<br />
2001-8-2,30,28,27,26,24,21,84,79,70,1012,1010,1008,10,10,10,34,26,,0.00,6,,299<br />
2001-8-3,30,29,27,26,25,24,89,80,74,1012,1009,1008,10,10,10,34,26,,0.00,5,,288<br />
2001-8-4,29,28,27,26,25,22,89,83,74,1013,1011,1010,10,10,8,24,18,,0.00,7,Rain,280<br />
2001-8-5,30,29,28,26,24,23,89,77,70,1013,1012,1010,10,10,8,34,21,,0.00,3,Rain,315<br />
2001-8-6,30,29,28,24,23,23,79,73,66,1012,1011,1010,10,10,10,26,23,,0.00,4,,321<br />
2001-8-7,31,29,28,24,24,23,79,73,66,1011,1010,1008,10,10,10,23,19,,0.00,4,,297<br />
2001-8-8,29,28,27,25,24,23,89,80,74,1012,1010,1009,10,10,10,21,14,,0.00,5,,280<br />
2001-8-9,30,29,28,25,24,23,84,78,74,1013,1012,1010,10,10,8,24,18,,0.00,3,,318<br />
2001-8-10,29,27,25,25,24,23,94,82,74,1013,1011,1009,10,10,6,27,18,,0.00,3,Rain,328<br />
2001-8-11,30,29,28,26,25,24,84,79,74,1012,1011,1009,10,10,10,26,16,,0.00,2,Rain,276<br />
2001-8-12,31,29,28,25,24,23,84,75,70,1012,1011,1009,10,10,10,24,14,,0.00,2,,253<br />
2001-8-13,31,29,28,25,24,23,84,76,66,1013,1011,1009,10,10,7,16,14,,0.00,2,Rain,233<br />
2001-8-14,30,29,28,25,24,23,84,77,70,1014,1012,1011,10,10,10,13,10,,0.00,2,,209<br />
2001-8-15,31,29,28,25,25,24,84,79,70,1015,1013,1011,10,10,10,14,8,,0.00,1,,185<br />
2001-8-16,32,30,28,25,24,24,84,75,66,1014,1012,1010,10,10,10,16,10,,0.00,2,,204<br />
2001-8-17,31,29,28,26,25,23,84,76,62,1014,1012,1010,10,10,10,13,10,,0.00,3,,231<br />
2001-8-18,31,29,28,25,24,24,84,76,66,1014,1012,1010,10,10,9,16,11,,0.00,4,Rain,229<br />
2001-8-19,31,29,28,26,25,24,84,75,66,1013,1012,1010,10,10,10,21,14,,0.00,5,,247<br />
2001-8-20,31,28,26,26,25,24,94,78,70,1014,1012,1010,10,10,7,21,14,,0.00,5,Rain,250<br />
