CVT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-3-29,25,22,19,15,14,13,73,63,47,1015,1014,1012,10,10,10,23,10,,0.00,2,,5<br />
2002-3-30,26,22,19,17,15,14,73,65,50,1016,1015,1013,10,10,10,24,8,,0.00,5,,344<br />
2002-3-31,24,22,21,17,16,15,78,68,61,1016,1015,1014,10,10,10,34,19,,0.00,6,,359<br />
2002-4-1,25,23,21,15,14,13,68,60,47,1017,1016,1014,10,10,10,37,27,,0.00,5,Rain,26<br />
2002-4-2,25,23,21,17,14,13,68,63,50,1019,1017,1016,10,10,10,39,32,,0.00,3,,43<br />
2002-4-3,26,23,20,17,16,14,73,66,54,1019,1018,1016,10,10,10,45,37,,0.00,3,,44<br />
2002-4-4,25,22,19,16,16,14,78,69,57,1018,1016,1014,10,10,9,39,32,55,0.00,3,,36<br />
2002-4-5,25,22,20,16,16,14,78,67,54,1014,1013,1012,10,10,9,35,29,,0.00,5,,36<br />
2002-4-6,25,22,20,16,14,13,78,61,47,1017,1013,1012,10,10,10,32,24,,0.00,5,,31<br />
2002-4-7,26,23,20,16,13,12,68,57,42,1015,1013,1012,10,10,10,35,21,,0.00,4,,33<br />
2002-4-8,25,22,19,16,13,11,73,57,44,1015,1013,1012,10,10,10,29,19,,0.00,2,,13<br />
2002-4-9,26,22,18,15,14,13,77,61,44,1015,1013,1012,10,10,10,23,11,,0.00,2,,7<br />
2002-4-10,26,23,20,17,16,14,78,67,47,1014,1014,1013,10,9,1,26,16,,0.00,2,,20<br />
2002-4-11,25,23,21,15,13,11,68,55,44,1015,1013,1012,10,10,10,233,29,,0.00,2,,33<br />
2002-4-12,26,23,21,15,12,10,64,52,36,1016,1014,1012,10,10,10,29,19,,0.00,4,,31<br />
2002-4-13,25,22,20,15,13,11,68,59,41,1016,1015,1014,10,10,10,29,21,,0.00,3,,35<br />
2002-4-14,25,23,21,15,14,11,68,58,41,1017,1015,1013,10,10,10,32,24,,0.00,4,,43<br />
2002-4-15,24,22,20,15,14,13,73,60,50,1016,1015,1014,10,10,10,32,24,,0.00,4,,34<br />
2002-4-16,25,22,20,15,15,14,73,63,54,1016,1015,1013,10,10,10,35,26,,0.00,3,,29<br />
2002-4-17,25,22,20,16,15,14,73,64,50,1018,1016,1014,10,10,10,39,29,,0.00,3,,33<br />
2002-4-18,24,22,20,16,16,15,73,66,57,1018,1016,1014,10,10,10,35,29,,0.00,3,,39<br />
2002-4-19,25,22,20,17,16,14,78,67,54,1016,1014,1013,10,10,10,37,27,,0.00,2,,39<br />
2002-4-20,25,22,20,17,16,15,78,70,54,1015,1014,1013,10,10,10,32,24,,0.00,2,,35<br />
2002-4-21,25,22,20,17,16,15,78,68,54,1016,1014,1013,10,10,10,32,27,,0.00,3,,32<br />
2002-4-22,25,22,20,17,16,14,73,65,54,1015,1013,1012,10,10,10,24,19,,0.00,3,,23<br />
2002-4-23,26,23,20,18,17,16,78,70,61,1014,1012,1011,10,9,6,32,18,,0.00,5,,7<br />
2002-4-24,26,23,21,20,18,18,88,76,61,1013,1012,1010,10,7,5,37,19,,0.00,4,,13<br />
2002-4-25,27,24,22,21,20,18,88,79,58,1014,1012,1010,8,6,5,34,19,,0.00,6,Rain,12<br />
2002-4-26,31,26,22,21,17,2,94,67,16,1013,1012,1011,9,7,6,32,23,,0.00,4,,358<br />
2002-4-27,28,24,22,21,19,13,88,77,39,1013,1012,1011,7,6,3,24,19,,0.00,6,,15<br />
2002-4-28,27,23,21,20,19,18,94,77,58,1014,1013,1012,8,6,5,35,21,,0.00,3,,14<br />
2002-4-29,26,23,21,19,18,17,83,74,57,1016,1015,1013,10,7,5,32,23,,0.00,3,,22<br />
2002-4-30,26,23,21,18,17,17,83,71,57,1017,1016,1015,10,8,5,29,26,,0.00,4,,30<br />
2002-5-1,25,23,21,17,16,14,73,65,57,1017,1016,1014,10,9,8,37,29,,0.00,6,,31<br />
2002-5-2,26,23,20,16,15,14,69,64,51,1015,1013,1012,10,10,10,32,23,,0.00,4,,29<br />
2002-5-3,25,22,20,16,16,14,78,69,54,1014,1013,1012,10,10,10,26,16,,0.00,3,,17<br />
2002-5-4,25,22,20,15,14,13,73,60,47,1016,1015,1013,10,10,10,32,23,47,0.00,3,,23<br />
2002-5-5,25,23,21,16,14,13,68,60,50,1018,1016,1015,10,10,10,32,24,,0.00,5,,30<br />
2002-5-6,25,23,21,15,14,14,64,59,50,1016,1015,1013,10,10,10,29,23,,0.00,6,,29<br />
2002-5-7,25,23,21,16,14,13,69,61,50,1016,1015,1013,10,10,10,24,18,,0.00,4,,26<br />
2002-5-8,26,23,20,16,15,12,73,63,42,1019,1016,1015,10,10,10,29,18,,0.00,2,,29<br />
2002-5-9,25,23,21,16,15,14,73,63,53,1021,1019,1017,10,10,10,35,27,,0.00,4,,47<br />
2002-5-10,25,22,20,17,16,15,78,70,57,1021,1019,1017,10,10,10,37,31,,0.00,2,,34<br />
2002-5-11,25,22,20,17,17,16,83,72,57,1019,1017,1015,10,10,10,37,29,,0.00,2,,28<br />
2002-5-12,25,22,20,17,17,15,78,71,57,1017,1015,1014,10,10,10,35,27,,0.00,3,,32<br />
2002-5-13,25,22,20,18,17,16,83,73,61,1016,1015,1014,10,10,10,27,19,47,0.00,2,,28<br />
2002-5-14,27,23,21,19,18,18,83,73,58,1017,1015,1014,10,10,10,39,23,,0.00,4,,9<br />
2002-5-15,27,23,21,19,19,18,88,75,58,1016,1015,1013,10,10,7,42,29,,0.00,4,,11<br />
2002-5-16,28,24,22,20,18,16,83,72,48,1017,1014,1012,10,10,10,40,34,,0.00,2,,31<br />
2002-5-17,27,24,22,19,19,18,83,72,58,1015,1014,1012,10,10,10,42,34,,0.00,2,,25<br />
2002-5-18,28,24,22,20,18,17,83,70,51,1015,1013,1012,10,10,9,42,37,,0.00,3,,15<br />
2002-5-19,27,24,22,19,19,18,83,77,61,1016,1014,1012,9,7,5,42,35,,0.00,5,,26<br />
2002-5-20,25,23,21,18,17,17,83,72,61,1016,1015,1014,10,8,6,34,27,,0.00,5,,26<br />
2002-5-21,25,22,20,17,17,16,83,70,57,1016,1015,1013,10,9,1,32,21,,0.00,3,,31<br />
2002-5-22,25,22,20,17,17,16,83,71,57,1016,1015,1014,10,10,10,34,26,,0.00,3,,34<br />
2002-5-23,26,23,21,18,17,16,83,72,54,1016,1014,1013,10,10,10,34,23,,0.00,3,,32<br />
2002-5-24,26,23,20,19,18,17,83,73,57,1016,1014,1013,10,10,10,35,29,,0.00,2,,22<br />
2002-5-25,27,23,21,18,18,18,83,73,58,1016,1014,1013,10,10,10,35,26,,0.00,3,,18<br />
2002-5-26,27,23,21,19,19,18,88,75,61,1016,1015,1013,10,8,4,34,24,,0.00,4,,8<br />
2002-5-27,35,28,21,25,19,17,88,74,36,1015,1014,1012,10,9,6,40,29,,0.00,3,,14<br />
2002-5-28,26,23,20,19,18,17,88,74,61,1015,1013,1012,10,9,8,40,26,,0.00,4,,18<br />
2002-5-29,26,23,20,18,17,16,78,67,54,1016,1014,1013,10,10,8,32,23,,0.00,2,,20<br />
2002-5-30,26,23,21,18,17,16,78,69,57,1017,1016,1014,10,10,10,35,23,,0.00,4,,26<br />
2002-5-31,26,23,21,18,18,17,78,72,61,1018,1017,1015,10,10,10,35,26,,0.00,5,,21<br />
2002-6-1,25,23,22,19,19,18,83,77,69,1017,1016,1015,10,10,10,37,27,,0.00,5,,16<br />
2002-6-2,26,23,21,19,19,18,88,76,61,1016,1014,1013,10,10,10,48,34,,0.00,3,,17<br />
2002-6-3,26,23,22,19,19,18,83,76,65,1015,1014,1012,10,4,1,48,39,,0.00,4,,18<br />
2002-6-4,26,23,21,19,19,18,88,79,65,1016,1015,1013,10,7,6,45,34,,0.00,3,,26<br />
2002-6-5,25,23,21,19,18,17,83,74,65,1016,1014,1013,10,9,7,50,37,,0.00,3,,35<br />
2002-6-6,26,23,21,19,18,17,83,75,57,1016,1015,1014,10,10,9,34,27,,0.00,3,,33<br />
2002-6-7,26,23,21,20,19,18,88,77,61,1017,1016,1014,10,10,9,32,23,,0.00,3,,35<br />
2002-6-8,35,28,21,18,18,17,83,73,36,1018,1016,1014,10,10,8,37,29,,0.00,3,,28<br />
2002-6-9,25,23,21,18,17,16,83,72,61,1016,1015,1014,10,10,10,35,27,,0.00,5,,27<br />
2002-6-10,25,23,21,18,17,16,83,72,61,1015,1015,1014,10,9,8,34,27,,0.00,5,,33<br />
2002-6-11,25,23,21,18,17,17,78,72,61,1017,1016,1014,10,10,9,32,23,,0.00,6,,30<br />
2002-6-12,25,23,21,18,17,17,78,71,61,1017,1016,1015,10,10,10,35,26,,0.00,5,,30<br />
2002-6-13,25,23,21,19,18,17,83,76,65,1018,1017,1016,10,10,10,26,19,,0.00,5,,40<br />
2002-6-14,25,23,22,19,18,17,83,72,61,1017,1016,1015,10,10,10,32,24,,0.00,5,,21<br />
2002-6-15,25,23,21,18,17,16,78,68,61,1017,1016,1015,10,10,10,34,27,,0.00,6,,26<br />
2002-6-16,26,23,22,17,16,15,73,63,54,1016,1015,1013,10,10,10,34,23,,0.00,6,,15<br />
2002-6-17,26,23,21,19,17,15,83,67,54,1017,1015,1014,10,10,10,171,29,,0.00,4,,28<br />
2002-6-18,27,24,22,21,19,19,88,79,61,1019,1017,1015,10,10,9,21,16,,0.00,6,,43<br />
2002-6-19,27,24,23,21,20,20,88,80,65,1017,1016,1015,10,9,8,39,23,,0.00,3,,359<br />
2002-6-20,26,23,22,20,19,19,88,80,65,1014,1013,1013,10,9,8,35,32,,0.00,1,,17<br />
2002-6-21,25,21,21,19,19,18,88,79,65,1015,1014,1013,10,9,8,26,26,,0.00,4,,33<br />
2002-6-22,24,24,23,19,18,18,78,74,69,1017,1016,1015,10,10,10,21,19,,0.00,3,,25<br />
2002-6-24,26,23,22,20,19,19,88,72,65,1016,1015,1014,10,10,10,29,23,,0.00,5,,316<br />
2002-6-25,26,24,23,20,19,19,83,76,65,1017,1016,1015,10,8,6,23,19,,0.00,6,,343<br />
2002-6-26,26,24,22,19,18,18,78,74,61,1018,1016,1010,10,8,6,27,21,,0.00,6,,38<br />
2002-6-27,26,23,21,18,17,16,83,70,57,1018,1017,1016,10,10,10,35,23,,0.00,5,,33<br />
2002-6-28,26,23,21,19,18,16,78,70,61,1018,1017,1016,10,10,10,32,23,,0.00,5,,42<br />
2002-6-29,28,26,23,20,20,18,83,75,54,1019,1018,1017,10,10,9,34,21,,0.00,2,,36<br />
2002-6-30,27,24,23,20,19,16,83,70,51,1019,1017,1016,9,8,6,50,37,,0.00,3,,17<br />
2002-7-1,25,23,22,19,18,17,83,71,65,1017,1016,1014,10,9,8,40,34,,0.00,5,,31<br />
2002-7-2,25,23,22,18,17,16,73,67,61,1017,1016,1015,10,9,8,26,21,,0.00,6,,37<br />
2002-7-3,26,23,22,18,18,17,78,69,61,1017,1017,1015,10,10,10,23,18,,0.00,5,,39<br />
2002-7-4,27,24,22,19,19,18,83,73,61,1018,1017,1016,10,10,8,29,23,,0.00,4,,31<br />
2002-7-5,27,24,22,20,19,18,83,75,58,1017,1015,1013,10,9,8,40,29,,0.00,3,,17<br />
2002-7-6,27,24,22,21,19,18,88,76,61,1016,1014,1012,10,9,7,39,31,,0.00,5,Rain,33<br />
2002-7-7,27,24,23,22,21,20,94,82,70,1017,1016,1014,10,8,7,19,14,,0.00,5,,58<br />
2002-7-8,26,23,22,20,19,18,83,75,65,1019,1017,1015,10,9,8,24,18,,0.00,4,,30<br />
2002-7-9,26,18,10,19,19,18,83,73,61,1019,1017,1016,10,10,10,26,23,,0.00,4,,30<br />
2002-7-10,26,23,22,19,18,17,83,73,61,1019,1018,1016,10,10,10,29,21,,0.00,5,,20<br />
2002-7-11,26,23,22,18,17,17,78,68,57,1018,1016,1015,10,10,10,34,27,,0.00,5,,27<br />
2002-7-12,26,23,22,18,17,16,73,66,57,1017,1016,1014,10,10,10,34,27,,0.00,5,,26<br />
2002-7-13,26,24,24,19,18,18,73,67,61,1016,1015,1014,10,10,9,29,26,,0.00,7,,28<br />
2002-7-14,27,24,23,20,19,19,83,72,65,1016,1015,1013,10,10,10,23,18,,0.00,5,,12<br />
2002-7-15,27,24,23,20,19,18,83,74,61,1016,1015,1014,10,9,9,26,16,37,0.00,6,,6<br />
2002-7-16,26,24,23,19,18,17,78,68,57,1017,1015,1014,10,10,9,19,14,,0.00,6,,30<br />
2002-7-17,27,24,23,18,17,15,69,62,54,1017,1016,1015,10,10,10,23,13,,0.00,5,,13<br />
2002-7-18,27,24,23,23,17,15,94,66,54,1017,1015,1014,10,10,8,24,14,,0.00,4,,35<br />
2002-7-19,26,23,22,19,18,18,78,71,61,1016,1015,1014,10,10,10,23,14,,0.00,3,,31<br />
2002-7-20,28,26,23,20,19,18,83,74,58,1016,1015,1014,10,10,10,32,19,,0.00,4,,7<br />
2002-7-21,27,24,23,20,19,19,83,74,61,1015,1014,1013,10,10,10,35,23,,0.00,5,,24<br />
2002-7-22,28,26,23,20,19,19,78,71,62,1016,1015,1014,10,10,10,26,21,,0.00,4,,47<br />
2002-7-23,28,26,23,21,21,20,83,77,62,1016,1015,1013,10,10,10,29,19,,0.00,4,,1<br />
2002-7-24,27,26,24,21,21,20,83,78,69,1016,1014,1012,10,8,2,29,23,,0.00,6,,50<br />
2002-7-25,29,26,23,22,21,21,89,75,62,1017,1017,1016,10,9,7,21,10,,0.00,4,,6<br />
2002-7-26,28,26,24,21,21,19,83,75,65,1017,1015,1014,10,9,7,35,26,,0.00,3,,342<br />
2002-7-27,25,23,22,20,19,19,88,80,69,1014,1013,1012,10,9,7,35,31,,0.00,5,,359<br />
2002-7-30,27,26,25,18,18,17,65,59,54,1018,1017,1016,10,10,10,19,16,,0.00,4,,358<br />
2002-8-2,27,,27,20,20,20,65,65,65,1014,1014,1014,10,10,10,21,21,,0.00,3,,50<br />
2002-8-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-8-4,23,,23,18,18,18,73,73,73,1015,1015,1015,10,10,10,14,14,,0.00,6,,20<br />
2002-8-5,25,24,24,19,18,17,73,67,65,1015,1014,1013,10,10,10,23,19,,0.00,5,,12<br />
2002-8-6,27,24,23,21,21,19,83,76,70,1015,1014,1013,10,10,10,27,19,,0.00,6,,39<br />
2002-8-7,28,26,24,22,21,21,83,77,66,1015,1013,1012,10,10,9,37,19,,0.00,4,,353<br />
2002-8-8,27,24,23,22,21,20,94,81,65,1013,1011,1009,10,7,4,40,29,,0.00,5,,13<br />
2002-8-9,28,26,23,25,23,22,94,88,79,1013,1012,1011,8,4,1,34,26,,0.00,7,Rain,66<br />
2002-8-10,30,28,25,25,24,24,94,85,70,1017,1014,1013,10,9,5,26,18,,0.00,5,,95<br />
2002-8-11,29,27,25,24,23,21,94,81,66,1017,1016,1015,10,9,1,26,14,,0.00,5,,46<br />
2002-8-12,28,26,24,22,21,20,89,78,66,1017,1016,1015,10,9,1,39,27,,0.00,4,,6<br />
2002-8-13,27,24,23,20,19,19,83,73,61,1016,1015,1014,10,10,10,29,26,,0.00,5,,26<br />
2002-8-14,28,26,24,21,21,19,83,74,61,1018,1016,1014,10,10,10,26,19,,0.00,6,,41<br />
2002-8-15,29,27,24,22,21,20,89,77,62,1017,1016,1015,10,10,10,23,16,,0.00,5,,26<br />
2002-8-16,28,26,24,21,21,19,83,74,62,1017,1015,1013,10,10,10,35,23,,0.00,3,,3<br />
2002-8-17,27,24,23,21,20,19,83,74,61,1015,1013,1012,10,10,10,27,21,,0.00,6,,31<br />
2002-8-18,27,26,24,21,19,19,83,72,61,1014,1013,1012,10,10,10,21,16,,0.00,5,,43<br />
2002-8-19,27,24,23,20,19,19,83,72,61,1014,1013,1012,10,10,10,26,16,,0.00,5,,26<br />
2002-8-20,27,23,20,21,21,20,100,77,65,1016,1014,1013,10,10,10,24,18,,0.00,5,,46<br />
2002-8-21,29,27,24,22,21,20,89,75,62,1016,1015,1014,10,10,10,23,16,,0.00,3,,37<br />
2002-8-22,28,26,23,21,20,19,83,73,62,1016,1014,1013,10,10,10,32,18,,0.00,4,,8<br />
2002-8-23,29,27,25,21,20,19,78,71,58,1014,1012,1011,10,10,10,26,19,,0.00,6,,29<br />
2002-8-24,30,27,24,22,22,21,83,76,62,1014,1012,1011,10,10,10,26,16,,0.00,5,,48<br />
2002-8-25,29,27,25,23,22,20,89,74,62,1016,1014,1013,10,10,10,34,16,,0.00,5,Rain,51<br />
2002-8-26,29,27,25,21,21,18,78,69,51,1016,1015,1014,10,10,10,35,29,,0.00,2,,40<br />
2002-8-27,29,27,24,22,21,21,83,77,62,1015,1013,1012,10,10,9,39,27,,0.00,2,,13<br />
2002-8-28,28,26,24,22,21,21,83,76,66,1013,1012,1011,10,9,5,35,27,,0.00,5,,12<br />
2002-8-29,30,27,23,22,22,21,89,76,62,1014,1012,1011,9,6,4,23,11,,0.00,4,,46<br />
2002-8-30,29,27,25,23,22,22,89,78,66,1015,1013,1012,10,7,5,24,16,,0.00,4,,37<br />
