BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-2-8,6,3,1,1,-1,-2,93,72,61,1010,1005,1002,10,10,4,29,18,,0.00,1,Rain-Snow,355<br />
2001-2-9,6,3,1,2,1,-1,93,83,70,1017,1016,1015,10,10,10,16,5,,0.00,3,Rain,208<br />
2001-2-10,7,6,6,5,4,4,93,89,81,1009,1007,1004,10,9,6,63,52,82,0.00,8,Rain,165<br />
2001-2-11,9,8,7,6,5,4,87,79,76,1003,1003,1002,10,10,10,45,39,77,0.00,5,Rain,236<br />
2001-2-12,9,7,6,4,3,3,87,74,66,1027,1023,1018,10,10,10,23,18,,0.00,5,,307<br />
2001-2-13,9,8,7,6,5,5,87,84,81,1033,1033,1032,10,10,10,27,26,,0.00,6,,216<br />
2001-2-14,7,6,5,3,3,2,87,78,71,1028,1027,1026,10,10,10,29,27,,0.00,5,,194<br />
2001-2-15,9,7,5,7,6,4,100,86,71,1030,1029,1026,10,10,9,29,14,,0.00,5,Fog,255<br />
2001-2-16,8,6,3,4,3,1,87,79,70,1036,1035,1034,10,10,10,23,13,,0.00,5,,221<br />
2001-2-17,8,7,5,6,5,4,100,94,87,1042,1042,1041,10,10,9,13,11,,0.00,4,Fog,223<br />
2001-2-19,9,7,4,5,3,2,93,78,66,1039,1039,1037,10,10,10,19,10,,0.00,5,,313<br />
2001-2-20,10,8,7,9,7,4,100,94,81,1034,1031,1029,10,6,1,26,18,,0.00,7,Rain,256<br />
2001-2-21,8,7,6,7,4,3,100,82,71,1029,1028,1028,10,10,6,26,16,,0.00,6,,313<br />
2001-2-22,8,7,5,5,4,1,93,83,66,1022,1020,1016,10,9,6,35,26,55,0.00,6,Rain,322<br />
2001-2-23,6,4,3,1,-1,-3,81,70,61,1014,1013,1012,10,10,10,48,40,76,0.00,3,Rain,346<br />
2001-2-24,5,3,1,1,-1,-3,93,78,65,1018,1017,1017,10,10,10,40,19,,0.00,4,Rain-Snow,354<br />
2001-2-26,3,1,0,2,1,-1,100,94,87,999,996,995,10,6,1,63,26,60,0.00,7,Rain-Snow,63<br />
2001-2-27,4,3,2,2,-3,-6,100,66,49,1006,1005,1003,10,10,5,53,52,74,0.00,1,,33<br />
2001-2-28,4,2,1,-1,-4,-7,87,62,45,1008,1008,1007,10,10,10,34,27,,0.00,2,,31<br />
2001-3-1,4,1,-2,-2,-4,-6,87,66,52,1004,1004,1003,10,10,10,14,8,,0.00,1,,114<br />
2001-3-2,3,2,1,-1,-2,-5,81,73,56,1001,1000,999,10,10,8,37,32,,0.00,6,Rain-Snow,159<br />
2001-3-3,6,3,1,2,1,-1,93,79,61,992,990,988,10,9,3,52,40,61,0.00,4,Rain-Snow,264<br />
2001-3-4,6,,6,2,2,2,76,76,76,992,992,992,10,10,10,45,45,,0.00,6,,200<br />
2001-3-5,9,8,7,6,5,5,93,84,76,1009,1005,1000,10,10,10,45,39,61,0.00,4,Rain,221<br />
2001-3-6,7,6,4,2,2,1,87,78,71,1010,1008,1003,8,6,5,48,43,,0.00,6,,141<br />
2001-3-7,10,9,8,8,7,7,100,88,82,993,991,987,10,8,5,53,39,,0.00,6,Rain,178<br />
2001-3-8,9,8,7,7,7,6,93,88,82,989,988,986,10,9,8,47,42,,0.00,3,,153<br />
2001-3-9,10,9,8,9,8,7,100,93,87,988,987,987,10,9,5,27,21,,0.00,6,Rain,219<br />
2001-3-10,9,8,8,9,8,8,100,99,93,990,987,986,10,4,1,27,18,,0.00,7,Fog-Rain,196<br />
2001-3-12,8,4,2,4,3,1,93,83,76,994,994,993,10,10,10,19,10,,0.00,2,Rain,202<br />
2001-3-13,8,6,4,4,3,2,87,78,71,1001,999,997,10,10,10,27,24,,0.00,1,,3<br />
2001-3-14,9,6,2,4,3,1,93,81,71,1006,1005,1004,10,10,10,16,11,,0.00,4,,331<br />
2001-3-15,5,4,3,1,-1,-2,87,72,61,1010,1009,1007,10,10,10,24,21,,0.00,1,,17<br />
2001-3-16,7,3,0,0,-1,-2,87,69,57,1015,1015,1013,10,10,10,32,23,,0.00,2,,73<br />
2001-3-17,5,2,0,-1,-2,-3,87,73,65,1013,1013,1013,10,10,10,29,19,,0.00,1,,70<br />
2001-3-18,6,0,0,-2,-2,-3,87,77,53,1013,1013,1013,10,10,10,21,18,,0.00,1,,50<br />
2001-3-19,7,4,2,1,-1,-1,81,66,57,1017,1016,1015,10,10,10,19,10,,0.00,1,,184<br />
2001-3-20,8,4,2,-1,-4,-7,75,54,34,1017,1016,1014,10,10,10,32,26,,0.00,1,,112<br />
2001-3-21,7,4,3,-2,-4,-6,70,53,39,1005,1002,999,10,10,10,45,35,,0.00,5,,101<br />
2001-3-22,6,4,3,-1,-2,-3,65,63,61,1000,999,997,10,10,10,24,19,,0.00,6,,87<br />
2001-3-23,7,6,4,2,2,1,87,78,66,1001,1000,999,10,10,10,19,13,,0.00,6,,74<br />
2001-3-24,7,6,4,2,2,1,87,78,71,1006,1005,1004,10,10,10,19,13,,0.00,8,Rain,100<br />
2001-3-26,7,4,3,2,1,-2,76,73,70,1010,1010,1009,10,10,10,40,35,,0.00,5,,135<br />
2001-3-27,5,4,4,2,1,0,81,79,75,1005,1004,1002,10,10,10,37,34,,0.00,7,Rain,127<br />
2001-3-28,9,7,5,4,3,3,87,81,71,992,991,990,10,10,10,24,19,,0.00,5,Rain,132<br />
2001-3-29,9,7,6,6,6,5,100,89,82,997,994,991,10,10,10,29,24,,0.00,4,,351<br />
2001-3-30,9,7,4,5,4,3,100,84,71,1005,1005,1004,10,10,10,32,13,,0.00,4,Rain,220<br />
2001-3-31,10,8,7,7,6,4,93,83,66,999,996,993,10,10,10,45,37,,0.00,3,Rain,260<br />
2001-4-2,10,9,8,8,7,7,93,91,87,1004,999,993,10,8,4,52,37,,0.00,6,Rain,148<br />
2001-4-3,9,7,5,4,2,0,81,72,66,999,997,992,10,10,5,47,42,69,0.00,2,Rain,252<br />
2001-4-4,8,6,5,3,2,0,87,76,57,996,996,995,10,10,10,39,27,,0.00,2,,297<br />
2001-4-9,8,,8,7,7,7,93,93,93,1007,1007,1007,1,1,1,21,21,,0.00,6,,230<br />
2001-4-13,9,9,9,9,9,9,100,100,100,1027,1027,1027,7,6,5,19,18,,0.00,8,,230<br />
2001-4-14,9,,9,9,9,9,100,100,100,1020,1020,1020,3,3,3,32,32,,0.00,8,Rain,250<br />
2001-4-19,8,7,7,0,0,-1,61,57,53,1019,1019,1019,10,10,10,26,26,,0.00,1,,7<br />
2001-4-20,10,7,5,6,4,1,87,82,76,1021,1021,1020,10,10,10,11,8,,0.00,5,Rain,353<br />
2001-4-21,8,8,7,8,7,7,100,97,93,1014,1012,1010,10,7,1,27,19,,0.00,7,Fog-Rain,198<br />
2001-4-23,9,7,5,5,4,4,93,85,71,1001,1000,1000,10,10,10,11,8,,0.00,6,Rain,123<br />
2001-4-24,13,9,6,5,4,3,93,71,51,1000,999,999,10,10,10,29,26,,0.00,6,,118<br />
2001-4-25,11,7,3,4,2,1,93,70,54,1002,1000,999,10,10,10,11,8,,0.00,6,,65<br />
2001-4-26,11,8,6,8,6,5,100,83,71,1011,1010,1009,10,10,8,13,5,,0.00,5,Fog,337<br />
2001-4-27,8,7,7,8,7,6,100,93,87,1008,1005,1002,10,8,3,40,24,,0.00,8,Fog-Rain,186<br />
2001-4-28,7,4,3,4,3,2,93,82,71,998,998,997,10,10,10,16,6,,0.00,1,,312<br />
2001-4-30,11,9,7,6,6,5,87,78,71,1017,1015,1013,10,10,10,27,26,,0.00,1,,360<br />
2001-5-1,13,9,6,9,8,5,93,86,77,1025,1024,1023,10,10,8,23,11,,0.00,5,Fog-Rain,232<br />
2001-5-2,11,9,9,9,9,8,100,97,88,1021,1018,1015,10,5,2,37,27,,0.00,7,Rain,218<br />
2001-5-3,10,7,3,6,4,2,93,76,62,1016,1015,1015,10,10,8,19,10,,0.00,2,Rain,306<br />
2001-5-4,11,8,5,5,4,3,93,72,58,1016,1016,1016,10,10,10,13,10,,0.00,4,,309<br />
2001-5-5,10,7,4,8,6,4,100,88,76,1025,1024,1022,10,9,3,10,5,,0.00,4,Fog,334<br />
2001-5-6,8,8,7,8,8,7,100,100,100,1030,1029,1029,10,5,0,21,16,,0.00,6,Fog,342<br />
2001-5-7,11,8,6,9,8,6,100,95,87,1033,1032,1032,10,4,0,14,5,,0.00,5,Fog,197<br />
2001-5-8,11,9,8,8,7,6,93,83,76,1032,1032,1031,10,10,10,11,6,,0.00,6,,355<br />
2001-5-9,14,12,10,7,6,4,82,65,54,1028,1027,1025,,,,16,10,,0.00,,,145<br />
2001-5-10,19,16,12,8,6,4,62,52,43,1024,1023,1022,10,10,10,27,18,,0.00,1,,109<br />
2001-5-11,18,14,12,10,9,8,77,65,59,1023,1023,1022,,,,26,16,,0.00,,,132<br />
2001-5-12,17,14,12,11,10,10,88,80,68,1022,1022,1021,,,,16,10,,0.00,,,155<br />
2001-5-14,12,11,10,10,8,7,94,84,72,1010,1009,1008,10,10,8,21,16,,0.00,7,,158<br />
2001-5-15,10,9,9,10,9,8,100,96,87,1007,1006,1005,10,6,0,13,11,,0.00,8,Fog,199<br />
2001-5-16,10,8,7,7,6,5,93,86,76,995,995,994,10,10,8,32,21,,0.00,7,Rain,18<br />
2001-5-17,11,9,9,8,7,6,93,88,76,1005,1003,1000,10,10,9,42,27,,0.00,7,Rain,3<br />
2001-5-18,12,10,9,8,7,6,93,80,71,1019,1015,1012,10,10,10,34,24,,0.00,5,Rain,301<br />
2001-5-19,11,10,9,10,8,7,100,91,82,1020,1020,1020,10,10,10,23,13,,0.00,6,,226<br />
2001-5-21,15,12,10,11,10,9,100,88,67,1025,1025,1024,10,10,10,16,10,,0.00,6,,194<br />
2001-5-22,15,12,9,11,11,9,100,88,77,1024,1023,1023,10,10,10,14,8,,0.00,3,Fog,169<br />
2001-5-23,18,12,9,12,11,9,100,85,64,1025,1024,1023,8,8,6,8,5,,0.00,1,Fog,169<br />
2001-5-24,19,13,8,12,11,7,100,81,64,1025,1025,1024,10,10,10,16,6,,0.00,4,Fog,155<br />
2001-5-25,13,12,12,11,10,10,94,85,82,1018,1016,1015,8,7,5,34,29,,0.00,6,Rain,151<br />
2001-5-26,14,12,11,12,9,9,94,83,77,1016,1015,1015,10,10,10,19,11,,0.00,5,,220<br />
2001-5-27,14,13,13,13,13,13,100,97,94,1012,1012,1011,9,7,5,32,26,,0.00,8,,215<br />
2001-5-28,13,12,12,13,11,11,100,93,88,1012,1010,1004,10,8,2,37,19,,0.00,7,Rain,188<br />
2001-5-29,14,12,11,10,8,8,94,76,67,1017,1015,1012,10,10,6,35,32,,0.00,4,Rain,268<br />
2001-5-30,13,11,10,10,9,8,94,85,72,1014,1014,1013,10,10,10,26,16,,0.00,3,,278<br />
2001-5-31,12,10,9,9,7,5,94,77,67,1019,1018,1016,10,10,5,32,26,,0.00,6,Rain,286<br />
2001-6-1,12,11,10,11,11,10,100,97,94,1019,1017,1014,10,8,3,34,24,,0.00,8,Rain,273<br />
2001-6-2,11,10,9,6,5,4,82,72,66,1022,1020,1018,10,10,10,45,40,,0.00,4,Rain,3<br />
2001-6-4,12,11,10,9,7,5,82,76,71,1022,1022,1021,10,10,10,29,21,,0.00,6,Rain,279<br />
2001-6-5,12,11,10,10,9,8,100,90,77,1015,1012,1008,10,9,3,32,19,,0.00,6,Rain,239<br />
2001-6-6,12,10,8,5,4,4,81,67,58,1007,1006,1006,10,10,10,21,16,,0.00,6,Rain,296<br />
2001-6-7,11,9,8,5,4,3,81,70,62,1010,1008,1006,10,10,10,35,24,,0.00,1,Rain,347<br />
2001-6-8,12,10,8,6,5,3,76,71,62,1013,1013,1012,10,10,10,32,18,40,0.00,5,Rain,306<br />
2001-6-9,12,10,10,9,9,8,94,88,82,1011,1010,1009,10,10,10,27,18,,0.00,3,,344<br />
2001-6-11,13,11,10,11,9,9,94,88,77,1019,1019,1019,10,10,10,26,16,,0.00,6,Rain,305<br />
2001-6-12,13,11,9,8,8,7,93,79,67,1019,1018,1018,10,10,10,11,2,,0.00,6,,177<br />
2001-6-13,14,11,8,11,9,7,93,84,77,1016,1016,1015,10,10,10,26,13,,0.00,4,,345<br />
2001-6-14,15,13,11,10,9,8,88,77,67,1014,1014,1013,10,10,10,21,13,,0.00,5,,125<br />
2001-6-15,12,11,10,9,8,7,94,83,76,1008,1008,1008,10,10,10,26,23,,0.00,8,Rain,61<br />
2001-6-16,11,10,10,8,7,6,82,81,76,1012,1011,1010,10,10,10,29,21,,0.00,8,Rain,53<br />
2001-6-17,11,,11,5,5,5,67,67,67,1024,1024,1024,10,10,10,24,24,,0.00,1,,180<br />
2001-6-18,13,10,7,9,7,6,93,77,67,1023,1023,1022,10,10,10,24,13,,0.00,8,Rain,156<br />
2001-6-19,13,12,12,12,12,12,100,94,94,1014,1013,1011,10,7,5,39,32,,0.00,8,Rain,189<br />
2001-6-20,14,12,11,11,9,8,94,84,72,1014,1012,1010,10,9,5,37,32,,0.00,6,Rain,288<br />
2001-6-21,12,10,9,9,8,8,94,85,77,1019,1018,1017,10,10,10,21,18,,0.00,6,,327<br />
2001-6-22,14,12,10,9,8,7,94,77,67,1019,
