VET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-31,32,26,19,29,21,16,89,66,49,1012,1010,1009,10,10,10,23,8,,0.00,3,,12<br />
2001-2-1,31,28,25,19,18,18,65,53,48,1013,1011,1009,10,10,10,23,10,,0.00,2,,39<br />
2001-2-2,31,24,19,19,18,17,88,63,45,1012,1010,1007,10,10,10,21,8,,0.00,2,,27<br />
2001-2-3,28,28,26,20,20,20,69,64,62,1010,1008,1007,10,10,10,16,13,,0.00,1,,20<br />
2001-2-4,32,24,20,19,18,17,88,68,40,1013,1011,1008,10,10,10,16,6,,0.00,1,,105<br />
2001-2-5,29,21,21,21,20,19,88,75,62,1011,1009,1008,10,10,10,19,16,,0.00,2,,80<br />
2001-2-6,30,26,21,21,20,19,88,65,55,1012,1010,1009,10,10,10,16,14,,0.00,3,,358<br />
2001-2-7,30,27,23,21,21,20,88,72,55,1011,1011,1010,10,10,10,8,5,,0.00,4,,45<br />
2001-2-8,31,21,21,20,20,20,94,73,52,1010,1009,1009,10,10,10,19,8,,0.00,4,,65<br />
2001-2-9,28,21,20,20,19,19,94,80,62,1012,1010,1008,10,10,10,11,8,,0.00,1,,204<br />
2001-2-11,28,23,22,20,19,19,83,73,58,1012,1011,1010,10,10,10,14,10,,0.00,4,,325<br />
2001-2-12,32,27,22,21,20,19,88,69,52,1013,1011,1008,10,10,10,19,10,,0.00,3,,61<br />
2001-2-13,31,26,20,20,19,18,88,65,52,1014,1011,1009,10,10,10,19,11,,0.00,3,,39<br />
2001-2-14,31,26,20,22,20,18,89,70,55,1013,1011,1009,10,9,6,23,10,,0.00,4,Rain,61<br />
2001-2-15,31,26,22,21,20,19,88,66,49,1012,1011,1009,10,10,10,23,6,,0.00,5,,28<br />
2001-2-16,32,26,20,20,18,17,88,58,40,1013,1012,1010,10,10,10,21,11,,0.00,6,,7<br />
2001-2-17,30,28,26,21,20,19,74,62,51,1014,1011,1010,10,10,10,14,10,,0.00,2,,48<br />
2001-2-18,31,29,27,20,19,18,65,58,49,1014,1012,1009,10,10,10,23,16,,0.00,2,,355<br />
2001-2-19,32,29,26,21,19,17,65,57,48,1015,1012,1010,10,10,10,23,11,,0.00,1,,6<br />
2001-2-20,32,26,19,18,17,16,88,56,38,1014,1011,1008,10,10,10,24,13,,0.00,1,,29<br />
2001-2-21,31,24,19,19,18,16,83,61,45,1013,1010,1008,10,10,10,26,14,,0.00,4,,44<br />
2001-2-22,32,27,22,20,19,16,78,57,40,1012,1009,1007,10,10,10,27,11,,0.00,5,,33<br />
2001-2-23,32,27,22,21,19,19,88,62,46,1012,1010,1008,10,10,10,23,11,,0.00,4,,353<br />
2001-2-24,33,27,21,20,19,17,83,57,40,1013,1011,1009,10,10,10,24,11,,0.00,3,,7<br />
2001-2-25,32,26,21,20,18,17,88,61,46,1014,1011,1009,10,10,10,24,8,,0.00,5,,16<br />
2001-2-26,31,26,20,20,18,17,83,64,46,1013,1010,1008,10,10,10,27,11,,0.00,3,,25<br />
2001-2-27,30,26,21,20,18,15,78,60,45,1012,1010,1009,10,10,10,27,14,,0.00,1,,40<br />
2001-2-28,30,25,20,22,19,14,94,66,43,1015,1011,1008,10,10,10,23,11,,0.00,2,,15<br />
2001-3-1,31,24,19,19,18,17,100,63,48,1013,1010,1008,10,10,10,19,10,,0.00,1,,36<br />
2001-3-2,32,26,21,21,20,18,94,69,46,1012,1010,1008,10,10,10,24,10,,0.00,3,,34<br />
2001-3-3,31,26,22,23,21,21,94,71,55,1014,1011,1009,10,10,10,19,6,,0.00,4,,326<br />
2001-3-4,33,28,23,23,22,21,94,69,52,1014,1011,1009,10,10,10,16,8,,0.00,3,,351<br />
2001-3-5,32,27,22,23,22,21,94,69,52,1013,1010,1008,10,10,10,14,6,,0.00,2,,5<br />
2001-3-6,33,27,21,23,21,19,89,63,49,1011,1009,1006,10,10,10,21,8,,0.00,1,,19<br />
2001-3-7,31,26,21,23,21,19,89,69,55,1012,1010,1008,10,10,10,21,8,,0.00,1,,324<br />
2001-3-8,33,27,22,22,21,20,94,69,49,1013,1011,1008,10,10,10,23,10,,0.00,3,,19<br />
2001-3-9,32,27,22,23,21,19,89,67,46,1020,1012,1008,10,10,10,21,8,,0.00,1,,348<br />
2001-3-10,31,26,20,22,19,17,94,65,43,1014,1011,1009,10,10,10,23,13,,0.00,2,,350<br />
2001-3-11,32,26,20,20,18,17,88,57,40,1014,1012,1009,10,10,10,24,13,,0.00,2,,7<br />
2001-3-12,31,26,20,29,20,17,94,71,49,1015,1011,1002,10,10,10,21,11,,0.00,2,,79<br />
2001-3-13,33,29,26,20,19,19,69,59,43,1012,1009,1007,10,10,10,21,10,,0.00,2,,61<br />
2001-3-14,31,26,21,21,19,17,88,65,43,1011,1010,1007,10,10,10,24,6,,0.00,2,,347<br />
2001-3-15,32,27,22,21,19,18,88,64,46,1010,1007,1006,10,10,10,19,13,,0.00,3,,24<br />
2001-3-16,32,27,23,22,21,18,88,63,43,1013,1010,1007,10,10,10,26,11,,0.00,3,,359<br />
2001-3-17,31,26,22,24,21,19,88,64,51,1013,1010,1007,10,10,10,24,11,,0.00,3,,13<br />
2001-3-18,31,28,26,21,20,18,74,58,49,1010,1008,1005,10,10,10,24,14,,0.00,1,,25<br />
2001-3-19,31,26,22,22,21,19,94,66,52,1010,1007,1005,10,10,10,23,8,,0.00,2,,329<br />
2001-3-20,32,28,24,23,22,21,89,67,52,1015,1009,1006,10,10,10,23,11,,0.00,2,,336<br />
2001-3-21,31,27,24,24,22,21,94,72,58,1012,1009,1005,10,10,10,24,10,,0.00,3,,345<br />
2001-3-22,32,28,24,24,22,21,94,69,52,1011,1008,1005,10,10,9,19,8,,0.00,2,,352<br />
2001-3-23,31,27,24,24,23,22,94,73,58,1010,1008,1005,10,10,10,21,10,,0.00,3,,180<br />
2001-3-24,32,27,23,23,22,21,94,72,52,1012,1009,1006,10,10,10,21,6,,0.00,6,,330<br />
2001-3-25,32,28,24,23,22,21,94,69,52,1013,1009,1007,10,10,9,21,8,,0.00,4,,355<br />
2001-3-26,33,28,24,23,22,20,89,64,49,1013,1011,1008,10,10,10,23,10,,0.00,4,,51<br />
2001-3-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-3-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-3,32,31,27,22,21,19,70,56,46,1012,1009,1007,10,10,10,14,11,,0.00,1,,347<br />
2001-4-4,32,27,22,24,22,19,89,66,55,1012,1010,1007,10,10,10,23,10,,0.00,5,,344<br />
2001-4-5,33,29,25,25,23,22,94,74,55,1012,1009,1006,10,10,10,24,8,,0.00,4,,341<br />
2001-4-6,33,29,25,24,22,20,89,68,49,1013,1010,1007,10,10,10,19,8,,0.00,3,,355<br />
2001-4-7,32,28,24,22,21,20,83,64,52,1013,1011,1009,10,10,10,19,6,,0.00,4,,180<br />
2001-4-8,33,28,23,22,21,18,88,60,46,1015,1011,1007,10,10,10,27,11,,0.00,3,,18<br />
2001-4-9,31,27,23,22,21,20,83,64,55,1012,1009,1006,10,10,10,19,6,,0.00,4,,355<br />
2001-4-10,31,27,23,23,22,20,88,71,55,1012,1009,1006,10,10,10,23,8,,0.00,2,,20<br />
2001-4-11,32,27,23,22,21,18,94,66,46,1012,1009,1007,10,10,10,24,6,,0.00,1,,10<br />
2001-4-12,33,28,23,23,22,21,89,69,52,1016,1011,1007,10,10,10,24,6,,0.00,3,,17<br />
2001-4-13,33,28,23,22,21,19,94,65,43,1013,1010,1008,10,10,10,29,10,,0.00,3,,10<br />
2001-4-14,32,27,23,21,21,20,83,62,49,1012,1009,1007,10,10,10,19,6,,0.00,2,,7<br />
2001-4-15,32,27,23,23,22,21,94,70,55,1012,1010,1007,10,10,10,24,5,,0.00,5,,20<br />
2001-4-16,32,27,23,23,22,21,94,71,52,1013,1009,1007,10,10,10,11,6,,0.00,3,,4<br />
2001-4-17,33,27,23,25,21,18,78,62,49,1013,1011,1008,10,9,7,10,5,,0.00,3,,350<br />
2001-4-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-4-22,31,28,28,24,23,22,70,68,66,1012,1012,1012,10,10,10,10,6,,0.00,3,,340<br />
2001-4-23,32,32,30,21,19,18,52,50,48,1015,1013,1010,10,10,10,19,13,,0.00,4,,180<br />
2001-4-24,29,26,23,22,21,21,88,77,66,1012,1009,1007,10,8,6,13,5,,0.00,4,,109<br />
2001-4-25,32,30,28,23,22,22,74,61,55,1012,1010,1008,10,9,6,14,10,,0.00,5,,348<br />
2001-4-26,32,29,26,24,23,23,89,73,59,1012,1011,1009,10,10,10,16,10,,0.00,4,,350<br />
2001-4-27,32,28,25,25,24,23,94,84,59,1010,1009,1008,10,10,10,19,10,,0.00,4,Rain,115<br />
2001-4-28,32,30,29,24,23,22,74,62,55,1012,1009,1007,10,10,10,19,14,,0.00,5,,353<br />
2001-4-29,30,26,23,24,23,22,94,80,66,1012,1011,1010,10,10,10,10,5,,0.00,2,,152<br />
2001-4-30,33,28,24,24,23,22,94,68,52,1012,1009,1006,10,10,10,26,10,,0.00,5,,9<br />
2001-5-1,24,24,24,23,23,23,94,94,94,1009,1009,1008,10,10,10,6,5,,0.00,4,,160<br />
2001-5-2,33,31,27,25,23,22,89,66,52,1011,1007,1005,10,10,10,26,10,,0.00,3,,18<br />
2001-5-3,34,28,25,24,23,23,89,66,52,1011,1009,1008,10,10,10,21,8,,0.00,2,,6<br />
2001-5-4,27,26,26,24,23,22,84,81,78,1010,1009,1008,10,10,10,10,10,,0.00,1,,340<br />
2001-5-5,34,29,25,22,21,16,66,53,46,1009,1006,1003,10,10,10,23,13,,0.00,3,,355<br />
2001-5-6,26,26,26,21,21,20,74,72,69,1006,1006,1005,10,10,10,11,11,,0.00,1,,180<br />
2001-5-7,34,32,27,24,21,19,74,54,41,1013,1006,1002,10,10,10,24,14,,0.00,3,,209<br />
2001-5-8,33,29,25,23,22,19,78,66,43,1007,1005,1004,10,10,10,23,14,,0.00,5,,115<br />
2001-5-9,32,28,24,25,23,23,94,82,59,1011,1009,1007,10,10,9,10,6,,0.00,4,,352<br />
2001-5-10,33,29,25,23,22,21,89,66,52,1013,1009,1006,10,10,10,21,10,,0.00,3,,12<br />
2001-5-11,31,27,24,23,22,21,89,74,62,1010,1009,1006,10,10,10,19,6,,0.00,2,,180<br />
2001-5-12,33,30,27,23,21,13,74,57,42,1017,1009,1006,10,10,10,24,13,,0.00,3,,358<br />
2001-5-13,30,28,25,23,23,23,89,78,66,1011,1010,1008,10,10,10,8,6,,0.00,3,,19<br />
2001-5-14,32,30,27,27,23,20,89,68,49,1010,1008,1006,10,10,10,23,11,,0.00,4,,354<br />
2001-5-15,32,28,24,23,23,23,94,72,59,1010,1009,1006,10,10,9,14,6,,0.00,4,,358<br />
2001-5-16,35,32,29,24,22,20,74,60,41,1009,1007,1005,10,10,10,23,16,,0.00,4,,351<br />
2001-5-17,33,29,26,25,23,19,89,67,43,1011,1009,1007,10,10,10,21,11,,0.00,5,,302<br />
2001-5-18,34,33,29,23,21,12,70,51,29,1011,1009,1007,10,10,10,26,18,,0.00,2,,349<br />
2001-5-19,33,28,23,24,22,20,89,67,49,1012,1010,1006,10,10,9,24,11,,0.00,2,,27<br />
2001-5-20,32,28,24,25,22,21,89,72,52,1012,1009,1007,10,10,10,23,8,,0.00,3,,2<br />
2001-5-21,32,28,24,24,23,21,89,72,52,1012,1010,1007,10,10,10,19,8,,0.00,2,,23<br />
2001-5-22,33,28,24,23,22,20,94,63,46,1013,1010,1007,10,10,10,23,10,,0.00,2,,19<br />
2001-5-23,33,28,24,24,22,21,89,68,52,1014,1010,1007,10,10,10,27,8,,0.00,3,,39<br />
2001-5-24,31,28,25,25,23,22,94,74,62,1013,1011,1008,10,10,10,19,6,,0.00,5,,31<br />
2001-5-25,32,28,24,23,22,20,89,69,52,1014,1011,1009,10,10,10,19,10,,0.00,2,,50<br />
2001-5-26,32,27,23,23,22,21,94,67,52,1012,1009,1005,10,10,10,23,10,,0.00,3,,17<br />
2001-5-27,31,27,24,24,23,22,89,77,62,1011,1008,1007,10,10,10,19,6,,0.00,4,,331<br />
2001-5-28,33,29,25,25,23,22,89,75,52,1012,1010,1007,10,10,10,23,13,,0.00,4,,347<br />
2001-5-29,32,29,27,22,21,20,74,60,49,1013,1011,1008,10,10,10,19,11,,0.00,2,,8<br />
2001-5-30,32,27,23,23,21,21,88,68,52,1013,1010,1008,10,10,10,21,10,,0.00,2,,41<br />
2001-5-31,31,27,23,26,23,22,100,82,58,1012,1010,1009,10,10,10,19,6,,0.00,3,,324<br />
2001-6-1,31,27,23,28,23,22,100,84,62,1012,1010,1008,10,10,10,14,6,,0.00,5,,31<br />
2001-6-2,31,27,23,23,22,21,94,77,55,1013,1011,1009,10,10,10,23,6,,0.00,5,,31<br />
2001-6-3,32,27,23,23,22,21,88,69,52,1012,1010,1007,10,10,10,21,8,,0.00,3,,15<br />
2001-6-4,34,28,23,22,20,13,88,60,28,1014,1011,1008,10,10,10,21,11,,0.00,2,,321<br />
2001-6-5,32,28,24,23,22,22,89,68,55,1012,1010,1008,10,10,10,23,11,,0.00,3,,42<br />
2001-6-6,32,27,22,24,22,21,94,73,55,1013,1011,1009,10,10,10,21,11,,0.00,2,,22<br />
2001-6-7,32,27,23,22,21,20,88,62,49,1015,1011,1008,10,10,10,26,11,,0.00,1,,38<br />
2001-6-8,33,28,23,24,23,21,94,74,52,1012,1010,1006,10,10,10,21,6,,0.00,4,,66<br />
2001-6-9,32,27,23,23,21,13,94,66,37,1012,1010,1007,10,10,10,19,8,,0.00,4,,26<br />
2001-6-10,32,27,23,23,22,21,94,76,52,1013,1011,1009,10,9,2,23,8,,0.00,4,Rain-Thunderstorm,49<br />
2001-6-11,32,26,21,23,21,20,100,69,49,1014,1011,1008,10,10,9,21,10,,0.00,3,,45<br />
2001-6-12,32,27,23,23,21,19,88,64,46,1012,1010,1008,10,10,10,23,10,,0.00,4,,28<br />
2001-6-13,30,27,23,23,22,22,94,75,62,1012,1010,1007,10,10,10,21,6,,0.00,4,,355<br />
2001-6-14,30,27,24,23,22,21,89,74,62,1012,1010,1008,10,10,10,16,8,,0.00,4,,28<br />
2001-6-15,31,26,22,24,22,20,94,71,52,1011,1009,1007,10,10,10,21,8,,0.00,3,,31<br />
2001-6-16,31,26,22,23,22,20,94,77,55,1010,1008,1006,10,10,10,23,8,,0.00,4,,64<br />
2001-6-17,33,27,21,22,21,18,88,67,46,1011,1009,1006,10,10,10,19,10,,0.00,2,,39<br />
2001-6-18,32,27,22,27,21,20,94,69,49,1012,1009,1007,10,10,10,27,10,,0.00,3,,45<br />
2001-6-19,30,26,22,23,22,21,94,79,62,1012,1010,1008,10,10,10,21,6,,0.00,5,,3<br />
2001-6-20,29,26,22,23,21,19,94,78,69,1013,1011,1008,10,10,10,23,8,,0.00,4,,196<br />
2001-6-21,30,27,23,23,22,20,89,74,55,1014,1012,1009,10,10,10,14,6,,0.00,5,,72<br />
2001-6-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-6-27,30,27,24,24,23,22,94,82,62,1011,1009,1003,10,10,10,21,8,,0.00,5,,180<br />
2001-6-28,29,22,22,25,22,21,94,87,79,1012,1011,1011,10,9,8,23,8,,0.00,4,Rain-Thunderstorm,120<br />
2001-6-29,26,,26,24,24,24,89,89,89,1013,1013,1013,10,10,10,11,11,,0.00,3,,340<br />
2001-6-30,29,27,25,22,20,17,78,63,54,1012,1010,1007,10,10,10,16,10,,0.00,4,,350<br />
2001-7-1,31,27,24,21,19,17,65,57,52,1009,1007,1005,10,10,10,21,16,,0.00,4,,7<br />
2001-7-2,32,27,23,23,22,22,94,72,55,1012,1010,1008,10,10,10,14,8,,0.00,5,,339<br />
2001-7-3,31,27,23,22,21,19,88,63,55,1012,1010,1005,10,10,10,24,10,,0.00,2,,2<br />
2001-7-4,30,26,22,22,21,21,94,69,58,1015,1011,1008,10,10,10,13,6,,0.00,3,,348<br />
2001-7-5,28,23,23,22,22,22,94,82,70,1011,1010,1009,10,10,10,6,6,,0.00,3,,90<br />
2001-7-6,27,24,21,23,21,19,94,89,79,1013,1010,1006,10,10,10,10,6,,0.00,2,,80<br />
2001-7-7,28,26,23,24,22,22,94,86,74,1013,1011,1010,10,10,10,13,6,,0.00,5,,221<br />
2001-7-8,30,26,22,24,22,21,100,87,66,1015,1012,1010,10,10,8,14,6,,0.00,5,,111<br />
2001-7-9,29,24,21,21,19,17,94,74,58,1016,1011,1006,10,10,9,10,5,,0.00,4,,33<br />
2001-7-10,31,28,26,24,22,21,89,69,55,1011,1009,1007,10,10,10,19,10,,0.00,4,,8<br />
2001-7-11,30,27,23,24,23,21,94,84,58,1012,1010,1008,10,10,10,13,6,,0.00,4,,296<br />
2001-7-12,30,26,22,22,22,20,100,86,55,1013,1012,1011,10,10,10,14,6,,0.00,5,,163<br />
2001-7-13,30,29,29,22,21,20,66,61,55,1012,1011,1008,10,10,10,13,10,,0.00,4,,2<br />
2001-7-14,30,27,23,23,22,22,94,80,66,1011,1009,1008,10,10,10,16,6,,0.00,4,Thunderstorm,222<br />
2001-7-15,30,26,22,23,22,21,94,79,62,1011,1010,1008,10,10,10,16,6,,0.00,4,,243<br />
2001-7-16,27,24,23,23,22,22,94,84,74,1013,1011,1009,10,10,8,13,8,,0.00,7,,216<br />
2001-7-17,31,26,22,22,22,21,100,75,55,1014,1012,1009,10,10,10,19,8,,0.00,5,,34<br />
2001-7-18,31,26,21,22,21,20,94,68,52,1012,1010,1007,10,10,10,19,10,,0.00,3,,36<br />
2001-7-19,30,26,23,22,22,22,94,80,62,1012,1011,1010,10,10,10,21,6,,0.00,2,,86<br />
2001-7-20,33,,33,22,22,22,52,52,52,1010,1010,1010,9,9,9,6,6,,0.00,6,Thunderstorm,50<br />
2001-7-21,30,30,30,22,22,22,62,62,62,1011,1010,1010,10,10,10,16,16,,0.00,3,,340<br />
2001-7-22,33,,33,22,22,22,52,52,52,1010,1010,1010,9,9,9,6,6,,0.00,6,Thunderstorm,50<br />
2001-7-23,30,29,23,22,21,21,94,71,58,1012,1011,1010,10,10,10,14,11,,0.00,4,,330<br />
2001-7-24,30,26,22,22,22,21,94,75,58,1013,1011,1009,10,10,10,11,8,,0.00,4,,62<br />
2001-7-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2001-7-26,30,22,22,21,21,21,94,76,58,1011,1010,1009,10,10,10,13,11,,0.00,4,,45<br />
2001-7-27,29,27,25,22,22,21,78,70,66,1014,1013,1011,10,10,10,13,6,,0.00,4,,292<br />
2001-7-28,33,30,26,23,22,20,83,63,52,1014,1013,1011,10,10,10,8,6,,0.00,4,,254<br />
2001-7-29,30,28,26,24,23,22,78,72,66,1011,1009,1007,10,10,10,16,10,,0.00,5,Thunderstorm,311<br />
2001-7-30,32,27,22,23,22,21,94,71,52,1012,1010,1008,10,10,10,16,11,,0.00,4,,61<br />
2001-7-31,29,27,26,24,23,22,89,79,66,1013,1012,1011,10,10,10,10,8,,0.00,2,,150<br />
2001-8-1,31,26,22,24,23,21,94,82,58,1013,1011,1010,10,10,10,10,5,,0.00,5,,179<br />
2001-8-2,32,27,22,25,22,19,94,80,46,1013,1011,1010,10,10,8,13,6,,0.00,5,Rain,123<br />
2001-8-3,30,26,22,23,22,21,94,76,66,1012,1010,1008,10,10,9,16,8,,0.00,4,Rain,45<br />
2001-8-4,29,26,22,22,22,21,94,83,62,1013,1012,1011,10,9,2,16,8,,0.00,4,Rain-Thunderstorm,167<br />
2001-8-5,30,26,21,22,21,19,89,74,62,1014,1012,1011,10,10,10,16,8,,0.00,3,,93<br />
2001-8-6,29,26,22,23,22,21,100,85,66,1013,1011,1008,10,10,10,14,6,,0.00,4,,103<br />
2001-8-7,33,27,22,23,22,20,100,81,46,1015,1012,1010,10,10,10,14,6,,0.00,4,,111<br />
2001-8-8,29,26,22,24,22,20,88,79,62,1014,1013,1011,10,10,10,10,6,,0.00,6,,92<br />
2001-8-9,31,27,23,22,21,21,88,65,55,1015,1012,1009,10,10,10,3,0,,0.00,3,,90<br />
2001-8-10,31,27,23,23,22,21,94,80,55,1013,1011,1010,10,10,10,0,0,,0.00,3,Thunderstorm,-1<br />
2001-8-11,31,26,22,23,22,21,94,81,58,1013,1012,1010,10,10,10,0,0,,0.00,4,,-1<br />
2001-8-12,30,26,22,25,23,21,94,83,58,1014,1012,1010,,,,,,,0.00,4,,-1<br />
2001-8-13,31,26,22,24,22,21,94,77,58,1061,1015,1007,10,10,10,,,,0.00,3,,-1<br />
2001-8-14,34,28,22,24,22,20,94,73,49,1011,1009,1006,,,,,,,0.00,3,,-1<br />
2001-8-15,33,28,23,28,22,18,94,67,54,1012,1009,1006,10,10,10,27,27,,0.00,1,,80<br />
2001-8-16,32,27,23,24,23,21,100,80,59,1011,1007,1003,10,10,10,0,0,,0.00,5,Thunderstorm,-1<br />
2001-8-17,30,27,24,24,23,23,94,82,66,1013,1010,1008,10,10,10,14,10,,0.00,5,,0<br />
2001-8-18,28,26,23,24,22,22,94,86,70,1011,1010,1008,,,,,,,0.00,4,Thunderstorm,-1<br />
2001-8-19,30,28,27,24,22,21,79,68,62,1011,1009,1007,,,,,,,0.00,3,,-1<br />
2001-8-20,26,,26,24,24,24,89,89,89,1009,1009,1009,10,10,10,0,0,,0.00,6,,-1<br />
2001-8-21,31,29,25,24,22,20,83,69,52,1014,1010,1006,10,10,10,11,5,,0.00,3,,55<br />
2001-8-22,30,26,22,23,22,21,94,72,66,1014,1011,1010,10,10,10,3,3,,0.00,6,,70<br />
2001-8-23,31,26,19,23,22,18,94,75,55,1014,1011,1006,10,10,10,0,0,,0.00,4,,-1<br />
2001-8-24,30,27,23,23,22,19,94,75,58,1013,1009,1005,10,10,10,24,11,,0.00,3,,90<br />
2001-8-25,31,26,22,24,22,21,94,71,62,1012,1010,1008,10,10,10,0,0,,0.00,3,,-1<br />
2001-8-26,30,26,22,25,20,1,94,73,21,1012,1010,1007,10,10,10,,,,0.00,7,,-1<br />
2001-8-27,30,26,21,23,21,20,94,76,62,1016,1012,1010,10,10,10,0,0,,0.00,2,,-1<br />
2001-8-28,29,29,28,22,22,21,66,66,66,1008,1007,1007,,,,,,,0.00,6,,-1<br />
2001-8-29,31,22,22,21,21,21,94,74,55,1009,1009,1008,,,,,,,0.00,4,,-1<br />
2001-8-30,31,28,24,25,23,22,94,85,66,1008,1008,1007,10,10,10,0,0,,0.00,5,,-1<br />
2001-8-31,31,26,21,24,23,20,94,72,62,1009,1008,1007,10,10,10,19,19,,0.00,2,,340<br />
