CEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-2-6,10,8,2,9,7,1,100,91,82,1006,1002,1000,10,7,2,14,10,,0.00,6,Rain,195<br />
2002-2-7,8,4,0,5,3,-1,93,82,71,1017,1013,1006,10,10,10,26,13,,0.00,6,,233<br />
2002-2-8,9,7,4,6,4,2,93,86,76,1013,1010,1008,10,10,7,29,21,,0.00,6,Rain,245<br />
2002-2-9,12,9,6,9,7,4,100,88,76,1011,1002,996,10,9,5,29,18,,0.00,6,Rain,227<br />
2002-2-10,8,7,5,6,4,3,93,83,4,1004,1000,996,10,10,10,29,18,,0.00,5,Rain,248<br />
2002-2-11,11,8,5,9,7,4,100,93,87,1004,998,995,10,9,4,29,23,43,0.00,6,Rain,234<br />
2002-2-12,11,9,7,9,6,4,100,79,66,1002,997,993,10,10,7,43,26,35,0.00,6,Rain,265<br />
2002-2-13,7,3,-1,5,0,-3,93,79,61,1020,1012,1003,10,10,10,35,23,,0.00,5,,308<br />
2002-2-14,4,-1,-5,-1,-4,-7,93,77,48,1032,1028,1020,10,10,10,18,8,,0.00,3,,342<br />
2002-2-15,4,-2,-7,-1,-5,-8,100,83,49,1034,1033,1032,10,7,5,14,3,,0.00,1,Fog,221<br />
2002-2-16,5,0,-5,1,-2,-6,100,91,75,1034,1032,1028,10,5,0,6,3,,0.00,4,Fog,193<br />
2002-2-17,7,0,-7,0,-2,-7,100,83,61,1028,1021,1016,9,5,3,14,8,,0.00,0,,177<br />
2002-2-18,4,0,-3,2,0,-4,100,89,75,1015,1011,1010,10,6,3,18,10,,0.00,4,Rain,225<br />
2002-2-19,4,2,0,2,0,-3,93,85,75,1011,1004,995,10,9,7,35,23,55,0.00,5,Rain,237<br />
2002-2-20,5,2,-1,4,0,-3,100,95,80,1005,990,984,10,7,1,29,14,43,0.00,6,Rain-Snow,183<br />
2002-2-21,2,-3,-8,1,-4,-9,100,88,69,1017,1005,986,10,8,1,29,13,43,0.00,5,Fog-Rain-Snow,322<br />
2002-2-22,3,-3,-9,2,-3,-10,100,87,69,1016,998,989,10,6,0,35,21,58,0.00,6,Rain-Snow,192<br />
2002-2-23,3,2,0,1,-1,-2,93,82,70,989,988,987,10,10,1,29,24,47,0.00,5,Rain-Snow,225<br />
2002-2-24,4,2,-1,0,-2,-4,100,83,56,1003,997,988,10,10,6,32,19,,0.00,5,Snow,269<br />
2002-2-25,4,0,-3,-1,-2,-5,93,82,56,1005,1003,1001,10,10,7,18,11,,0.00,5,Snow,250<br />
2002-2-26,10,5,0,8,4,-2,100,89,66,1002,989,984,10,8,1,40,21,61,0.00,6,Rain-Snow,200<br />
2002-2-27,8,6,3,4,1,-2,87,74,53,997,992,987,10,10,10,35,27,58,0.00,5,Rain,244<br />
2002-2-28,6,3,2,3,1,-2,93,80,70,1000,997,995,10,10,7,32,16,,0.00,6,Rain-Snow,228<br />
2002-3-1,5,1,-3,3,1,-4,93,85,65,1011,1005,1000,10,10,10,29,16,,0.00,5,Rain,270<br />
2002-3-2,4,-1,-5,-1,-4,-5,100,76,52,1013,1010,1004,10,9,5,26,11,,0.00,3,Snow,230<br />
2002-3-3,5,0,-3,2,-3,-9,93,72,41,1013,1011,1004,10,9,1,29,21,,0.00,5,Rain-Snow,272<br />
2002-3-4,8,6,4,6,5,2,100,92,81,1016,1014,1011,10,7,2,32,19,,0.00,7,Rain,250<br />
2002-3-5,7,6,5,5,5,4,93,90,87,1014,1011,1009,10,5,3,18,11,,0.00,6,,221<br />
2002-3-6,8,6,5,6,3,2,93,81,71,1009,999,993,10,10,7,29,21,50,0.00,6,Rain,225<br />
2002-3-7,9,7,4,7,4,0,93,83,71,1007,996,989,10,10,6,40,31,61,0.00,6,Rain,273<br />
2002-3-8,9,6,3,2,1,0,81,71,54,1021,1018,1009,10,10,10,32,23,50,0.00,4,,274<br />
2002-3-9,11,7,4,6,3,1,100,76,58,1016,1007,1002,10,10,4,26,14,,0.00,5,Rain,221<br />
2002-3-10,8,6,3,5,2,0,93,78,57,1016,1010,1000,10,10,5,29,16,43,0.00,6,Rain,256<br />
2002-3-11,14,7,1,3,1,-1,87,63,44,1017,1016,1015,10,10,10,29,14,,0.00,4,,206<br />
2002-3-12,13,7,0,6,3,-2,93,77,54,1017,1016,1015,,,,11,6,,0.00,,,174<br />
2002-3-13,8,6,2,7,4,1,100,94,87,1016,1014,1012,10,8,1,18,10,,0.00,6,Rain,353<br />
2002-3-14,3,1,0,2,-1,-5,100,82,65,1023,1020,1016,10,10,10,21,14,,0.00,6,Rain-Snow,32<br />
2002-3-15,3,1,-1,-3,-6,-8,86,59,45,1025,1024,1023,10,10,10,21,16,,0.00,8,,86<br />
2002-3-16,7,3,-1,0,-2,-5,87,70,56,1025,1022,1019,10,10,10,18,13,,0.00,7,Rain,119<br />
2002-3-17,7,2,-3,4,1,-5,93,87,81,1019,1016,1012,10,7,4,14,6,,0.00,4,,148<br />
2002-3-18,16,9,3,9,7,3,100,79,63,1012,1007,1001,8,4,1,18,13,,0.00,3,,161<br />
2002-3-19,10,8,6,8,6,3,93,83,76,1002,995,992,10,9,4,32,21,43,0.00,6,Rain,223<br />
2002-3-20,8,6,3,4,2,-1,87,77,70,1009,1005,1002,10,10,10,26,18,43,0.00,6,,263<br />
2002-3-21,7,3,1,1,0,-2,93,76,53,1010,1009,1008,10,10,10,29,18,43,0.00,6,Rain,271<br />
2002-3-22,6,3,1,2,0,-6,93,82,60,1017,1012,1009,10,10,10,29,18,,0.00,5,Rain,306<br />
2002-3-23,4,3,2,2,1,-1,93,89,75,1030,1024,1017,10,10,8,21,18,40,0.00,6,Rain,360<br />
2002-3-24,3,1,0,0,-1,-2,93,83,75,1034,1033,1030,10,9,1,18,13,,0.00,6,Rain-Snow,9<br />
2002-3-25,3,1,-1,-2,-3,-4,87,77,65,1034,1032,1031,10,10,10,11,6,,0.00,6,,339<br />
2002-3-26,4,1,-2,0,-3,-6,100,72,52,1032,1031,1030,10,10,10,6,2,,0.00,6,,55<br />
2002-3-27,7,0,-6,-1,-3,-7,93,75,49,1034,1033,1032,10,10,7,14,3,,0.00,2,,324<br />
2002-3-28,10,2,-5,3,-1,-6,100,78,54,1034,1032,1031,7,3,1,14,3,,0.00,0,Fog,294<br />
2002-3-29,15,5,-5,5,0,-5,100,72,34,1031,1029,1026,5,2,0,14,3,,0.00,0,Fog,306<br />
2002-3-30,17,6,-6,2,-3,-9,100,54,16,1026,1022,1019,8,5,4,14,5,,0.00,0,,149<br />
2002-3-31,19,10,0,3,1,-2,93,68,30,1020,1019,1019,9,6,5,11,5,,0.00,6,,323<br />
2002-4-1,16,7,-1,3,0,-2,93,60,31,1022,1020,1019,7,5,5,18,8,,0.00,4,,136<br />
2002-4-2,18,9,0,6,1,-2,93,56,30,1025,1024,1022,,,,18,8,,0.00,,,119<br />
2002-4-3,13,8,4,2,-3,-7,76,46,25,1025,1024,1022,,,,26,14,,0.00,,,101<br />
2002-4-4,12,6,0,-2,-4,-7,70,48,26,1023,1019,1015,,,,21,13,,0.00,,,81<br />
2002-4-5,6,2,-2,-1,-4,-7,87,59,39,1019,1018,1016,10,10,10,26,14,,0.00,2,,41<br />
2002-4-6,5,1,-2,0,-2,-5,93,76,61,1021,1019,1018,10,10,4,21,8,,0.00,6,Snow,354<br />
2002-4-7,8,1,-6,-2,-6,-8,100,62,32,1025,1024,1021,10,10,10,11,8,,0.00,1,,140<br />
2002-4-8,10,2,-5,-1,-3,-6,93,65,35,1027,1026,1025,10,10,10,11,8,,0.00,6,,73<br />
2002-4-9,11,3,-3,0,-3,-6,86,59,32,1026,1024,1021,10,10,10,18,8,,0.00,5,,46<br />
2002-4-10,12,6,1,2,-1,-4,81,61,35,1025,1023,1021,10,9,7,18,10,,0.00,3,,62<br />
2002-4-11,13,10,7,4,2,0,71,62,51,1021,1016,1010,10,9,8,21,10,,0.00,6,,98<br />
2002-4-12,17,12,8,10,6,4,94,70,45,1009,1004,1001,10,9,4,29,13,,0.00,5,Rain,134<br />
2002-4-13,12,10,9,9,8,7,94,84,77,1002,1000,999,10,7,5,11,6,,0.00,6,,100<br />
2002-4-14,15,11,8,10,8,7,100,84,67,1006,1004,1002,10,6,1,14,5,,0.00,6,,31<br />
2002-4-15,9,7,5,8,7,5,100,96,87,1009,1007,1006,6,4,2,14,11,,0.00,6,Rain,26<br />
2002-4-16,8,7,5,7,6,5,100,97,93,1014,1011,1009,8,3,1,14,6,,0.00,7,Fog-Rain,298<br />
2002-4-17,13,9,6,6,6,4,100,81,54,1017,1016,1014,10,7,2,14,5,,0.00,6,,176<br />
2002-4-18,13,9,4,6,5,3,100,77,58,1020,1018,1017,10,8,4,18,10,,0.00,5,,196<br />
2002-4-19,15,8,2,9,6,1,100,84,51,1022,1021,1020,10,6,0,18,6,,0.00,5,Fog-Rain,103<br />
2002-4-20,13,9,5,9,7,4,100,83,67,1034,1028,1022,10,7,0,18,8,,0.00,5,Fog,37<br />
2002-4-21,14,8,3,5,3,-1,100,76,38,1037,1036,1034,10,4,0,18,10,,0.00,7,Fog,354<br />
2002-4-22,18,8,-1,4,1,-2,100,59,32,1036,1033,1029,7,5,3,6,3,,0.00,0,Fog,63<br />
2002-4-23,15,9,3,10,7,1,100,79,67,1025,1023,1022,10,7,4,21,10,,0.00,5,Fog-Rain,267<br />
2002-4-24,13,9,5,8,7,4,93,82,63,1024,1023,1023,10,10,6,14,8,,0.00,5,Fog,309<br />
2002-4-25,16,10,4,11,8,3,100,83,63,1023,1019,1015,10,8,3,14,6,,0.00,6,,255<br />
2002-4-26,17,12,7,12,10,7,100,84,59,1014,1006,998,10,4,0,18,6,,0.00,5,Fog-Rain,190<br />
2002-4-27,11,8,5,10,4,0,100,79,47,1007,1001,996,10,8,1,47,18,61,0.00,6,Rain,233<br />
2002-4-28,12,6,1,8,4,0,100,85,62,1009,1006,1003,10,9,7,26,11,,0.00,5,Rain,175<br />
2002-4-29,14,10,6,9,6,4,93,77,58,1007,1003,1001,10,10,5,26,16,,0.00,6,Rain,187<br />
2002-4-30,14,9,5,7,5,3,93,76,51,1012,1011,1007,10,10,10,18,11,,0.00,5,Rain,200<br />
2002-5-1,20,14,9,13,7,3,82,63,46,1011,1008,1007,10,10,10,26,18,,0.00,6,,176<br />
2002-5-2,19,14,10,12,10,8,100,81,59,1011,1010,1009,10,9,6,14,6,,0.00,6,Rain,17<br />
2002-5-3,17,12,7,12,8,6,94,80,63,1012,1010,1008,6,6,6,18,10,,0.00,6,,357<br />
2002-5-4,12,9,7,10,8,6,94,91,87,1011,1010,1008,10,5,3,18,8,,0.00,6,,324<br />
2002-5-5,16,8,0,12,9,-1,100,88,72,1020,1014,1008,10,6,0,14,8,,0.00,6,Fog-Rain-Thunderstorm,301<br />
2002-5-6,15,11,7,11,8,6,100,93,77,1024,1021,1017,10,6,0,21,10,,0.00,6,Fog-Rain,311<br />
2002-5-7,17,12,7,12,9,6,100,91,72,1024,1023,1023,10,4,0,14,6,,0.00,6,Fog,227<br />
2002-5-8,25,18,10,15,11,9,100,70,38,1024,1020,1016,10,4,0,21,8,,0.00,5,Fog,94<br />
2002-5-9,26,19,13,12,9,5,88,52,26,1017,1015,1013,10,10,10,26,13,,0.00,1,,119<br />
2002-5-10,26,19,13,14,10,7,82,53,30,1014,1012,1009,10,10,10,21,11,,0.00,1,,91<br />
2002-5-11,26,19,13,15,11,8,94,64,34,1011,1009,1007,10,9,5,21,13,,0.00,5,Rain-Thunderstorm,116<br />
2002-5-12,21,16,12,15,13,11,94,80,60,1015,1011,1009,10,9,6,18,10,,0.00,6,,222<br />
2002-5-13,20,16,12,12,11,9,94,77,52,1019,1017,1015,10,8,4,11,6,,0.00,4,,4<br />
2002-5-14,22,14,7,16,12,7,100,86,64,1018,1015,1012,10,8,5,26,11,,0.00,3,Fog-Rain-Thunderstorm,121<br />
2002-5-15,18,13,8,11,9,8,100,79,52,1023,1021,1018,10,9,7,29,8,,0.00,6,Fog-Rain,259<br />
2002-5-16,21,16,10,12,11,8,94,74,52,1024,1020,1016,10,9,6,26,11,,0.00,6,Rain,249<br />
2002-5-17,15,10,5,11,8,4,100,82,63,1016,1014,1013,10,8,1,21,8,,0.00,5,Fog,307<br />
2002-5-18,21,11,2,10,6,2,100,64,40,1017,1016,1015,10,8,1,11,3,,0.00,2,Fog,51<br />
2002-5-19,17,11,6,13,9,5,94,80,59,1019,1018,1017,10,9,5,6,5,,0.00,6,Rain,107<br />
2002-5-20,19,16,12,11,10,5,94,78,55,1020,1019,1019,10,9,4,11,3,,0.00,6,,86<br />
2002-5-21,23,16,8,11,8,5,82,59,41,1018,1015,1012,10,10,10,21,11,,0.00,3,,121<br />
2002-5-22,26,19,13,14,12,9,77,60,42,1011,1009,1007,10,10,10,26,16,,0.00,1,,129<br />
2002-5-23,26,19,13,16,14,11,88,69,44,1007,1005,1004,10,10,10,18,10,,0.00,4,,121<br />
2002-5-24,18,14,10,15,13,9,100,92,83,1010,1007,1004,10,7,1,29,13,,0.00,6,Rain-Thunderstorm,289<br />
2002-5-25,20,14,9,14,12,8,100,78,56,1014,1012,1010,10,9,7,18,8,,0.00,5,,210<br />
2002-5-26,14,12,10,13,11,9,100,95,88,1015,1011,1007,10,6,2,18,10,,0.00,6,Rain,23<br />
2002-5-27,20,16,11,12,11,9,94,73,49,1010,1009,1008,10,10,6,11,8,,0.00,5,,318<br />
2002-5-28,20,16,11,14,12,10,94,81,52,1009,1008,1007,10,10,7,14,8,,0.00,5,,30<br />
2002-5-29,20,16,11,13,12,11,100,81,60,1016,1012,1009,10,9,0,21,10,,0.00,6,Fog,316<br />
2002-5-30,19,14,10,13,9,7,100,70,49,1023,1021,1016,10,9,4,18,10,,0.00,4,Fog,280<br />
2002-5-31,20,14,9,11,9,6,94,76,48,1023,1022,1021,10,10,8,26,8,,0.00,5,Fog-Rain,249<br />
2002-6-1,16,12,8,11,8,7,100,78,59,1024,1023,1022,10,10,6,26,14,,0.00,5,Rain,305<br />
2002-6-2,21,13,5,11,8,4,100,67,40,1024,1023,1022,10,8,1,18,6,,0.00,1,Fog,12<br />
2002-6-3,23,16,9,14,10,8,94,62,43,1022,1017,1013,10,10,10,14,8,,0.00,3,,63<br />
2002-6-4,25,18,11,15,11,6,73,60,47,1014,1012,1011,10,10,10,11,8,,0.00,6,,119<br />
2002-6-5,27,21,15,14,10,8,77,46,30,1012,1010,1008,,,,26,14,,0.00,,,110<br />
2002-6-6,26,21,16,13,11,9,68,51,34,1010,1009,1008,10,10,10,29,18,43,0.00,4,Rain,95<br />
2002-6-7,21,16,10,12,10,9,100,62,46,1008,1007,1006,10,10,10,26,18,43,0.00,6,Rain,95<br />
2002-6-8,20,17,13,15,12,10,94,77,56,1010,1008,1007,10,10,6,14,8,,0.00,6,Rain,104<br />
2002-6-9,20,17,13,15,13,12,100,83,68,1010,1009,1008,10,10,6,11,5,,0.00,6,Fog,104<br />
2002-6-10,23,18,14,14,13,11,94,76,50,1010,1008,1007,10,9,4,21,8,,0.00,6,Rain-Thunderstorm,130<br />
2002-6-11,20,16,10,14,11,8,100,75,49,1017,1014,1010,10,8,3,26,11,,0.00,5,Rain,256<br />
2002-6-12,18,13,8,14,11,7,94,79,59,1017,1016,1014,10,10,10,18,10,,0.00,6,Rain,186<br />
2002-6-13,17,14,13,14,12,9,94,82,68,1014,1012,1010,10,9,5,26,11,,0.00,6,Rain,219<br />
2002-6-14,20,16,11,11,10,8,88,69,49,1017,1014,1012,10,10,10,29,18,43,0.00,5,,265<br />
2002-6-15,24,17,9,18,14,8,94,83,57,1017,1013,1010,10,7,4,21,8,,0.00,5,Rain,193<br />
2002-6-16,21,16,11,15,13,10,94,76,60,1018,1017,1015,10,10,10,18,11,,0.00,6,,263<br />
2002-6-17,25,19,13,18,16,12,94,78,57,1021,1019,1017,10,10,10,18,6,,0.00,6,,281<br />
2002-6-18,31,22,14,19,17,13,100,66,43,1022,1020,1016,10,10,10,119,10,,0.00,0,Fog,146<br />
2002-6-19,24,20,16,18,14,8,88,65,43,1024,1021,1016,10,10,10,18,11,,0.00,6,,347<br />
2002-6-20,25,19,14,19,15,11,94,79,65,1025,1020,1013,10,8,5,26,11,43,0.00,6,Rain-Thunderstorm,101<br />
2002-6-21,21,18,15,18,14,12,94,75,60,1022,1020,1014,10,10,8,26,13,,0.00,6,,291<br />
2002-6-22,22,17,12,15,13,11,100,74,53,1020,1020,1018,10,10,10,21,10,,0.00,5,,264<br />
2002-6-23,21,18,12,16,13,9,100,76,52,1019,1016,1013,10,8,3,29,11,,0.00,6,Rain,272<br />
2002-6-24,20,14,9,11,8,6,88,66,40,1023,1020,1019,10,10,10,26,11,,0.00,6,,278<br />
2002-6-25,19,14,10,12,10,8,94,73,56,1024,1024,1023,10,10,10,18,10,,0.00,4,,268<br />
2002-6-26,21,16,10,13,11,1,94,70,28,1023,1021,1016,10,10,10,35,11,,0.00,5,,264<br />
2002-6-27,19,16,11,16,12,9,94,79,56,1015,1010,1008,10,8,4,26,8,,0.00,6,Rain-Thunderstorm,218<br />
2002-6-28,18,13,9,11,8,7,100,75,52,1009,1008,1007,10,9,5,29,13,,0.00,6,Rain-Thunderstorm,216<br />
2002-6-29,17,13,11,10,8,6,88,72,52,1015,1012,1008,10,10,10,29,23,43,0.00,5,Rain,271<br />
2002-6-30,17,13,9,12,10,7,100,82,68,1015,1013,1010,10,9,5,29,11,,0.00,6,Rain,209<br />
2002-7-1,17,14,13,13,12,11,94,82,68,1009,1007,1006,10,9,5,21,11,,0.00,6,Rain,210<br />
2002-7-2,20,17,13,15,13,11,94,85,68,1006,1004,1003,10,9,3,26,14,,0.00,6,Rain,188<br />
2002-7-3,22,16,11,17,13,11,100,77,53,1008,1007,1004,10,10,10,26,11,,0.00,6,,170<br />
2002-7-4,19,17,14,16,13,12,100,83,64,1010,1006,1003,10,8,2,26,10,,0.00,6,Fog-Rain,218<br />
2002-7-5,22,16,11,13,11,9,94,69,46,1017,1015,1011,10,10,7,26,16,,0.00,4,Rain,225<br />
2002-7-6,26,19,12,14,12,9,94,67,36,1015,1013,1012,10,9,6,18,13,,0.00,6,Rain,150<br />
2002-7-7,22,16,11,16,13,11,100,76,53,1018,1016,1014,10,7,0,21,6,,0.00,5,Fog,262<br />
2002-7-8,26,18,10,17,13,10,100,66,42,1019,1017,1015,10,8,1,21,8,,0.00,1,Fog,148<br />
2002-7-9,31,23,16,17,15,13,82,57,35,1015,1013,1010,,,,26,14,,0.00,,,131<br />
2002-7-10,32,26,20,20,16,13,78,50,31,1010,1007,1004,10,10,10,43,18,61,0.00,3,Thunderstorm,139<br />
2002-7-11,22,18,13,16,12,9,94,69,43,1022,1017,1008,10,10,8,21,13,,0.00,5,,248<br />
2002-7-12,25,17,9,14,11,8,100,64,36,1024,1023,1022,10,8,6,18,5,,0.00,1,Fog,16<br />
2002-7-13,27,20,14,15,12,9,82,56,34,1022,1020,1017,10,10,10,21,13,40,0.00,2,Rain,77<br />
2002-7-14,25,20,16,16,13,10,94,69,53,1022,1020,1019,10,10,10,18,13,,0.00,6,Rain,37<br />
2002-7-15,24,19,15,16,15,13,100,77,60,1022,1019,1018,10,10,10,21,13,,0.00,6,Rain,25<br />
2002-7-16,27,20,14,18,16,12,88,68,54,1018,1015,1012,10,9,5,18,11,,0.00,3,,32<br />
2002-7-17,27,22,17,19,17,14,83,72,51,1012,1010,1008,10,10,10,21,13,,0.00,6,Rain,61<br />
2002-7-18,24,21,18,19,17,13,100,79,61,1010,1008,1006,10,8,1,14,11,,0.00,5,,163<br />
2002-7-19,20,17,14,16,14,12,88,83,73,1014,1012,1010,10,10,10,14,10,,0.00,6,,197<br />
2002-7-20,20,18,16,17,16,14,94,91,78,1016,1015,1014,10,6,2,18,11,,0.00,6,Rain,257<br />
2002-7-21,26,19,13,16,14,12,100,78,44,1015,1011,1007,10,8,0,35,10,55,0.00,4,Fog-Rain-Thunderstorm,207<br />
2002-7-22,16,13,12,14,12,10,94,86,72,1010,1009,1008,10,9,2,35,16,,0.00,6,Rain,235<br />
2002-7-23,20,16,12,14,12,10,88,77,60,1010,1009,1008,10,10,10,26,18,,0.00,6,Rain,235<br />
2002-7-24,20,17,13,16,13,10,100,79,59,1009,1006,1004,10,8,1,26,14,,0.00,6,Rain,245<br />
2002-7-25,18,14,12,12,11,10,88,75,63,1011,1009,1009,10,10,10,26,16,,0.00,6,Rain,264<br />
2002-7-26,19,16,13,13,12,11,88,79,64,1017,1014,1012,10,10,10,18,11,,0.00,6,,228<br />
2002-7-27,25,20,15,16,14,12,94,71,44,1023,1021,1017,10,7,3,14,8,,0.00,6,,225<br />
2002-7-28,29,21,13,16,13,10,94,59,30,1025,1024,1022,,,,14,10,,0.00,,,122<br />
2002-7-29,32,26,19,19,16,12,73,56,38,1023,1021,1018,,,,18,11,,0.00,,,101<br />
2002-7-30,32,26,19,18,15,11,83,56,31,1020,1016,1012,,,,18,10,,0.00,,,79<br />
2002-7-31,33,26,18,19,17,16,94,61,38,1012,1009,1007,10,10,10,18,10,,0.00,5,,94<br />
2002-8-1,33,27,20,19,17,16,88,59,38,1009,1007,1005,10,10,10,26,11,,0.00,6,,105<br />
2002-8-2,25,21,18,19,18,17,100,88,69,1015,1012,1007,10,8,0,21,10,,0.00,6,Fog,247<br />
2002-8-3,20,18,16,19,17,12,100,93,68,1016,1015,1014,10,7,0,18,10,,0.00,6,Fog,302<br />
2002-8-4,26,20,14,19,17,14,100,82,57,1014,1013,1012,10,7,0,18,3,,0.00,6,Fog,27<br />
2002-8-5,21,18,16,17,16,15,100,90,78,1013,1013,1012,10,9,6,11,6,,0.00,6,Rain,25<br />
2002-8-6,24,20,17,19,17,16,100,89,69,1013,1012,1012,10,8,3,14,6,,0.00,6,Fog-Rain,71<br />
2002-8-7,25,19,14,18,16,12,100,74,54,1015,1013,1013,10,10,10,18,10,,0.00,5,,60<br />
2002-8-8,26,19,13,19,14,11,88,75,51,1015,1014,1012,10,10,10,14,10,,0.00,6,Rain,48<br />
2002-8-9,26,20,15,16,13,11,88,66,39,1012,1010,1007,,,,18,10,,0.00,,,101<br />
2002-8-10,25,21,17,18,15,12,88,71,61,1008,1006,1004,10,10,10,21,11,,0.00,6,,97<br />
2002-8-11,28,22,17,18,17,16,94,72,48,1005,1004,1002,10,8,5,18,8,,0.00,4,,108<br />
2002-8-12,23,21,19,20,18,16,100,87,73,1002,999,998,10,4,1,11,5,,0.00,6,Rain,38<br />
