HKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-4-25,27,26,25,23,21,20,83,73,65,1015,1013,1011,10,10,10,45,29,,0.00,5,,106<br />
2002-4-26,27,24,23,20,20,19,83,76,61,1016,1014,1012,10,10,10,40,34,,0.00,6,Rain,102<br />
2002-4-27,28,26,23,21,20,20,83,75,62,1015,1013,1011,10,10,10,39,31,,0.00,6,,105<br />
2002-4-28,29,27,24,21,21,20,83,74,62,1014,1012,1010,10,10,10,40,34,,0.00,3,Rain,101<br />
2002-4-29,31,28,25,23,22,21,83,73,55,1012,1011,1008,10,10,10,29,24,,0.00,3,,94<br />
2002-4-30,31,28,26,23,22,19,83,70,55,1011,1009,1007,10,10,10,27,18,,0.00,2,,126<br />
2002-5-1,31,28,25,23,21,19,89,68,52,1011,1009,1008,10,10,10,24,10,,0.00,2,,141<br />
2002-5-2,33,29,26,23,22,19,83,66,46,1013,1011,1009,10,10,10,29,13,,0.00,2,,106<br />
2002-5-3,32,29,26,23,22,20,83,68,52,1014,1012,1010,10,10,10,23,16,26,0.00,2,,118<br />
2002-5-4,32,29,26,23,22,20,83,68,49,1013,1011,1009,10,10,10,26,18,,0.00,2,,112<br />
2002-5-5,32,29,26,23,22,21,83,67,52,1012,1010,1008,10,10,10,32,21,,0.00,2,,117<br />
2002-5-6,32,29,26,24,22,21,89,70,55,1011,1009,1007,10,10,10,26,18,,0.00,3,Rain,132<br />
2002-5-7,32,29,26,23,22,21,79,69,52,1011,1009,1007,10,10,10,26,11,,0.00,1,,136<br />
2002-5-8,31,28,26,23,22,20,83,67,52,1012,1010,1008,10,10,10,26,14,,0.00,3,,120<br />
2002-5-9,30,28,26,24,23,22,89,72,62,1012,1010,1008,10,10,10,29,23,,0.00,5,Rain,127<br />
2002-5-10,31,28,26,24,23,21,89,76,55,1011,1009,1007,10,10,8,23,13,,0.00,6,Rain,106<br />
2002-5-11,30,27,24,24,23,22,94,78,62,1011,1010,1008,10,7,2,19,10,,0.00,5,Rain-Thunderstorm,337<br />
2002-5-12,31,29,27,24,24,23,84,76,66,1013,1011,1010,10,8,5,27,14,,0.00,6,,95<br />
2002-5-13,30,28,27,24,23,23,84,75,66,1012,1010,1009,10,10,10,32,27,42,0.00,6,Rain,120<br />
2002-5-14,32,28,24,26,24,22,94,77,62,1010,1008,1005,10,10,7,42,23,58,0.00,6,Rain-Thunderstorm,188<br />
2002-5-15,29,27,24,23,22,19,89,76,58,1009,1008,1007,10,7,4,23,13,,0.00,6,,311<br />
2002-5-16,30,28,24,24,23,21,94,79,62,1010,1008,1006,10,8,5,27,8,,0.00,6,Rain,146<br />
2002-5-17,28,26,23,23,22,21,94,81,70,1009,1007,1006,10,9,5,23,14,,0.00,6,Rain,108<br />
2002-5-18,28,26,24,24,23,21,94,82,70,1009,1007,1005,10,10,8,29,14,39,0.00,6,Rain,115<br />
2002-5-19,30,28,25,25,24,24,94,86,70,1006,1004,1003,10,10,7,13,8,,0.00,6,Rain,161<br />
2002-5-20,30,28,26,26,24,24,100,84,70,1004,1003,1001,10,9,3,29,14,,0.00,6,Rain-Thunderstorm,112<br />
2002-5-21,32,30,29,26,25,24,84,74,66,1004,1003,1001,10,10,10,29,24,40,0.00,6,,201<br />
2002-5-22,32,29,26,26,26,24,94,77,70,1007,1004,1003,10,10,4,27,19,42,0.00,6,Rain-Thunderstorm,230<br />
2002-5-23,30,28,26,26,23,21,94,75,62,1011,1008,1006,10,8,6,27,16,,0.00,6,Rain,339<br />
2002-5-24,29,27,26,23,20,18,74,65,55,1012,1011,1009,10,10,10,23,14,,0.00,6,Rain,63<br />
2002-5-25,30,27,24,22,19,18,89,65,48,1012,1011,1009,10,9,6,23,16,,0.00,6,Rain,119<br />
2002-5-26,31,27,24,22,18,13,89,58,35,1011,1010,1008,10,9,6,23,10,,0.00,6,,126<br />
2002-5-27,32,28,25,23,19,16,79,60,40,1010,1009,1007,10,10,8,34,18,,0.00,3,,98<br />
2002-5-28,32,29,26,22,22,20,74,66,52,1009,1008,1006,10,10,9,29,21,,0.00,3,,89<br />
2002-5-29,32,29,26,23,22,21,78,69,52,1009,1007,1005,10,10,10,26,16,,0.00,1,,137<br />
2002-5-30,34,29,25,25,24,23,94,74,56,1007,1006,1004,10,10,6,27,13,48,0.00,4,Rain-Thunderstorm,236<br />
2002-5-31,32,29,26,25,23,22,89,75,59,1005,1004,1003,10,10,8,35,11,,0.00,5,Rain,270<br />
2002-6-1,32,29,26,26,24,23,89,75,62,1004,1003,1001,10,9,7,27,11,,0.00,4,,178<br />
2002-6-2,30,27,24,25,24,22,94,81,70,1005,1004,1002,10,10,7,32,18,,0.00,6,Rain,110<br />
2002-6-3,30,28,27,24,22,19,84,70,51,1005,1004,1003,10,10,10,37,21,,0.00,6,,105<br />
2002-6-4,31,29,27,24,22,21,79,69,58,1006,1004,1003,10,10,10,29,27,,0.00,6,,107<br />
2002-6-5,32,29,27,24,24,23,84,73,59,1006,1004,1002,10,10,10,37,23,,0.00,4,,102<br />
2002-6-6,32,29,26,25,24,23,94,74,59,1005,1004,1002,10,10,8,27,21,,0.00,4,Rain,96<br />
2002-6-7,32,29,27,24,23,22,79,72,58,1006,1004,1002,10,10,10,27,14,,0.00,2,,146<br />
2002-6-8,33,30,27,24,24,22,79,71,52,1006,1005,1003,10,10,10,29,13,,0.00,2,,140<br />
2002-6-9,30,28,25,25,24,23,94,82,70,1007,1005,1004,10,9,3,26,14,,0.00,5,Rain-Thunderstorm,119<br />
2002-6-10,32,29,26,26,24,23,89,77,62,1006,1005,1003,10,10,9,27,16,,0.00,6,Rain,191<br />
2002-6-11,29,27,25,27,26,24,94,87,79,1007,1006,1004,10,9,3,32,19,45,0.00,6,Rain-Thunderstorm,235<br />
2002-6-12,32,29,26,26,25,24,94,82,62,1009,1007,1006,10,10,6,27,10,39,0.00,6,Rain,214<br />
2002-6-13,32,30,28,25,24,23,84,74,62,1008,1007,1005,10,10,10,24,14,,0.00,6,,185<br />
2002-6-14,32,30,28,25,24,22,84,71,58,1008,1006,1005,10,10,8,23,13,,0.00,6,Rain,196<br />
2002-6-15,32,30,29,25,24,24,79,71,62,1007,1006,1004,10,10,10,23,16,,0.00,6,,202<br />
2002-6-16,32,30,29,25,24,24,79,72,66,1007,1006,1005,10,10,10,32,21,,0.00,6,Rain,214<br />
2002-6-17,33,30,28,25,24,23,84,71,55,1007,1006,1004,10,10,10,34,21,,0.00,6,Rain,212<br />
2002-6-18,32,30,29,25,24,23,79,70,59,1007,1006,1005,10,10,10,27,19,,0.00,5,,191<br />
2002-6-19,33,31,29,25,24,23,79,72,59,1007,1005,1003,10,10,7,24,19,48,0.00,5,Rain,179<br />
2002-6-20,31,29,28,26,25,24,84,77,70,1006,1004,1003,10,10,9,21,14,,0.00,6,Rain,169<br />
2002-6-21,33,31,29,25,25,24,79,72,62,1006,1005,1003,10,10,9,27,18,,0.00,3,Rain,152<br />
2002-6-22,33,31,29,26,24,23,79,71,59,1008,1006,1005,10,10,10,27,14,,0.00,3,,137<br />
2002-6-23,32,30,28,26,25,24,89,76,62,1009,1008,1007,10,10,8,26,18,,0.00,5,Rain-Thunderstorm,135<br />
2002-6-24,34,31,29,25,24,23,79,70,52,1009,1008,1006,10,10,10,24,18,,0.00,2,,185<br />
2002-6-25,34,31,29,26,24,23,84,69,52,1010,1008,1006,10,10,10,26,13,,0.00,2,Rain,197<br />
2002-6-26,34,31,29,26,25,23,84,69,52,1010,1009,1007,10,10,10,24,13,,0.00,2,,212<br />
2002-6-27,35,32,29,26,25,23,79,69,49,1010,1009,1007,10,10,10,21,13,,0.00,3,,197<br />
2002-6-28,33,30,27,26,25,23,89,71,55,1010,1008,1006,10,10,9,27,18,,0.00,5,Rain,215<br />
2002-6-29,34,31,29,25,24,24,79,69,56,1008,1007,1004,10,10,10,32,16,,0.00,6,,218<br />
2002-6-30,33,31,29,26,24,24,84,70,59,1006,1005,1003,10,10,10,23,13,,0.00,6,,198<br />
2002-7-1,32,30,28,26,25,23,89,76,66,1006,1004,1003,10,10,9,23,13,,0.00,6,Rain,162<br />
2002-7-2,32,28,25,26,24,23,94,73,59,1006,1005,1004,10,10,10,27,14,,0.00,6,Rain,144<br />
2002-7-3,33,30,27,26,24,23,89,76,55,1006,1004,1002,10,10,10,21,6,,0.00,4,Rain,53<br />
2002-7-4,33,30,28,26,25,24,89,75,59,1003,1001,999,10,8,4,24,10,,0.00,4,Rain,285<br />
2002-7-5,34,30,27,27,25,23,89,73,55,1001,1000,997,10,10,6,14,8,,0.00,2,,258<br />
2002-7-6,32,29,27,27,26,25,94,80,66,1001,999,997,10,8,1,24,10,,0.00,6,Rain-Thunderstorm,77<br />
2002-7-7,31,29,27,26,25,24,94,81,70,999,998,995,10,9,5,16,10,,0.00,5,Rain-Thunderstorm,7<br />
2002-7-8,32,29,26,25,24,23,94,80,62,999,997,995,10,9,4,21,11,,0.00,5,Rain,348<br />
2002-7-9,32,29,27,25,24,23,89,75,59,998,996,995,10,9,5,24,14,,0.00,5,Rain,328<br />
2002-7-10,34,30,27,25,23,21,89,66,46,999,998,996,10,9,5,16,6,,0.00,3,,273<br />
2002-7-11,34,31,28,27,25,23,94,73,55,1001,999,998,10,8,5,23,14,,0.00,2,Rain,245<br />
2002-7-12,34,31,28,26,24,21,89,68,46,1002,1000,998,10,10,8,24,11,,0.00,1,,237<br />
2002-7-13,34,31,29,27,26,24,84,71,56,1001,1000,998,10,10,10,24,13,,0.00,2,,236<br />
2002-7-14,34,31,28,27,26,25,89,73,59,1001,999,998,10,10,10,26,11,,0.00,4,Rain-Thunderstorm,129<br />
2002-7-15,35,32,29,26,25,23,84,68,49,1002,1001,999,10,10,10,32,14,,0.00,3,,111<br />
2002-7-16,30,28,27,26,25,24,94,82,74,1004,1002,1000,10,9,5,55,18,,0.00,5,Rain,198<br />
2002-7-17,32,29,27,27,26,25,94,79,66,1005,1004,1002,10,9,7,37,24,48,0.00,6,Rain,223<br />
2002-7-18,32,30,29,26,25,25,79,73,66,1004,1003,1002,10,10,10,39,27,,0.00,5,,219<br />
2002-7-19,31,30,29,26,25,24,79,74,66,1007,1004,1002,10,10,10,34,27,,0.00,6,Rain,217<br />
2002-7-20,32,30,29,26,25,23,84,74,62,1008,1006,1005,10,10,10,26,21,40,0.00,6,,177<br />
2002-7-21,33,30,28,26,25,24,84,75,62,1008,1007,1005,10,10,10,32,16,,0.00,5,Rain-Thunderstorm,150<br />
2002-7-22,31,29,27,25,24,23,84,77,62,1007,1006,1004,10,10,5,29,18,,0.00,6,Rain,140<br />
2002-7-23,31,29,27,25,24,23,84,76,66,1006,1005,1003,10,10,10,23,14,,0.00,5,Rain,152<br />
2002-7-24,32,29,27,26,24,23,89,75,62,1005,1004,1002,10,10,6,27,19,,0.00,3,Rain,146<br />
2002-7-25,33,30,28,26,25,24,89,74,62,1004,1001,999,10,10,8,23,10,,0.00,5,,191<br />
2002-7-26,31,29,27,26,25,24,94,84,74,1002,1000,999,10,9,6,23,11,,0.00,6,Rain-Thunderstorm,168<br />
2002-7-27,29,28,27,26,25,24,89,84,79,1005,1003,1001,10,10,8,24,8,,0.00,6,Rain,99<br />
2002-7-28,31,28,26,25,24,23,94,82,70,1006,1005,1004,10,10,4,35,18,,0.00,6,Rain,103<br />
2002-7-29,30,27,24,25,24,23,94,84,70,1006,1006,1004,10,10,8,26,19,47,0.00,6,Rain-Thunderstorm,109<br />
2002-7-30,30,28,27,25,25,24,89,82,74,1007,1006,1005,10,10,6,24,18,,0.00,6,Rain,106<br />
2002-7-31,30,28,26,26,25,24,94,83,74,1006,1005,1004,10,10,10,21,13,,0.00,6,Rain,91<br />
2002-8-1,34,30,26,26,24,22,89,76,52,1006,1004,1001,10,7,3,19,10,,0.00,3,,261<br />
2002-8-2,31,27,24,27,25,22,94,78,70,1004,1002,1000,10,8,3,26,11,,0.00,5,Rain-Thunderstorm,22<br />
2002-8-3,31,28,26,26,25,24,94,82,74,1002,999,997,10,8,3,24,8,,0.00,6,Rain-Thunderstorm,339<br />
2002-8-4,31,29,27,26,24,23,89,77,66,998,993,990,10,10,10,37,23,,0.00,6,Rain,20<br />
2002-8-5,30,28,26,26,24,23,89,80,70,999,994,991,10,10,10,35,26,,0.00,6,Rain,273<br />
2002-8-6,29,27,25,26,25,24,94,86,79,1003,1000,997,10,9,2,45,32,72,0.00,6,Rain-Thunderstorm,220<br />
2002-8-7,32,30,28,26,25,24,84,77,66,1004,1002,1001,10,10,10,34,24,,0.00,6,,216<br />
2002-8-8,30,28,26,26,25,24,94,81,74,1004,1003,1002,10,10,6,21,13,,0.00,6,Rain,213<br />
2002-8-9,29,27,24,25,24,23,100,87,74,1006,1004,1003,10,8,2,34,8,,0.00,6,Rain-Thunderstorm,167<br />
2002-8-10,30,28,25,26,24,24,100,87,74,1009,1006,1005,10,9,4,16,8,,0.00,6,Rain-Thunderstorm,82<br />
2002-8-11,32,29,27,26,24,23,94,77,59,1010,1008,1007,10,10,10,23,13,,0.00,6,,98<br />
2002-8-12,32,29,27,25,24,22,89,72,55,1010,1009,1007,10,10,10,21,14,,0.00,5,,102<br />
2002-8-13,32,29,27,25,24,22,89,71,55,1009,1007,1005,10,10,10,24,11,,0.00,4,,93<br />
2002-8-14,33,30,27,25,23,22,84,68,55,1008,1005,1003,10,10,10,19,11,,0.00,4,,87<br />
2002-8-15,34,30,27,24,23,21,84,64,46,1005,1004,1002,10,10,10,27,13,,0.00,6,,91<br />
2002-8-16,34,31,28,24,23,22,79,66,52,1003,1002,1000,10,10,10,32,21,,0.00,6,,93<br />
2002-8-17,34,31,29,24,23,22,74,65,49,1003,1002,1000,10,10,10,35,23,,0.00,6,,90<br />
