ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-2-5,-7,-13,-20,-13,-17,-22,85,74,54,1016,1012,1008,10,10,10,29,10,,0.00,4,,355<br />
2002-2-6,-10,-17,-24,-14,-20,-27,85,77,67,1015,1012,1010,10,6,3,6,3,,0.00,4,,-1<br />
2002-2-7,-14,-20,-26,-19,-23,-30,85,73,64,1024,1020,1013,10,10,10,18,5,,0.00,2,,303<br />
2002-2-8,-12,-21,-30,-20,-26,-33,78,71,52,1023,1020,1018,8,4,3,11,3,,0.00,2,,0<br />
2002-2-9,-15,-23,-31,-21,-28,-35,77,71,61,1018,1017,1016,8,5,3,11,3,,0.00,0,,250<br />
2002-2-10,-14,-23,-32,-19,-29,-36,84,72,66,1021,1020,1017,8,5,3,6,3,,0.00,0,,-1<br />
2002-2-11,-8,-18,-27,-14,-22,-31,85,73,62,1020,1018,1016,10,9,6,6,3,,0.00,4,,-1<br />
2002-2-12,-6,-17,-27,-13,-23,-30,85,74,15,1023,1020,1019,6,4,2,6,3,,0.00,2,,-1<br />
2002-2-13,-9,-19,-28,-13,-24,-32,85,77,62,1030,1027,1024,8,4,1,6,3,,0.00,0,,-1<br />
2002-2-14,-8,-17,-26,-13,-22,-29,85,75,61,1030,1029,1026,8,7,5,11,3,,0.00,0,,0<br />
2002-2-15,-7,-17,-27,-12,-21,-30,85,76,63,1025,1020,1017,8,6,4,11,3,,0.00,0,,260<br />
2002-2-16,-8,-17,-25,-12,-22,-28,85,77,42,1021,1020,1019,10,3,0,11,2,,0.00,0,Fog,300<br />
2002-2-17,-8,-16,-24,-11,-19,-27,86,78,58,1028,1024,1020,10,8,3,26,6,,0.00,3,Snow,150<br />
2002-2-18,-6,-16,-25,-10,-19,-28,85,77,63,1029,1026,1024,10,10,10,6,3,,0.00,4,,-1<br />
2002-2-19,-4,-11,-18,-8,-14,-21,86,76,63,1023,1020,1018,10,9,6,6,3,,0.00,5,,-1<br />
2002-2-20,-3,-10,-16,-9,-13,-18,92,79,59,1022,1020,1018,10,9,6,11,3,,0.00,6,,203<br />
2002-2-21,-4,-13,-22,-10,-17,-25,85,71,46,1037,1029,1022,10,9,4,32,8,,0.00,3,,341<br />
2002-2-22,-8,-17,-25,-16,-22,-28,78,70,49,1039,1037,1035,,,,11,5,,0.00,,,0<br />
2002-2-23,-6,-17,-28,-14,-22,-31,78,71,50,1035,1029,1026,10,9,8,6,3,,0.00,3,,-1<br />
2002-2-24,-5,-14,-23,-14,-19,-25,85,67,49,1028,1025,1024,10,9,5,32,5,,0.00,3,,343<br />
2002-2-25,-6,-14,-23,-13,-20,-26,79,70,50,1028,1026,1021,,,,11,5,,0.00,,,236<br />
2002-2-26,-2,-12,-23,-10,-18,-26,84,71,51,1020,1017,1015,10,6,5,29,8,,0.00,0,,324<br />
2002-2-27,-6,-16,-25,-12,-20,-28,85,69,53,1020,1017,1015,10,10,10,26,8,,0.00,4,,347<br />
2002-2-28,-9,-17,-24,-17,-22,-29,77,62,48,1029,1023,1020,10,10,10,21,10,,0.00,4,,345<br />
2002-3-1,-10,-19,-28,-12,-24,-32,92,63,41,1036,1034,1029,10,10,10,35,11,,0.00,3,,328<br />
2002-3-2,-6,-18,-29,-14,-24,-33,72,61,49,1036,1034,1032,,,,18,8,,0.00,,,291<br />
2002-3-3,-6,-16,-26,-13,-21,-29,85,67,50,1032,1030,1027,,,,11,5,,0.00,,,190<br />
2002-3-4,-5,-14,-23,-11,-19,-26,85,69,54,1026,1023,1020,10,10,10,14,5,,0.00,3,,195<br />
2002-3-5,-3,-12,-20,-11,-17,-23,85,68,50,1023,1022,1021,,,,14,8,,0.00,,,208<br />
2002-3-6,-2,-12,-22,-10,-18,-25,85,71,46,1022,1021,1020,,,,11,3,,0.00,,,230<br />
2002-3-7,3,-9,-21,-6,-14,-24,86,72,48,1019,1012,1006,10,10,8,11,5,,0.00,3,,235<br />
2002-3-8,1,-6,-12,-5,-9,-13,92,71,51,1018,1011,1005,10,10,8,40,11,,0.00,3,,325<br />
2002-3-9,1,-9,-18,-10,-14,-21,85,65,41,1024,1021,1019,,,,18,6,,0.00,,,214<br />
2002-3-10,4,-6,-15,-6,-11,-17,85,65,36,1024,1022,1020,,,,14,5,,0.00,,,242<br />
2002-3-11,11,0,-11,-3,-8,-13,86,68,30,1021,1019,1017,,,,14,3,,0.00,,,215<br />
2002-3-12,10,2,-6,-5,-7,-9,86,62,26,1018,1015,1013,10,10,10,14,6,,0.00,3,,208<br />
2002-3-13,-2,-4,-8,-4,-7,-12,93,80,68,1019,1015,1012,10,9,2,29,13,32,0.00,4,Snow,351<br />
2002-3-14,2,-8,-18,-10,-13,-20,85,58,35,1019,1012,1004,10,10,10,40,11,,0.00,3,,162<br />
2002-3-15,-2,-6,-9,-6,-9,-11,86,73,59,1013,1007,1002,10,10,10,40,18,,0.00,4,Snow,341<br />
2002-3-16,-3,-6,-9,-8,-11,-12,93,70,51,1021,1017,1013,10,10,2,32,14,,0.00,3,Snow,336<br />
2002-3-17,-1,-7,-13,-6,-13,-18,86,63,34,1020,1016,1012,10,10,10,21,10,,0.00,3,,228<br />
2002-3-18,4,-4,-13,-9,-12,-15,86,59,33,1012,1010,1006,10,10,10,18,6,,0.00,3,,207<br />
2002-3-19,3,-3,-9,-2,-8,-12,93,73,41,1006,1001,998,10,6,1,35,11,,0.00,7,Snow,323<br />
2002-3-20,-7,-11,-15,-12,-18,-22,79,53,35,1012,1009,1006,10,9,4,40,31,55,0.00,3,Snow,320<br />
2002-3-21,-6,-13,-20,-17,-19,-24,78,52,38,1015,1012,1007,10,10,10,40,16,50,0.00,2,,341<br />
2002-3-22,-5,-12,-19,-16,-19,-22,85,58,33,1015,1012,1010,10,10,10,26,11,40,0.00,3,,301<br />
2002-3-23,3,-9,-20,-10,-16,-23,78,57,33,1014,1010,1003,10,10,10,26,8,,0.00,4,,236<br />
2002-3-24,7,-2,-10,-10,-13,-21,79,45,20,1006,1001,998,10,10,10,35,14,50,0.00,3,,326<br />
2002-3-25,-1,-8,-15,-16,-21,-27,67,42,13,1012,1010,1007,10,10,10,21,13,,0.00,3,,332<br />
2002-3-26,7,-3,-13,-8,-13,-18,73,51,29,1012,1010,1008,10,10,10,18,5,,0.00,4,,235<br />
2002-3-27,9,0,-9,-6,-8,-12,80,58,30,1011,1009,1008,10,10,10,14,5,,0.00,3,,314<br />
2002-3-28,9,0,-8,-4,-7,-10,93,60,25,1010,1009,1007,10,10,10,18,6,,0.00,3,,329<br />
2002-3-29,7,1,-5,-5,-7,-9,86,57,34,1016,1013,1009,10,10,10,26,11,,0.00,2,,299<br />
2002-3-30,18,6,-7,-6,-8,-10,86,47,14,1009,1004,997,10,10,10,26,8,,0.00,5,,225<br />
2002-3-31,18,7,-3,-4,-8,-11,74,35,15,1007,1001,996,10,10,10,35,10,55,0.00,6,,329<br />
2002-4-1,12,6,0,-1,-4,-8,80,53,24,1019,1010,1005,10,10,4,43,16,,0.00,4,,337<br />
2002-4-2,13,1,-11,-4,-8,-13,93,53,18,1024,1021,1019,,,,21,8,35,0.00,,,222<br />
2002-4-3,14,7,0,-5,-8,-10,51,31,18,1019,1014,1009,10,10,10,29,19,,0.00,5,,212<br />
2002-4-4,16,3,-8,-4,-8,-11,79,46,21,1009,1006,1002,10,10,10,21,5,,0.00,5,,247<br />
2002-4-5,9,-1,-11,-5,-9,-15,80,57,25,1002,999,996,10,10,10,35,18,,0.00,5,Snow,321<br />
2002-4-6,-9,-12,-15,-13,-19,-21,85,56,38,1018,1011,1002,10,8,4,55,43,79,0.00,5,Snow,341<br />
2002-4-7,-10,-12,-14,-16,-19,-21,67,59,52,1023,1020,1019,10,7,4,55,43,72,0.00,5,Snow,348<br />
2002-4-8,-4,-11,-18,-15,-16,-19,100,53,43,1026,1025,1023,10,10,10,40,26,55,0.00,5,,2<br />
2002-4-9,0,-6,-12,-16,-19,-21,62,35,21,1026,1024,1019,10,10,10,35,21,68,0.00,3,,354<br />
2002-4-10,5,-6,-16,-14,-18,-21,72,42,18,1022,1017,1014,10,10,10,43,11,50,0.00,4,,322<br />
2002-4-11,7,-6,-17,-12,-18,-21,86,44,14,1018,1016,1012,,,,14,6,,0.00,,,271<br />
2002-4-12,16,4,-7,-5,-13,-19,56,28,14,1011,1002,997,10,10,10,47,11,64,0.00,4,,317<br />
2002-4-13,2,-4,-9,-1,-9,-15,100,60,30,1004,1001,999,10,9,3,29,16,,0.00,5,Rain-Snow,336<br />
2002-4-14,2,-3,-7,-14,-16,-18,54,34,24,1010,1007,1001,10,10,10,26,18,32,0.00,4,,354<br />
2002-4-15,2,-4,-10,-9,-18,-23,86,33,16,1017,1013,1010,10,10,10,35,18,55,0.00,3,,2<br />
2002-4-16,2,-7,-15,-13,-18,-21,68,40,18,1020,1018,1016,10,10,10,35,13,50,0.00,4,Snow,315<br />
2002-4-17,10,-1,-12,-14,-18,-20,67,29,12,1017,1012,1008,10,10,10,29,13,47,0.00,4,,263<br />
2002-4-18,12,1,-10,-13,-16,-18,67,28,13,1008,1007,1006,10,10,10,29,8,43,0.00,5,,339<br />
2002-4-19,16,3,-8,-5,-11,-17,54,33,16,1007,1001,997,10,10,10,29,6,,0.00,4,,297<br />
2002-4-20,7,3,-1,-2,-5,-7,80,60,42,1007,1003,998,10,10,10,35,19,,0.00,4,,345<br />
2002-4-21,3,-1,-6,-7,-14,-19,69,39,19,1021,1015,1008,10,10,10,35,26,58,0.00,3,,352<br />
2002-4-22,0,-7,-14,-8,-16,-22,74,46,21,1028,1024,1021,10,10,4,47,14,72,0.00,4,Snow,345<br />
2002-4-23,6,-6,-17,-14,-17,-21,79,42,18,1030,1028,1025,10,10,10,26,8,43,0.00,2,,302<br />
2002-4-24,13,-1,-14,-15,-18,-21,62,30,8,1025,1022,1017,10,10,10,26,6,40,0.00,5,,220<br />
2002-4-25,16,2,-11,-14,-17,-19,53,24,10,1020,1018,1015,10,10,10,26,5,50,0.00,3,,281<br />
2002-4-26,17,7,-2,-3,-13,-17,80,24,11,1018,1016,1014,10,10,10,14,6,,0.00,6,,233<br />
2002-4-27,18,7,-5,5,-8,-15,81,31,11,1016,1011,1007,10,10,6,43,11,58,0.00,5,Rain,200<br />
2002-4-28,15,9,3,6,2,-3,100,68,29,1013,1008,1004,10,8,0,40,13,43,0.00,4,Fog-Rain,353<br />
2002-4-29,16,7,-1,1,-1,-3,93,58,27,1018,1015,1012,10,10,10,26,10,,0.00,5,,319<br />
2002-4-30,22,12,3,6,2,-5,93,56,17,1015,1012,1007,10,10,10,26,13,,0.00,5,Rain,91<br />
2002-5-1,19,14,11,9,2,-5,82,44,22,1007,1002,997,10,9,5,50,32,61,0.00,5,Rain,181<br />
2002-5-2,1,-2,-4,-2,-7,-9,93,68,51,1018,1012,1004,10,10,4,40,24,,0.00,6,Rain-Snow,332<br />
2002-5-3,6,-3,-11,-7,-12,-17,86,48,21,1025,1022,1019,10,10,10,26,10,43,0.00,1,,349<br />
2002-5-4,9,4,-1,-4,-7,-14,80,47,27,1028,1026,1024,10,10,10,29,19,,0.00,4,,65<br />
2002-5-5,7,3,0,2,-1,-5,100,79,43,1025,1023,1020,10,7,1,26,14,43,0.00,6,Rain-Snow,69<br />
2002-5-6,4,2,1,2,1,-1,100,89,75,1021,1016,1011,10,8,2,29,8,,0.00,7,Rain-Snow,52<br />
2002-5-7,6,3,2,3,2,0,93,81,66,1015,1011,1009,10,10,10,32,16,,0.00,6,Rain,349<br />
2002-5-8,14,8,2,1,-2,-7,81,54,25,1022,1019,1015,10,10,10,21,11,,0.00,3,,336<br />
2002-5-9,10,4,-2,5,1,-9,93,77,39,1022,1017,1012,10,10,10,29,8,,0.00,5,Rain,129<br />
2002-5-10,15,8,1,3,-1,-5,93,59,25,1011,1009,1008,10,10,10,35,16,,0.00,4,,345<br />
2002-5-11,18,8,-1,5,1,-4,87,59,32,1016,1012,1010,10,10,10,32,8,43,0.00,4,Rain-Thunderstorm,148<br />
2002-5-12,16,10,4,5,3,1,87,63,42,1022,1020,1017,10,10,10,18,6,,0.00,3,,341<br />
2002-5-13,19,11,3,6,3,0,87,54,28,1021,1019,1012,10,10,10,26,6,,0.00,3,Rain,108<br />
2002-5-14,14,11,9,8,7,4,93,76,51,1018,1017,1017,10,10,10,21,10,,0.00,4,Rain,62<br />
2002-5-15,21,12,3,8,4,-4,93,58,18,1019,1017,1015,10,10,10,29,10,,0.00,2,,357<br />
2002-5-16,23,14,6,7,5,3,93,57,29,1018,1017,1015,10,10,10,26,8,,0.00,4,,180<br />
2002-5-17,24,19,15,7,4,2,52,40,27,1016,1014,1010,10,10,10,32,26,43,0.00,4,,174<br />
2002-5-18,21,16,12,11,8,6,94,62,38,1012,1010,1007,10,10,5,40,11,58,0.00,6,Rain-Thunderstorm,177<br />
2002-5-19,14,9,5,11,7,2,94,83,67,1014,1010,1008,10,10,10,32,13,,0.00,5,,344<br />
2002-5-20,8,4,0,4,-2,-7,93,63,34,1021,1019,1015,10,10,10,35,26,47,0.00,4,,349<br />
2002-5-21,16,7,-2,3,-1,-5,86,54,31,1022,1020,1012,10,10,10,35,13,55,0.00,3,,334<br />
2002-5-22,19,9,0,2,0,-2,87,53,27,1025,1023,1021,10,10,10,29,11,,0.00,2,,356<br />
2002-5-23,22,11,1,3,1,-3,93,51,20,1026,1024,1018,10,10,10,18,6,35,0.00,2,,344<br />
2002-5-24,23,12,1,6,1,-3,87,47,18,1025,1023,1021,10,10,10,21,8,32,0.00,4,Thunderstorm,301<br />
2002-5-25,23,13,3,4,1,-3,87,46,18,1024,1022,1020,10,10,10,29,10,43,0.00,2,,3<br />
2002-5-26,24,13,2,5,2,-4,87,51,16,1022,1020,1016,10,10,10,14,6,,0.00,2,,111<br />
2002-5-27,17,11,6,7,4,2,81,61,42,1016,1013,1011,10,10,10,43,16,,0.00,3,,346<br />
2002-5-28,23,10,-3,3,-2,-8,93,53,14,1016,1014,1012,10,10,10,14,6,,0.00,5,,254<br />
2002-5-29,27,14,3,6,2,-1,81,44,17,1016,1014,1011,10,10,10,21,6,,0.00,5,,279<br />
2002-5-30,30,18,6,10,4,1,81,42,15,1013,1009,1006,10,10,10,32,6,,0.00,5,Rain-Thunderstorm,255<br />
2002-5-31,28,18,8,11,7,2,93,52,21,1014,1012,1011,10,10,10,21,8,,0.00,5,Thunderstorm,347<br />
2002-6-1,30,22,14,9,6,2,67,38,19,1015,1011,1007,10,10,10,32,11,50,0.00,3,,131<br />
2002-6-2,29,22,15,7,5,1,55,31,20,1010,1008,1006,10,10,10,35,19,55,0.00,3,,29<br />
2002-6-3,28,20,13,12,9,6,88,54,28,1012,1009,1006,10,10,10,26,10,,0.00,2,Rain-Thunderstorm,267<br />
2002-6-4,31,21,11,11,7,1,82,44,15,1009,1007,1004,10,10,10,26,6,,0.00,2,Thunderstorm,263<br />
2002-6-5,20,16,11,10,9,0,88,67,41,1014,1010,1007,10,10,6,35,18,,0.00,3,Rain,4<br />
2002-6-6,13,10,8,9,7,4,94,80,67,1022,1015,1011,10,10,8,21,10,,0.00,5,Rain,337<br />
2002-6-7,22,12,2,5,2,0,87,57,25,1025,1022,1021,10,10,10,14,6,,0.00,1,,319<br />
2002-6-8,24,14,5,6,1,-4,93,46,18,1022,1016,1010,10,10,10,29,8,,0.00,6,,226<br />
2002-6-9,19,14,8,6,3,-2,66,47,24,1013,1009,1007,10,10,10,43,19,,0.00,4,,350<br />
2002-6-10,34,17,-1,1,-1,-4,81,43,11,1015,1013,1012,10,10,10,43,21,50,0.00,2,,353<br />
2002-6-11,25,12,-1,2,-2,-7,75,39,14,1015,1013,1010,10,10,10,21,8,,0.00,6,,348<br />
2002-6-12,27,17,8,6,2,-6,54,36,23,1012,1011,1008,10,10,10,21,8,,0.00,4,,77<br />
2002-6-13,28,20,12,8,6,1,67,40,23,1011,1009,1007,10,10,10,43,10,,0.00,3,Rain,196<br />
2002-6-14,28,21,15,11,6,0,72,39,16,1010,1008,1004,10,10,10,47,23,68,0.00,3,Rain-Thunderstorm,160<br />
2002-6-15,25,17,9,11,6,0,93,51,21,1012,1010,1009,10,10,10,29,14,40,0.00,2,,19<br />
2002-6-16,28,18,9,7,3,1,76,38,17,1013,1011,1007,10,10,10,21,8,29,0.00,4,,144<br />
2002-6-17,24,20,16,8,7,2,52,39,24,1014,1012,1010,10,10,10,32,19,,0.00,5,,17<br />
2002-6-18,22,16,10,6,3,0,66,39,26,1017,1015,1013,10,10,10,35,23,55,0.00,3,,6<br />
2002-6-19,24,12,1,4,2,-2,81,45,25,1017,1015,1013,10,10,10,18,8,,0.00,2,,127<br />
2002-6-20,26,21,16,3,1,-5,42,27,16,1014,1010,1006,10,10,10,50,29,72,0.00,5,,165<br />
2002-6-21,26,22,18,7,3,-6,46,29,16,1010,1008,1006,10,10,10,50,42,68,0.00,4,Rain,160<br />
2002-6-22,28,21,14,12,7,4,88,48,21,1013,1011,1008,10,10,10,55,21,84,0.00,4,Rain-Thunderstorm,174<br />
2002-6-23,19,16,13,13,12,10,94,73,56,1013,1010,1008,10,10,7,35,18,47,0.00,5,Rain-Thunderstorm,154<br />
2002-6-24,20,17,13,13,12,10,94,77,60,1014,1012,1010,10,10,4,26,10,,0.00,5,Rain-Thunderstorm,126<br />
2002-6-25,24,17,9,14,11,8,94,65,41,1016,1014,1012,10,10,10,26,6,,0.00,1,,197<br />
2002-6-26,26,20,15,15,11,10,83,54,36,1014,1011,1008,10,10,10,29,18,,0.00,4,Rain,172<br />
2002-6-27,24,19,15,15,13,11,88,64,47,1010,1008,1007,10,10,10,21,10,,0.00,4,Thunderstorm,153<br />
2002-6-28,27,21,15,15,13,8,94,66,32,1010,1008,1007,10,10,10,26,8,,0.00,2,,360<br />
2002-6-29,24,17,11,14,11,9,88,71,41,1010,1008,1006,10,10,10,43,13,50,0.00,5,Rain-Thunderstorm,42<br />
2002-6-30,21,16,12,11,8,5,88,63,40,1011,1010,1009,10,10,10,29,14,43,0.00,4,Rain,354<br />
2002-7-1,24,14,5,11,8,4,93,59,29,1013,1010,1007,10,10,10,26,8,35,0.00,3,Rain,59<br />
2002-7-2,27,18,10,11,8,3,94,53,23,1013,1011,1010,10,10,10,18,8,,0.00,3,,7<br />
2002-7-3,31,21,12,14,9,4,82,47,18,1013,1012,1010,10,10,10,21,6,,0.00,2,,224<br />
2002-7-4,35,27,19,12,9,1,60,33,14,1013,1012,1011,10,10,10,35,13,50,0.00,4,Thunderstorm,148<br />
2002-7-5,36,28,20,9,6,4,41,22,14,1017,1015,1013,10,10,10,35,24,58,0.00,2,,181<br />
2002-7-6,35,27,18,10,7,3,52,25,15,1016,1012,1008,10,10,10,40,21,58,0.00,4,,189<br />
2002-7-7,29,23,17,16,13,7,88,59,25,1012,1010,1008,10,10,7,47,21,76,0.00,5,Rain,189<br />
2002-7-8,28,19,10,16,11,6,100,67,25,1012,1011,1009,10,8,0,26,8,,0.00,2,Fog,357<br />
2002-7-9,28,21,14,15,12,9,88,60,39,1011,1008,1004,10,10,10,40,14,43,0.00,3,Rain-Thunderstorm,28<br />
2002-7-10,23,17,11,12,11,8,94,63,38,1008,1007,1006,10,10,10,26,11,,0.00,3,Rain,340<br />
2002-7-11,24,16,8,10,7,1,93,59,22,1009,1008,1006,10,10,10,43,13,50,0.00,2,,330<br />
2002-7-12,19,16,12,12,11,7,88,76,60,1013,1010,1008,10,10,10,29,16,,0.00,4,Rain,340<br />
2002-7-13,24,18,12,13,11,10,94,68,44,1013,1012,1011,10,10,10,26,13,,0.00,4,,1<br />
2002-7-14,25,17,8,12,9,7,93,62,34,1013,1012,1010,10,10,10,29,13,43,0.00,3,,355<br />
2002-7-15,24,17,9,11,10,8,94,64,38,1016,1013,1012,10,10,10,32,11,43,0.00,3,,1<br />
2002-7-16,24,16,7,12,9,6,93,59,36,1017,1016,1014,10,10,10,40,16,55,0.00,3,,351<br />
2002-7-17,24,19,15,14,12,8,88,64,41,1016,1015,1014,10,10,10,35,19,,0.00,5,Rain,360<br />
2002-7-18,25,18,11,13,11,3,88,64,39,1018,1017,1015,10,10,10,40,10,,0.00,4,Rain,11<br />
2002-7-19,27,18,10,11,9,6,88,54,28,1021,1019,1018,10,10,10,21,8,,0.00,3,,53<br />
2002-7-20,30,20,11,11,9,4,88,49,19,1021,1019,1016,10,10,10,26,10,,0.00,2,Thunderstorm,84<br />
2002-7-21,29,20,11,13,9,6,88,48,25,1018,1015,1012,10,10,10,29,8,47,0.00,4,Thunderstorm,146<br />
2002-7-22,32,20,8,10,7,3,87,42,16,1015,1013,1010,10,10,10,21,6,,0.00,2,,350<br />
2002-7-23,33,24,15,10,7,4,63,37,16,1015,1013,1012,10,10,10,32,11,43,0.00,1,,11<br />
2002-7-24,32,21,11,10,8,6,77,39,21,1019,1017,1016,10,10,10,26,6,35,0.00,1,,357<br />
2002-7-25,33,24,16,9,6,3,55,32,15,1021,1019,1016,,,,35,19,,0.00,,,157<br />
2002-7-26,34,27,21,5,3,1,33,23,14,1020,1019,1018,,,,26,19,43,0.00,,,173<br />
2002-7-27,34,24,14,8,6,3,59,29,15,1021,1019,1017,10,10,10,21,11,43,0.00,2,,184<br />
2002-7-28,33,24,17,10,7,1,56,29,13,1018,1015,1011,10,10,10,26,14,40,0.00,2,,145<br />
2002-7-29,30,26,21,13,10,7,56,38,25,1015,1012,1009,10,10,10,35,14,29,0.00,4,Rain,53<br />
2002-7-30,33,22,12,12,10,5,88,47,18,1012,1010,1006,10,10,10,32,16,29,0.00,2,,181<br />
2002-7-31,29,24,19,13,9,7,57,40,25,1013,1011,1006,10,10,10,32,16,,0.00,4,,329<br />
2002-8-1,31,22,13,9,6,2,72,38,16,1015,1012,1011,10,10,10,50,8,72,0.00,2,,351<br />
2002-8-2,27,20,14,10,4,-5,72,37,12,1020,1018,1015,10,10,10,18,8,,0.00,5,,14<br />
2002-8-3,27,22,18,7,5,2,40,32,24,1017,1015,1011,10,10,10,26,10,35,0.00,4,Rain,160<br />
2002-8-4,20,14,8,11,8,4,94,71,46,1019,1014,1010,10,10,1,84,19,101,0.00,4,Rain-Thunderstorm,357<br />
2002-8-5,17,11,5,4,1,-1,81,53,31,1021,1019,1018,10,10,10,35,21,47,0.00,3,,352<br />
2002-8-6,25,14,4,7,4,2,87,54,22,1024,1022,1019,10,10,10,14,6,,0.00,2,,271<br />
