ChST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-30,20,18,17,10,9,7,59,54,43,1020,1020,1019,10,10,10,24,21,,0.00,4,,317<br />
2002-1-31,19,18,17,10,9,9,63,58,52,1021,1020,1019,10,10,10,21,13,,0.00,5,Rain,339<br />
2002-2-1,20,18,17,13,11,9,73,63,56,1022,1021,1020,10,10,10,19,14,,0.00,4,,25<br />
2002-2-2,22,20,18,15,14,12,73,68,64,1023,1022,1020,10,10,10,29,23,,0.00,4,,80<br />
2002-2-3,22,21,20,20,19,15,94,86,73,1021,1020,1018,10,10,10,21,18,,0.00,6,Rain,106<br />
2002-2-4,22,20,19,19,18,16,100,91,73,1018,1016,1015,10,8,2,24,13,,0.00,6,Rain,10<br />
2002-2-5,21,20,19,16,16,14,78,75,73,1017,1016,1014,10,10,10,24,21,,0.00,5,Rain,49<br />
2002-2-6,22,21,20,18,18,17,88,81,73,1017,1015,1014,10,10,10,14,13,,0.00,3,,24<br />
2002-2-7,23,21,20,18,17,13,78,74,64,1017,1014,1013,10,10,10,24,13,,0.00,3,,305<br />
2002-2-8,20,19,18,14,11,9,73,61,49,1018,1017,1016,10,10,10,26,23,,0.00,3,,11<br />
2002-2-9,22,19,18,13,12,10,60,58,56,1016,1015,1014,10,10,10,19,14,,0.00,1,,168<br />
2002-2-10,23,21,20,19,17,16,88,78,69,1012,1011,1009,10,10,10,35,24,48,0.00,3,Rain,229<br />
2002-2-11,20,19,18,13,11,9,68,60,56,1017,1014,1010,10,10,10,37,32,55,0.00,3,,314<br />
2002-2-12,20,18,16,12,9,6,68,56,46,1019,1018,1017,10,10,10,27,23,47,0.00,4,Rain,321<br />
2002-2-13,20,18,17,12,9,8,64,55,46,1021,1020,1019,10,10,10,26,14,,0.00,3,,311<br />
2002-2-14,19,17,16,8,7,6,59,52,45,1021,1020,1020,10,10,10,21,16,,0.00,2,,353<br />
2002-2-15,19,18,17,13,11,9,73,65,59,1021,1020,1018,10,10,10,23,14,,0.00,5,,349<br />
2002-2-16,18,17,16,8,8,7,59,55,52,1022,1021,1020,10,10,10,24,21,,0.00,6,,16<br />
2002-2-17,21,17,17,11,9,8,55,54,53,1022,1021,1020,10,10,10,16,14,,0.00,2,,75<br />
2002-2-18,22,21,20,17,15,13,78,68,57,1020,1019,1018,10,10,10,32,24,,0.00,3,,288<br />
2002-2-19,21,19,17,10,10,9,63,57,49,1020,1019,1018,10,10,10,27,21,47,0.00,3,,321<br />
2002-2-20,18,17,16,10,8,6,63,54,45,1024,1023,1020,10,10,10,32,27,52,0.00,4,,350<br />
2002-2-21,19,17,16,9,7,5,59,52,48,1029,1027,1026,10,10,10,27,23,47,0.00,5,,50<br />
2002-2-22,22,20,18,13,12,11,68,56,50,1027,1025,1023,10,10,10,16,13,,0.00,5,,74<br />
2002-2-23,23,21,19,15,13,12,78,63,53,1023,1021,1019,10,10,10,19,13,,0.00,6,,69<br />
2002-2-24,22,20,19,18,18,17,94,86,78,1018,1017,1015,10,9,5,21,16,42,0.00,4,Rain,337<br />
2002-2-25,21,20,19,17,14,11,88,71,53,1018,1016,1014,10,10,10,34,24,53,0.00,2,,331<br />
2002-2-26,20,19,18,16,14,13,83,77,68,1021,1020,1018,10,10,8,27,26,47,0.00,4,Rain,39<br />
2002-2-27,20,19,18,14,13,12,73,68,60,1021,1020,1019,10,10,10,26,16,,0.00,4,,43<br />
2002-2-28,22,20,19,12,12,12,64,56,53,1022,1020,1019,10,10,10,21,18,,0.00,3,,82<br />
2002-3-1,23,21,19,17,16,15,83,74,65,1021,1019,1017,10,10,10,21,16,,0.00,4,,71<br />
2002-3-2,22,20,19,15,14,13,78,66,60,1019,1017,1015,10,10,10,23,19,,0.00,4,,67<br />
2002-3-3,23,21,19,16,14,12,83,69,50,1018,1016,1014,10,10,10,19,11,,0.00,3,,357<br />
2002-3-4,22,20,18,17,16,15,88,74,68,1019,1018,1016,10,10,10,21,13,,0.00,3,,24<br />
2002-3-5,22,20,18,19,17,14,94,85,68,1019,1017,1016,10,7,1,23,19,,0.00,7,Rain,87<br />
2002-3-6,23,22,21,22,21,20,100,97,94,1014,1012,1010,10,4,1,32,21,,0.00,7,Rain,194<br />
2002-3-7,21,19,18,20,18,15,100,94,83,1017,1013,1011,10,5,2,26,18,,0.00,7,Rain,352<br />
2002-3-8,19,17,15,14,13,12,88,76,68,1022,1019,1017,10,9,4,29,21,50,0.00,7,Rain,13<br />
2002-3-9,19,17,16,12,11,10,72,66,60,1024,1022,1020,10,10,8,34,29,53,0.00,6,Rain,46<br />
2002-3-10,19,18,17,14,13,11,77,71,60,1021,1020,1018,10,10,10,27,23,40,0.00,6,,28<br />
2002-3-11,21,19,17,12,11,11,68,63,53,1021,1020,1018,10,10,10,23,16,,0.00,2,,2<br />
2002-3-12,20,18,17,14,12,11,73,66,60,1022,1020,1019,10,10,10,21,13,,0.00,2,,56<br />
2002-3-13,22,19,16,14,13,12,82,68,57,1022,1020,1019,10,10,10,23,11,,0.00,1,,5<br />
2002-3-14,21,19,18,16,13,12,83,72,64,1022,1020,1018,10,10,10,24,19,,0.00,2,,71<br />
2002-3-15,24,22,20,20,19,17,88,83,78,1019,1017,1016,10,10,10,24,14,,0.00,4,,170<br />
2002-3-16,25,23,21,22,21,20,100,92,83,1016,1015,1014,10,8,2,29,18,,0.00,5,Fog,201<br />
2002-3-17,25,23,22,22,22,21,94,90,83,1018,1017,1016,10,10,10,34,29,47,0.00,6,,242<br />
2002-3-18,25,23,21,22,21,20,94,86,78,1020,1019,1018,10,10,10,26,13,,0.00,5,,202<br />
2002-3-19,21,20,20,19,18,16,94,86,73,1020,1020,1018,10,9,5,23,18,,0.00,6,Rain,19<br />
2002-3-20,21,20,19,15,13,12,78,66,60,1021,1020,1019,10,10,10,26,18,,0.00,2,,38<br />
2002-3-21,22,20,18,15,14,12,73,66,60,1020,1019,1017,10,10,10,32,24,,0.00,3,,97<br />
2002-3-22,24,22,21,20,19,19,88,83,78,1018,1016,1014,10,10,10,23,13,,0.00,5,,137<br />
2002-3-23,22,,22,21,21,21,94,94,94,1015,1015,1015,10,10,10,14,14,,0.00,6,,170<br />
2002-3-24,21,20,20,19,19,19,94,94,88,1017,1016,1014,10,5,3,27,16,,0.00,7,Rain,36<br />
2002-3-25,24,22,21,21,21,20,94,88,83,1018,1016,1014,10,10,10,24,18,,0.00,5,Rain,128<br />
2002-3-26,23,21,21,22,21,20,100,96,83,1017,1015,1013,10,3,0,16,13,,0.00,6,Fog-Rain,156<br />
2002-3-27,25,23,22,23,22,20,100,91,83,1015,1012,1006,10,7,0,27,14,,0.00,6,Fog-Rain,217<br />
2002-3-28,23,22,20,22,18,16,94,83,73,1019,1016,1013,10,10,10,32,21,,0.00,6,,8<br />
2002-3-29,23,21,20,20,19,17,88,85,78,1019,1017,1016,10,10,10,35,29,,0.00,6,,111<br />
2002-3-30,26,23,22,23,22,21,94,89,78,1016,1014,1013,10,10,8,29,23,,0.00,5,,207<br />
2002-3-31,26,24,22,23,22,21,94,86,83,1013,1013,1012,10,8,2,35,32,,0.00,5,Rain,232<br />
2002-4-1,23,21,19,19,13,11,83,62,57,1017,1016,1014,10,10,10,26,21,,0.00,4,,360<br />
2002-4-2,19,18,18,11,11,11,64,61,60,1017,1017,1016,10,10,9,14,13,,0.00,5,,43<br />
2002-4-3,22,21,20,13,13,12,64,62,57,1013,1011,1010,10,10,10,13,10,,0.00,4,,232<br />
2002-4-4,23,21,20,18,16,13,88,71,64,1009,1007,1006,10,9,4,35,21,53,0.00,5,Rain,253<br />
2002-4-5,22,22,22,11,11,10,50,47,46,1014,1014,1014,10,10,10,34,31,52,0.00,0,,337<br />
2002-4-6,19,,19,8,8,8,49,49,49,1018,1018,1018,10,10,10,23,23,,0.00,0,,20<br />
2002-4-7,20,18,17,12,11,11,68,61,56,1019,1018,1017,10,10,10,16,13,,0.00,1,,37<br />
2002-4-8,22,19,17,15,14,13,77,68,64,1018,1017,1016,10,10,10,16,13,,0.00,3,,74<br />
2002-4-9,23,22,20,17,17,17,83,75,69,1018,1017,1016,10,10,10,19,16,,0.00,2,,93<br />
2002-4-10,25,24,23,20,19,19,78,75,73,1018,1017,1016,10,10,10,16,14,,0.00,2,,82<br />
2002-4-11,24,21,21,20,19,19,88,83,78,1019,1018,1017,10,10,10,23,23,,0.00,3,,110<br />
2002-4-12,25,23,22,22,21,21,94,87,78,1018,1017,1015,10,10,10,21,14,,0.00,2,,164<br />
2002-4-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-4-14,20,,20,17,17,17,83,83,83,1018,1018,1018,10,10,10,19,19,,0.00,3,,30<br />
2002-4-15,21,,21,15,15,15,68,68,68,1022,1022,1022,10,10,10,32,32,,0.00,3,,80<br />
2002-4-16,21,,21,17,17,17,78,78,78,1022,1022,1022,10,10,10,23,23,,0.00,6,,90<br />
2002-4-17,24,22,20,20,19,18,88,85,78,1021,1019,1018,10,10,10,26,23,,0.00,5,,103<br />
2002-4-18,25,23,22,21,21,20,94,82,74,1019,1018,1017,10,10,10,26,19,,0.00,3,,123<br />
2002-4-19,26,23,22,22,22,21,100,92,78,1020,1020,1019,10,5,1,14,13,,0.00,6,Fog,105<br />
2002-4-20,25,25,23,21,21,21,88,80,78,1018,1017,1017,10,10,10,21,19,,0.00,4,,100<br />
2002-4-21,22,,22,21,21,21,94,94,94,1017,1017,1017,10,10,10,14,14,,0.00,6,,100<br />
2002-4-22,26,24,23,22,21,21,94,80,74,1018,1016,1015,10,10,10,14,10,,0.00,5,Rain,273<br />
2002-4-23,24,23,22,20,19,18,88,80,69,1016,1015,1013,10,9,3,23,18,,0.00,6,Rain,355<br />
2002-4-24,25,23,21,17,17,16,78,67,61,1015,1014,1012,10,10,10,19,14,,0.00,4,Rain,348<br />
2002-4-25,23,22,21,17,17,17,78,72,69,1016,1015,1014,10,10,10,13,10,,0.00,4,Rain,70<br />
2002-4-26,25,23,23,19,18,18,73,71,69,1017,1016,1015,10,10,10,14,13,,0.00,3,,80<br />
2002-4-27,26,23,22,21,21,20,94,85,69,1017,1015,1014,10,10,10,19,11,,0.00,5,,34<br />
2002-4-28,26,26,23,20,20,20,83,75,69,1015,1015,1015,10,10,10,16,16,,0.00,5,,27<br />
2002-4-29,24,,24,20,20,20,78,78,78,1015,1015,1015,10,10,10,34,34,52,0.00,6,,40<br />
2002-4-30,23,22,21,18,17,17,78,76,69,1016,1015,1014,10,10,10,32,26,50,0.00,6,,58<br />
2002-5-1,25,23,22,22,21,20,100,87,78,1014,1013,1012,10,9,1,24,21,,0.00,6,Fog-Rain,62<br />
2002-5-2,23,22,22,21,21,20,94,92,88,1015,1014,1013,10,7,3,32,24,50,0.00,7,Fog-Rain,58<br />
2002-5-3,23,22,21,20,19,18,94,86,78,1016,1015,1014,10,8,7,35,31,53,0.00,6,Rain,58<br />
2002-5-4,23,22,21,22,21,20,100,96,94,1016,1014,1013,8,5,1,35,27,60,0.00,6,Fog-Rain,70<br />
2002-5-5,23,22,22,22,22,21,100,96,94,1012,1011,1010,8,3,0,26,23,,0.00,7,Fog-Rain,50<br />
2002-5-6,26,23,22,23,23,22,100,90,83,1013,1013,1011,10,6,1,14,13,,0.00,4,Fog,65<br />
2002-5-7,27,24,23,24,23,22,94,89,79,1015,1014,1013,10,10,10,21,16,,0.00,5,Rain,105<br />
2002-5-8,27,27,26,23,23,23,83,81,79,1015,1015,1015,10,10,10,14,14,,0.00,3,,105<br />
2002-5-9,27,26,24,23,23,23,94,85,79,1016,1015,1014,10,10,10,16,16,,0.00,3,,84<br />
2002-5-10,26,24,24,24,24,23,94,92,89,1016,1015,1015,10,9,6,21,16,,0.00,4,,102<br />
2002-5-11,27,,27,23,23,23,79,79,79,1016,1016,1016,10,10,10,19,19,,0.00,6,,130<br />
2002-5-12,26,26,24,22,22,22,89,84,78,1017,1016,1016,10,10,10,16,14,,0.00,6,,130<br />
2002-5-13,26,24,24,22,22,21,89,84,74,1017,1016,1015,10,10,10,10,10,,0.00,5,,167<br />
2002-5-14,27,,27,22,22,22,74,74,74,1015,1015,1015,10,10,10,16,16,,0.00,1,,110<br />
2002-5-15,27,26,25,22,22,22,83,76,74,1013,1012,1012,10,10,10,26,19,,0.00,3,,270<br />
2002-5-16,27,26,25,23,23,22,89,81,74,1013,1012,1012,10,10,10,21,18,,0.00,3,,296<br />
2002-5-17,27,26,25,23,23,22,89,82,78,1013,1012,1011,10,10,10,11,6,,0.00,6,Rain,107<br />
2002-5-18,27,26,24,24,23,22,89,87,79,1011,1011,1010,10,10,10,19,11,,0.00,6,,137<br />
2002-5-20,28,27,25,24,23,22,94,80,74,1004,1003,1003,10,10,10,29,19,,0.00,5,,308<br />
2002-5-21,28,27,26,21,20,19,69,64,61,1010,1010,1009,10,10,10,16,16,,0.00,3,,318<br />
2002-5-22,25,24,24,20,19,17,78,72,65,1013,1012,1011,10,10,10,11,8,,0.00,6,,341<br />
2002-5-23,28,26,24,25,24,20,94,85,78,1012,1010,1008,10,10,10,32,21,,0.00,5,,192<br />
2002-5-24,27,26,25,25,24,24,94,90,84,1007,1006,1005,10,9,5,53,39,74,0.00,6,Rain,249<br />
2002-5-25,26,26,24,23,22,21,83,83,83,1010,1008,1007,10,10,10,19,14,,0.00,4,,20<br />
2002-5-26,23,,23,21,21,21,88,88,88,1009,1009,1009,10,10,10,8,8,,0.00,3,,350<br />
2002-5-27,25,24,24,24,23,21,100,91,78,1011,1010,1008,10,8,5,34,26,47,0.00,4,Rain,305<br />
2002-5-28,25,23,22,24,22,22,100,94,89,1014,1013,1012,10,5,2,29,18,48,0.00,6,Rain,46<br />
2002-5-29,27,26,24,26,24,22,94,91,84,1012,1011,1010,10,9,5,39,26,58,0.00,4,Rain-Thunderstorm,207<br />
2002-5-30,25,23,23,22,22,22,94,92,83,1014,1014,1013,10,6,3,21,19,,0.00,6,Rain,16<br />
2002-5-31,26,24,24,25,23,22,94,86,78,1013,1013,1011,10,10,10,19,16,,0.00,3,,224<br />
2002-6-1,28,27,25,26,26,25,100,95,84,1012,1012,1011,10,10,8,37,24,55,0.00,6,,215<br />
2002-6-2,27,26,25,25,24,24,94,93,89,1013,1012,1011,10,10,10,21,18,,0.00,5,,186<br />
2002-6-3,28,27,25,26,26,25,100,93,89,1013,1013,1012,10,10,4,26,18,,0.00,5,,177<br />
2002-6-4,28,27,25,26,25,24,94,92,89,1014,1013,1013,10,10,10,23,18,,0.00,6,,189<br />
2002-6-5,28,26,24,25,24,24,100,91,84,1013,1013,1011,10,10,10,24,14,,0.00,4,,0<br />
2002-6-6,26,24,23,25,24,23,100,94,89,1012,1012,1011,10,10,8,23,18,,0.00,6,Rain,205<br />
2002-6-7,26,24,23,23,23,22,94,90,83,1013,1012,1011,10,9,5,34,24,,0.00,6,Rain,249<br />
2002-6-8,26,24,24,24,24,23,94,91,89,1012,1012,1012,10,10,10,16,14,,0.00,6,,157<br />
2002-6-9,27,26,24,24,23,23,94,89,84,1011,1011,1011,10,9,5,26,21,,0.00,7,Rain,269<br />
2002-6-10,27,26,24,24,23,21,94,83,70,1015,1013,1012,10,10,10,13,11,,0.00,5,Rain,77<br />
2002-6-11,28,27,26,24,24,23,89,83,79,1015,1015,1014,10,10,10,14,10,,0.00,4,,143<br />
2002-6-12,28,27,25,25,24,24,94,88,84,1015,1015,1014,10,10,10,21,11,,0.00,2,,182<br />
2002-6-13,29,27,26,25,24,23,89,84,79,1014,1013,1013,10,10,10,21,13,,0.00,2,Rain,190<br />
2002-6-14,29,27,26,25,24,23,89,83,79,1014,1013,1012,10,10,10,16,13,,0.00,1,,185<br />
2002-6-15,29,27,26,24,23,23,89,78,70,1014,1014,1014,10,10,10,13,8,,0.00,1,,134<br />
2002-6-16,29,,29,24,24,24,74,74,74,1015,1015,1015,10,10,10,26,26,,0.00,3,,110<br />
2002-6-17,29,27,26,24,23,23,84,74,70,1016,1015,1013,10,10,10,16,13,,0.00,4,,126<br />
2002-6-18,29,27,26,26,25,23,89,85,79,1014,1013,1012,10,10,10,23,18,,0.00,3,,190<br />
2002-6-19,27,26,24,25,24,23,94,88,84,1014,1013,1012,10,10,10,29,16,48,0.00,4,Rain-Thunderstorm,222<br />
2002-6-20,29,27,25,25,24,23,89,84,74,1014,1013,1013,10,10,8,16,13,,0.00,3,Rain,178<br />
2002-6-21,29,29,27,25,24,24,84,81,79,1013,1013,1013,10,10,10,21,18,,0.00,6,,193<br />
2002-6-22,29,27,26,25,25,24,89,86,79,1013,1013,1012,10,10,10,24,16,,0.00,5,,212<br />
2002-6-23,29,27,26,24,24,24,89,82,74,1012,1011,1011,10,10,10,26,21,,0.00,6,,247<br />
2002-6-24,29,27,26,25,24,23,89,85,79,1012,1010,1010,10,10,10,26,23,,0.00,6,Rain,263<br />
2002-6-25,29,28,26,26,25,25,94,86,79,1013,1012,1011,10,10,10,27,23,47,0.00,6,Rain,253<br />
2002-6-26,30,28,26,25,25,24,94,81,74,1013,1013,1012,10,10,10,21,18,,0.00,3,,250<br />
2002-6-27,29,27,24,25,24,23,94,85,70,1016,1015,1014,10,8,1,27,8,32,0.00,4,Rain,202<br />
2002-6-28,30,29,27,25,25,24,89,78,74,1016,1015,1014,10,10,10,23,21,,0.00,3,,104<br />
2002-6-29,30,28,27,25,25,24,84,76,74,1015,1014,1013,10,10,10,27,23,,0.00,4,Rain,110<br />
2002-6-30,30,28,27,25,24,24,84,77,74,1014,1013,1012,10,10,10,29,27,,0.00,3,,110<br />
2002-7-1,30,28,27,25,24,24,84,79,70,1015,1014,1013,10,10,10,27,26,,0.00,4,,109<br />
2002-7-2,30,28,27,25,24,24,84,78,74,1016,1015,1014,10,10,10,32,26,58,0.00,4,,102<br />
2002-7-3,29,28,27,25,24,24,84,81,74,1015,1015,1013,10,10,10,29,23,,0.00,4,,97<br />
2002-7-4,30,28,26,25,24,24,89,84,74,1014,1014,1013,10,10,10,29,21,,0.00,4,,90<br />
2002-7-5,30,28,26,25,24,24,89,83,74,1013,1012,1010,10,10,10,34,24,,0.00,4,,87<br />
2002-7-6,30,28,25,26,25,24,94,85,74,1011,1009,1008,10,9,5,39,31,60,0.00,6,Rain,99<br />
2002-7-7,30,28,27,26,26,25,94,87,79,1009,1009,1008,10,10,10,37,32,,0.00,5,,109<br />
2002-7-8,30,29,28,26,26,26,89,85,79,1010,1009,1009,10,10,10,34,31,50,0.00,5,,134<br />
2002-7-9,30,28,27,27,26,25,94,90,84,1010,1009,1008,10,10,10,29,24,48,0.00,4,Rain,161<br />
2002-7-10,30,28,27,26,26,25,89,83,79,1007,1007,1006,10,10,10,32,23,,0.00,5,,186<br />
2002-7-11,30,28,26,26,26,24,94,87,79,1011,1008,1006,10,10,10,27,23,,0.00,5,,191<br />
2002-7-12,30,28,26,27,26,25,94,87,79,1014,1012,1010,10,10,10,26,18,,0.00,4,,153<br />
2002-7-13,30,28,27,26,26,25,94,85,79,1015,1014,1013,10,10,10,26,21,,0.00,3,,137<br />
2002-7-14,29,27,26,25,24,24,89,82,74,1015,1014,1013,10,10,10,24,14,,0.00,2,,153<br />
2002-7-15,30,28,27,24,24,23,84,76,70,1015,1014,1013,10,10,10,16,11,,0.00,2,,148<br />
2002-7-16,30,28,26,24,24,23,89,79,66,1014,1013,1012,10,10,10,13,8,,0.00,3,,211<br />
2002-7-17,31,29,27,24,23,22,84,74,58,1013,1012,1011,10,10,10,16,10,,0.00,2,,7<br />
2002-7-18,30,28,27,24,23,22,84,71,66,1013,1012,1011,10,10,10,24,19,,0.00,1,,59<br />
2002-7-22,29,28,27,25,24,23,84,79,74,1007,1006,1006,10,10,10,26,26,,0.00,4,,65<br />
2002-7-23,31,28,26,25,23,22,89,73,66,1005,1002,999,10,10,7,39,27,61,0.00,5,Rain,351<br />
2002-7-24,30,28,26,25,24,23,89,80,70,1001,996,995,10,10,10,52,42,76,0.00,6,Rain,239<br />
2002-7-25,30,28,27,26,26,25,89,87,79,1004,1003,1001,10,10,10,24,23,,0.00,4,,161<br />
2002-7-26,30,28,27,26,26,26,94,87,79,1008,1007,1005,10,10,8,19,16,,0.00,5,,131<br />
2002-7-27,28,27,25,26,24,23,94,90,79,1011,1009,1008,10,9,3,23,11,,0.00,5,Rain,218<br />
2002-7-28,28,27,25,25,24,23,94,86,79,1012,1010,1009,10,9,5,37,21,55,0.00,6,Rain,160<br />
2002-7-29,30,28,26,25,24,24,89,83,74,1013,1012,1011,10,10,10,23,18,,0.00,6,,119<br />
2002-7-30,30,28,27,25,24,24,89,80,74,1014,1013,1012,10,10,10,26,19,,0.00,4,,107<br />
2002-7-31,30,28,27,25,24,24,89,80,74,1016,1014,1013,10,10,10,23,18,,0.00,2,,110<br />
2002-8-1,29,27,26,25,24,23,94,78,70,1016,1015,1014,10,10,10,16,11,,0.00,2,,106<br />
2002-8-2,30,28,26,24,23,22,84,74,62,1014,1013,1012,10,10,10,14,6,,0.00,4,,13<br />
2002-8-3,28,27,26,25,24,23,89,83,79,1013,1012,1011,10,10,10,13,8,,0.00,4,Rain,220<br />
2002-8-4,29,27,26,25,24,23,89,83,70,1014,1013,1012,10,10,10,11,6,,0.00,3,Rain,225<br />
2002-8-5,28,27,25,24,23,23,94,82,79,1016,1015,1014,10,10,10,24,10,48,0.00,5,Rain,123<br />
2002-8-6,29,27,25,24,24,23,94,85,74,1016,1015,1014,10,10,10,23,11,,0.00,6,Rain,102<br />
2002-8-7,30,28,26,25,24,24,89,83,74,1015,1014,1013,10,10,10,24,19,,0.00,5,,101<br />
2002-8-8,30,28,26,25,24,23,89,80,74,1014,1014,1013,10,10,10,24,19,,0.00,2,Rain,109<br />
2002-8-9,31,29,27,25,24,24,89,79,70,1014,1013,1012,10,10,10,27,21,,0.00,2,,99<br />
2002-8-10,30,28,26,26,24,24,89,82,70,1015,1014,1013,10,10,5,35,24,61,0.00,4,Rain-Thunderstorm,79<br />
2002-8-11,28,27,25,25,24,23,89,84,79,1016,1014,1013,10,10,10,29,21,,0.00,5,Rain-Thunderstorm,87<br />
2002-8-12,29,27,25,26,24,23,94,87,79,1014,1014,1012,10,9,4,27,23,45,0.00,5,Rain,96<br />
2002-8-13,30,28,25,27,25,23,94,86,74,1013,1012,1011,10,9,5,29,23,,0.00,5,Rain,90<br />
2002-8-14,30,28,26,25,24,24,89,82,70,1011,1010,1008,10,10,10,32,24,,0.00,4,Rain,64<br />
2002-8-15,29,27,25,24,24,22,89,80,74,1008,1005,999,10,10,7,45,31,85,0.00,5,Rain,43<br />
2002-8-16,27,26,25,25,24,24,100,95,84,995,976,956,8,2,0,106,71,169,0.00,7,Fog-Rain,339<br />
2002-8-17,28,27,26,26,26,24,94,90,84,1004,998,990,10,9,7,53,40,77,0.00,6,,188<br />
2002-8-18,29,27,26,26,26,25,100,89,84,1007,1005,1003,10,9,2,26,23,,0.00,6,,183<br />
2002-8-19,29,27,26,26,26,25,94,91,84,1009,1008,1006,10,10,8,26,19,,0.00,5,,208<br />
2002-8-20,30,28,26,26,24,24,100,83,70,1009,1008,1007,10,10,6,21,16,,0.00,5,,244<br />
2002-8-21,29,27,26,25,24,24,94,83,74,1009,1008,1007,10,9,6,23,16,,0.00,4,,241<br />
2002-8-22,30,28,26,25,24,24,94,81,70,1012,1010,1009,10,10,10,16,14,,0.00,6,,243<br />
2002-8-23,29,27,26,25,24,24,94,85,74,1013,1012,1011,10,10,10,14,10,,0.00,6,,150<br />
2002-8-24,29,27,25,26,24,24,94,88,79,1013,1012,1011,10,9,4,23,13,,0.00,4,Rain,131<br />
