MMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-8-26,30,28,25,26,24,23,100,85,70,1008,1006,1004,9,8,6,19,14,37,0.00,4,,195<br />
2003-8-27,29,27,26,26,24,22,100,84,70,1010,1009,1007,10,8,2,27,8,64,0.00,4,Rain,211<br />
2003-8-28,26,24,24,25,25,24,100,97,94,1012,1009,1007,8,7,1,29,11,55,0.00,7,Rain-Thunderstorm,234<br />
2003-8-29,29,27,25,26,25,23,100,89,74,1011,1010,1008,9,8,7,14,8,27,0.00,4,,252<br />
2003-8-30,31,28,25,25,24,23,100,87,66,1011,1009,1007,9,7,4,16,6,,0.00,3,Rain,236<br />
2003-8-31,30,27,24,27,25,24,100,95,74,1010,1008,1007,10,7,1,11,5,,0.00,4,Fog-Rain-Thunderstorm,249<br />
2003-9-1,30,28,25,24,23,23,89,77,70,1010,1008,1006,10,9,7,19,11,37,0.00,4,,232<br />
2003-9-2,30,27,23,26,24,23,100,91,70,1009,1008,1006,9,7,2,19,10,37,0.00,6,Rain,245<br />
2003-9-3,30,27,24,27,25,24,100,93,74,1008,1006,1004,9,8,5,19,8,47,0.00,6,Rain,235<br />
2003-9-4,27,26,24,26,24,23,100,91,83,1008,1007,1005,9,8,6,19,10,27,0.00,7,Rain,223<br />
2003-9-5,32,27,23,26,24,23,100,82,62,1009,1006,1004,10,9,5,16,10,,0.00,4,Rain,230<br />
2003-9-6,30,27,24,26,24,24,100,94,74,1011,1008,1007,9,6,1,19,8,37,0.00,7,Rain-Thunderstorm,240<br />
2003-9-7,30,28,25,26,25,23,100,89,74,1010,1008,1005,9,7,1,13,6,,0.00,7,Rain-Thunderstorm,241<br />
2003-9-8,29,26,23,27,26,23,100,97,84,1007,1005,1003,9,5,1,14,6,,0.00,7,Rain-Thunderstorm,258<br />
2003-9-9,30,28,25,27,26,25,100,94,84,1006,1002,1000,10,7,1,27,10,47,0.00,5,Fog-Rain-Thunderstorm,257<br />
2003-9-10,32,28,25,26,25,24,100,91,66,1005,1003,1002,10,8,4,19,11,37,0.00,4,,241<br />
2003-9-11,31,27,23,29,25,23,100,96,70,1007,1005,1004,9,7,4,19,8,27,0.00,7,Rain,225<br />
2003-9-12,30,27,24,26,25,24,100,89,74,1007,1006,1003,10,7,5,14,8,,0.00,7,Rain,211<br />
2003-9-13,28,26,24,27,25,24,100,99,94,1008,1005,1004,8,7,6,14,6,34,0.00,7,Rain-Thunderstorm,247<br />
2003-9-14,26,24,24,25,24,24,100,99,94,1008,1006,1005,8,7,3,14,8,27,0.00,7,Rain,249<br />
2003-9-15,29,27,25,26,25,25,100,98,84,1008,1007,1005,9,7,3,19,5,,0.00,7,Rain-Thunderstorm,96<br />
2003-9-16,26,26,25,26,25,25,100,99,94,1009,1008,1007,9,7,5,11,5,,0.00,7,Rain-Thunderstorm,96<br />
2003-9-17,30,27,24,27,26,24,100,95,74,1011,1008,1006,9,7,4,14,6,34,0.00,6,Rain,214<br />
2003-9-18,30,27,24,27,26,24,100,97,84,1011,1009,1007,9,5,1,19,6,37,0.00,6,Fog-Rain,51<br />
2003-9-19,30,27,24,27,25,23,100,90,70,1011,1009,1007,9,8,4,13,6,,0.00,3,Rain,256<br />
2003-9-20,33,29,26,25,24,14,94,71,37,1010,1009,1006,10,9,7,11,6,,0.00,2,,236<br />
2003-9-21,31,28,26,27,26,24,100,87,70,1013,1009,1006,9,8,2,14,6,27,0.00,4,Fog-Rain,254<br />
2003-9-22,31,28,26,27,26,24,100,87,70,1010,1008,1006,9,7,3,14,8,27,0.00,5,Rain-Thunderstorm,205<br />
2003-9-23,29,27,25,26,26,24,100,92,74,1010,1008,1006,9,8,5,14,6,27,0.00,5,Rain,157<br />
2003-9-24,30,28,25,27,26,24,100,91,74,1012,1008,1004,9,7,0,10,3,,0.00,3,Fog-Rain-Thunderstorm,168<br />
2003-9-25,33,29,25,27,25,24,100,77,62,1012,1008,1005,10,8,0,11,5,,0.00,3,Fog,253<br />
2003-9-26,33,29,25,27,26,24,100,79,59,1010,1008,1006,10,7,0,14,6,,0.00,3,Fog,79<br />
2003-9-27,32,29,26,26,25,23,94,79,62,1010,1007,1005,9,9,7,14,6,,0.00,2,,238<br />
2003-9-28,33,29,26,27,25,24,94,78,59,1009,1007,1004,10,9,7,11,5,,0.00,1,Rain,242<br />
2003-9-29,33,29,25,27,26,24,100,88,71,1009,1006,1003,9,8,4,11,6,,0.00,3,,273<br />
2003-9-30,33,30,27,28,26,25,100,82,70,1008,1006,1004,10,8,5,19,8,37,0.00,3,,173<br />
2003-10-1,28,27,25,27,26,23,100,96,89,1009,1007,1005,9,7,1,19,8,37,0.00,5,Rain-Thunderstorm,19<br />
2003-10-2,33,29,25,27,25,24,100,83,62,1009,1007,1005,10,9,0,14,6,,0.00,2,Fog,79<br />
2003-10-3,33,29,25,27,25,24,100,77,59,1011,1009,1006,10,9,7,14,6,,0.00,3,,107<br />
2003-10-4,34,29,25,26,24,22,100,73,49,1010,1008,1007,10,9,7,19,8,37,0.00,2,,79<br />
2003-10-5,34,30,26,26,24,22,94,70,52,1010,1008,1006,10,9,6,19,8,37,0.00,3,,155<br />
2003-10-6,33,30,27,27,26,24,94,79,59,1011,1009,1006,10,9,7,14,5,,0.00,2,,182<br />
2003-10-7,30,28,25,27,26,25,100,95,74,1012,1009,1007,9,8,2,10,6,,0.00,5,Rain,257<br />
2003-10-8,31,28,26,28,26,24,100,87,70,1011,1009,1007,10,8,5,14,6,27,0.00,3,Rain,240<br />
2003-10-9,31,28,26,27,26,24,100,87,70,1011,1008,1003,9,7,0,10,5,,0.00,3,Fog-Rain,268<br />
2003-10-10,32,29,26,27,26,23,94,81,66,1010,1009,1007,10,9,8,16,5,27,0.00,1,,268<br />
2003-10-11,35,30,25,27,25,22,100,72,49,1010,1008,1005,10,9,4,10,5,,0.00,2,,257<br />
2003-10-12,34,30,27,27,26,24,94,80,56,1009,1008,1005,10,9,7,14,6,27,0.00,2,,281<br />
2003-10-13,34,30,27,27,26,22,94,76,62,1010,1008,1006,10,9,4,8,5,,0.00,2,,280<br />
2003-10-14,39,32,25,26,25,23,100,81,45,1011,1009,1006,9,8,7,16,8,27,0.00,4,Rain,68<br />
2003-10-15,31,28,26,26,25,23,94,83,70,1012,1010,1008,9,8,6,19,10,37,0.00,5,Rain-Thunderstorm,250<br />
2003-10-16,34,29,25,25,23,20,100,71,49,1013,1011,1009,10,9,7,19,8,37,0.00,1,,91<br />
2003-10-17,32,28,25,26,25,23,100,83,66,1013,1010,1008,10,8,5,14,6,27,0.00,3,Rain,288<br />
2003-10-18,33,29,25,27,25,23,100,85,66,1012,1010,1008,10,8,6,14,5,,0.00,1,,288<br />
2003-10-19,33,29,25,25,24,22,100,73,52,1012,1009,1007,10,9,7,11,8,,0.00,1,Rain,269<br />
2003-10-20,34,29,25,26,25,21,100,79,56,1012,1010,1007,10,8,0,19,8,,0.00,2,Fog,18<br />
2003-10-21,33,28,24,26,24,23,100,78,59,1013,1010,1008,10,8,2,19,8,37,0.00,3,Rain-Thunderstorm,262<br />
2003-10-22,34,30,26,26,24,16,94,75,38,1014,1012,1009,10,9,7,14,6,,0.00,2,,322<br />
2003-10-23,34,29,25,26,24,23,94,75,52,1015,1011,1008,10,8,6,11,6,,0.00,3,,155<br />
2003-10-24,33,29,25,26,24,22,94,78,52,1012,1010,1007,10,8,7,14,6,,0.00,2,,53<br />
2003-10-25,34,29,25,25,23,21,100,64,46,1010,1009,1007,10,9,5,13,8,,0.00,3,,53<br />
2003-10-26,34,29,25,26,25,24,100,78,59,1011,1010,1009,9,6,1,16,6,,0.00,2,Fog,59<br />
2003-10-27,32,29,26,25,25,24,94,77,66,1014,1012,1010,9,7,3,13,6,,0.00,3,Rain,249<br />
2003-10-28,33,28,24,26,24,22,100,78,52,1015,1014,1011,10,8,3,14,6,,0.00,1,,35<br />
2003-10-29,33,28,24,27,23,21,100,68,49,1015,1012,1009,10,9,5,13,5,,0.00,2,,3<br />
2003-10-30,33,29,25,26,24,23,94,77,59,1012,1010,1008,10,8,5,11,5,,0.00,3,,9<br />
2003-10-31,33,29,25,27,24,22,100,79,52,1013,1009,1007,9,7,3,10,5,,0.00,2,Rain,225<br />
2003-11-1,33,29,25,25,24,22,100,78,52,1013,1011,1008,10,7,2,13,6,,0.00,1,,5<br />
2003-11-2,33,29,26,26,24,22,100,75,52,1014,1011,1009,10,8,4,14,6,,0.00,1,Thunderstorm,307<br />
2003-11-3,34,29,25,26,24,22,100,80,52,1012,1011,1009,10,7,2,11,5,,0.00,1,,339<br />
2003-11-4,35,30,25,28,24,22,100,70,52,1014,1011,1007,9,8,7,11,5,,0.00,2,,321<br />
2003-11-5,34,29,25,26,23,22,89,70,49,1013,1010,1008,10,8,7,11,5,,0.00,1,,37<br />
2003-11-6,35,30,25,25,23,19,94,70,43,1012,1010,1009,10,8,4,10,3,,0.00,1,,11<br />
2003-11-7,35,29,24,24,22,18,94,67,41,1010,1009,1008,10,8,0,10,5,,0.00,1,Fog,308<br />
2003-11-8,35,29,23,24,21,13,94,60,29,1012,1009,1007,10,9,7,11,6,,0.00,1,,328<br />
2003-11-9,35,28,22,23,19,17,88,56,38,1011,1009,1008,10,9,7,8,5,,0.00,1,,347<br />
2003-11-10,34,28,22,27,19,15,94,60,32,1013,1011,1009,9,8,5,11,5,,0.00,0,,3<br />
2003-11-11,34,27,21,21,18,17,94,60,38,1013,1011,1010,10,9,8,11,6,,0.00,1,,9<br />
2003-11-12,35,29,23,23,21,19,83,62,41,1013,1011,1008,10,8,7,19,8,,0.00,1,,38<br />
2003-11-13,31,27,24,23,21,20,89,74,52,1014,1012,1010,9,8,7,19,6,34,0.00,1,,29<br />
2003-11-14,34,29,24,23,21,18,94,63,38,1014,1013,1012,10,9,6,13,6,,0.00,2,,342<br />
2003-11-15,35,28,22,23,21,19,83,64,47,1014,1011,1010,10,9,8,11,6,,0.00,1,,323<br />
2003-11-16,35,29,23,23,20,16,89,60,32,1013,1010,1007,10,9,8,10,5,,0.00,1,,334<br />
2003-11-17,34,28,23,27,21,19,84,69,43,1012,1010,1007,10,8,7,11,5,,0.00,1,,337<br />
2003-11-18,35,28,22,22,19,16,88,55,32,1012,1012,1011,10,8,7,13,8,,0.00,1,,299<br />
2003-11-19,34,27,20,22,19,18,100,67,43,1013,1011,1009,10,9,5,10,5,,0.00,2,,313<br />
2003-11-20,33,27,20,19,18,16,94,64,38,1012,1010,1007,6,5,5,11,5,,0.00,,,285<br />
2003-11-21,33,27,20,22,19,16,100,69,38,1014,1012,1010,8,4,0,10,5,,0.00,4,Fog,34<br />
2003-11-22,33,27,21,22,18,16,94,59,38,1015,1014,1013,8,7,3,13,8,,0.00,1,,8<br />
2003-11-23,34,27,21,22,19,17,94,61,38,1015,1013,1011,10,9,8,14,6,,0.00,2,,38<br />
2003-11-24,34,28,22,22,19,16,94,68,34,1016,1014,1011,9,8,8,10,5,,0.00,1,,29<br />
2003-11-25,34,27,21,20,18,15,94,63,34,1015,1013,1010,9,7,7,13,6,,0.00,1,,342<br />
2003-11-26,34,27,21,21,18,16,94,60,34,1014,1012,1010,10,8,6,11,5,,0.00,2,,353<br />
2003-11-27,34,28,22,23,20,16,83,65,46,1010,1010,1010,10,9,7,14,6,,0.00,3,,80<br />
2003-11-28,33,28,24,24,22,20,89,73,49,1012,1011,1008,10,8,4,13,6,,0.00,2,,279<br />
2003-11-29,33,28,23,24,22,19,88,73,43,1014,1012,1010,10,7,4,14,6,27,0.00,1,,179<br />
2003-11-30,33,27,22,23,21,18,94,66,43,1015,1012,1010,10,8,4,13,5,,0.00,2,,304<br />
2003-12-1,33,28,23,23,21,18,89,68,43,1014,1013,1010,10,8,5,14,5,,0.00,3,,16<br />
2003-12-2,33,27,21,23,20,16,94,68,38,1018,1012,1009,9,8,4,16,6,,0.00,3,,47<br />
2003-12-3,33,27,21,21,19,17,94,68,43,1013,1012,1009,10,8,5,14,6,,0.00,2,,62<br />
2003-12-4,31,26,20,20,18,15,94,60,38,1012,1011,1008,10,9,3,10,6,,0.00,1,,29<br />
2003-12-5,32,26,19,20,19,17,94,70,43,1014,1013,1011,10,8,4,11,5,,0.00,3,,27<br />
2003-12-6,34,27,21,25,20,17,94,64,38,1015,1011,1008,10,8,4,13,8,,0.00,2,,103<br />
2003-12-7,34,27,20,20,18,14,100,64,33,1014,1012,1009,9,8,5,13,8,,0.00,3,,47<br />
2003-12-8,33,27,20,22,19,16,88,60,38,1014,1011,1009,10,9,5,14,8,27,0.00,2,,27<br />
2003-12-9,33,27,21,21,19,17,94,68,38,1014,1013,1010,10,9,7,14,6,,0.00,2,,42<br />
2003-12-10,33,27,21,23,19,18,94,62,43,1015,1012,1009,10,9,7,19,5,,0.00,1,,25<br />
2003-12-11,33,27,22,22,19,18,88,65,43,1013,1011,1009,10,9,7,14,6,,0.00,1,,32<br />
2003-12-12,33,27,20,22,20,18,94,64,46,1014,1012,1010,10,9,8,10,6,,0.00,2,,353<br />
2003-12-13,32,26,21,22,19,17,94,69,43,1014,1012,1010,10,9,7,19,6,,0.00,1,,32<br />
2003-12-14,32,26,21,21,20,17,94,68,43,1016,1013,1010,10,9,9,14,6,,0.00,1,,49<br />
2003-12-15,32,26,20,20,17,12,88,66,31,1014,1012,1010,10,8,7,14,8,,0.00,3,,47<br />
2003-12-16,30,26,21,19,16,12,83,57,33,1014,1012,1009,10,8,5,19,8,27,0.00,1,,47<br />
2003-12-17,32,26,19,19,16,14,94,63,33,1013,1012,1011,10,6,3,14,5,,0.00,1,,94<br />
2003
