AFT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-7-13,32,24,18,2,-1,-4,32,17,12,1013,1011,1009,10,10,8,34,11,,0.00,1,,347<br />
2002-7-14,33,26,19,0,-3,-6,24,14,9,1012,1010,1008,10,10,8,29,13,50,0.00,2,,352<br />
2002-7-15,34,26,18,2,-2,-4,30,16,10,1012,1010,1008,10,10,7,24,10,37,0.00,1,,4<br />
2002-7-16,34,27,19,4,-1,-4,32,16,9,1013,1011,1009,10,10,8,40,11,60,0.00,2,,353<br />
2002-7-17,34,26,18,5,-1,-4,29,16,10,1014,1012,1009,10,10,8,27,14,48,0.00,0,,351<br />
2002-7-18,35,27,19,9,2,-4,43,21,9,1016,1013,1010,10,10,10,24,6,,0.00,0,,355<br />
2002-7-19,35,27,19,12,3,-3,56,25,9,1015,1013,1010,10,10,7,50,10,84,0.00,0,,324<br />
2002-7-20,33,28,24,4,0,-2,24,16,11,1013,1011,1008,10,9,3,52,27,76,0.00,0,,350<br />
2002-7-21,31,26,20,4,1,-3,33,20,12,1011,1008,1005,10,8,3,50,21,87,0.00,0,,338<br />
2002-7-22,31,24,18,1,-5,-10,32,14,8,1009,1007,1005,10,9,5,52,23,72,0.00,0,,349<br />
2002-7-23,32,23,14,13,-5,-13,57,18,5,1012,1010,1007,10,10,6,13,6,,0.00,0,,16<br />
2002-7-24,31,24,19,13,9,0,60,38,15,1011,1009,1007,10,9,5,29,10,55,0.00,2,Thunderstorm,26<br />
2002-7-25,33,26,18,10,6,-1,59,31,15,1010,1008,1006,10,9,6,29,6,50,0.00,2,,13<br />
2002-7-26,34,26,17,9,0,-6,59,22,8,1010,1008,1005,10,10,6,32,10,61,0.00,0,,355<br />
2002-7-27,33,24,16,-1,-4,-7,27,15,9,1011,1009,1007,10,10,6,32,10,58,0.00,0,,338<br />
2002-7-28,32,24,18,2,-3,-6,24,14,10,1013,1011,1008,10,10,5,34,10,39,0.00,0,,354<br />
2002-7-29,32,26,21,0,-2,-3,22,16,12,1012,1010,1006,10,10,8,37,13,55,0.00,2,,351<br />
2002-7-30,30,26,21,2,-1,-2,23,18,13,1012,1010,1007,10,10,10,35,24,58,0.00,3,,356<br />
2002-7-31,30,24,19,1,-2,-3,27,17,12,1014,1012,1009,10,10,5,37,18,60,0.00,2,,354<br />
2002-8-1,32,23,16,2,-2,-4,31,18,10,1015,1013,1011,10,10,10,14,8,,0.00,0,,29<br />
2002-8-2,34,26,18,5,1,-2,35,21,11,1014,1012,1009,10,9,5,23,6,,0.00,1,,27<br />
2002-8-3,34,26,18,4,1,-1,34,18,11,1012,1010,1008,10,10,7,34,8,52,0.00,2,,351<br />
2002-8-4,34,27,19,3,-1,-5,30,16,9,1012,1010,1007,10,10,7,39,14,61,0.00,1,,1<br />
2002-8-5,34,26,18,9,0,-6,45,21,9,1012,1010,1007,10,9,5,29,8,52,0.00,0,,3<br />
2002-8-6,35,27,19,16,4,-3,61,28,9,1011,1009,1007,10,9,7,21,5,,0.00,0,,55<br />
2002-8-7,34,28,22,18,16,9,78,53,21,1012,1010,1008,10,9,5,21,5,,0.00,1,,95<br />
2002-8-8,34,27,21,18,15,6,78,51,17,1012,1009,1006,10,9,6,19,3,,0.00,0,,94<br />
2002-8-9,32,26,21,18,16,11,83,54,27,1010,1008,1006,10,10,7,23,6,,0.00,1,,107<br />
2002-8-10,36,28,20,18,7,-4,83,38,9,1010,1008,1005,10,10,6,34,6,60,0.00,0,,358<br />
2002-8-11,35,28,21,2,-2,-4,25,14,9,1009,1007,1005,10,9,5,48,18,74,0.00,0,,335<br />
2002-8-12,34,28,23,1,-1,-5,22,14,9,1009,1007,1004,10,8,2,52,31,74,0.00,0,,346<br />
2002-8-13,32,26,20,15,3,1,57,23,14,1007,1006,1002,6,5,3,34,14,45,0.00,0,,338<br />
2002-8-14,27,23,19,14,9,0,68,45,26,1012,1008,1006,10,5,3,32,13,53,0.00,2,,17<br />
2002-8-15,30,23,16,12,7,-1,72,41,14,1012,1010,1008,10,9,8,14,6,,0.00,1,,98<br />
2002-8-16,33,24,16,10,6,-3,68,36,10,1011,1008,1006,10,8,6,11,5,,0.00,0,,49<br />
2002-8-17,34,24,16,14,6,-8,59,33,6,1009,1007,1005,10,8,5,21,5,,0.00,0,,99<br />
2002-8-18,33,27,20,16,11,3,78,43,18,1013,1009,1006,10,7,0,37,10,55,0.00,1,Thunderstorm,125<br />
2002-8-19,32,23,16,10,1,-10,63,25,8,1013,1011,1009,10,9,7,37,10,63,0.00,0,,4<br />
2002-8-20,33,26,18,-3,-6,-11,18,12,8,1012,1010,1008,10,8,6,42,18,85,0.00,0,,337<br />
2002-8-21,33,26,18,1,-1,-3,26,17,11,1013,1011,1008,10,10,6,32,8,,0.00,0,,319<br />
2002-8-22,33,26,19,17,8,1,69,36,17,1014,1013,1010,10,7,2,23,6,,0.00,0,,105<br />
2002-8-23,32,26,19,17,16,11,83,60,27,1018,1015,1013,10,8,4,19,3,,0.00,1,,119<br />
2002-8-24,32,24,18,16,14,9,83,55,24,1019,1017,1015,10,9,5,21,6,,0.00,0,,96<br />
2002-8-25,33,27,20,17,14,6,83,57,21,1018,1016,1013,10,9,6,32,5,,0.00,0,,62<br />
2002-8-26,32,24,18,17,12,-2,88,54,11,1018,1015,1012,10,10,7,16,3,,0.00,0,,84<br />
2002-8-27,33,26,18,17,13,1,88,53,14,1017,1015,1012,10,9,6,19,3,,0.00,1,,96<br />
2002-8-28,34,27,19,18,12,0,88,50,11,1016,1015,1012,10,9,5,26,5,,0.00,2,,77<br />
2002-8-29,34,27,19,18,13,1,88,51,12,1018,1016,1013,10,9,5,14,3,,0.00,1,,29<br />
2002-8-30,33,27,20,19,6,-5,88,39,10,1018,1016,1013,10,8,5,37,10,61,0.00,1,,347<br />
2002-8-31,32,23,16,14,4,-2,77,33,11,1018,1015,1011,10,9,7,29,6,58,0.00,0,,19<br />
2002-9-1,32,23,15,3,-1,-6,45,21,10,1017,1015,1012,10,9,6,27,6,52,0.00,0,,7<br />
2002-9-2,30,22,15,5,-2,-5,34,19,11,1018,1016,1012,10,9,6,32,10,,0.00,0,,359<br />
2002-9-3,29,21,13,0,-4,-6,33,18,10,1018,1015,1011,10,9,7,27,13,,0.00,0,,351<br />
2002-9-4,26,21,16,-4,-9,-16,24,13,7,1015,1014,1013,10,10,10,39,16,61,0.00,0,,343<br />
2002-9-5,27,19,11,-7,-12,-16,24,12,5,1017,1015,1013,10,10,6,19,8,,0.00,0,,50<br />
2002-9-6,29,20,11,-4,-13,-101,35,15,4,1017,1015,1013,10,9,5,42,8,71,0.00,0,,353<br />
2002-9-7,29,21,14,-7,-10,-13,20,12,6,1016,1014,1011,10,10,7,24,11,,0.00,0,,322<br />
2002-9-8,28,19,10,11,-4,-11,56,23,8,1016,1014,1011,10,9,5,21,5,,0.00,0,,64<br />
2002-9-9,29,22,15,11,2,-10,55,33,8,1016,1014,1011,10,10,6,14,6,,0.00,0,,9<br />
2002-9-10,28,20,13,7,-3,-11,46,24,8,1015,1014,1011,10,9,4,19,6,,0.00,0,,24<br />
2002-9-11,28,20,12,3,-6,-12,51,20,8,1018,1016,1014,10,9,4,29,6,53,0.00,0,,332<br />
2002-9-12,30,20,10,-9,-11,-13,26,12,5,1019,1016,1014,10,9,6,27,10,37,0.00,0,,322<br />
2002-9-13,31,21,12,9,-7,-11,59,18,8,1018,1015,1012,10,9,5,26,6,39,0.00,0,,315<br />
2002-9-14,32,22,13,13,6,-8,82,45,7,1019,1016,1014,10,9,4,23,6,,0.00,0,,141<br />
2002-9-15,31,23,15,11,-4,-11,72,22,7,1018,1016,1012,10,9,5,39,14,71,0.00,0,,334<br />
2002-9-16,29,22,15,-5,-7,-11,23,13,9,1018,1016,1014,10,7,2,47,19,74,0.00,0,,335<br />
2002-9-17,28,21,15,11,-2,-7,64,22,10,1016,1014,1011,10,10,6,19,10,40,0.00,0,,326<br />
2002-9-18,26,20,14,12,9,4,82,52,24,1018,1016,1014,10,9,6,29,6,,0.00,2,,43<br />
2002-9-19,26,20,15,11,8,0,72,51,18,1022,1019,1017,10,10,8,19,8,,0.00,3,Rain,91<br />
2002-9-20,28,21,14,11,3,-14,77,40,7,1023,1020,1018,10,9,6,27,6,58,0.00,0,,331<br />
2002-9-21,30,20,10,-6,-11,-14,30,13,5,1022,1020,1018,10,10,8,26,6,,0.00,0,,316<br />
2002-9-22,29,20,11,-8,-9,-11,26,13,7,1021,1019,1016,10,10,6,29,10,,0.00,0,,301<br />
2002-9-23,27,19,12,-6,-8,-10,24,15,10,1020,1017,1014,10,8,3,42,13,74,0.00,0,,330<br />
2002-9-24,25,18,11,-3,-6,-8,30,18,12,1016,1015,1012,10,9,6,37,16,63,0.00,0,,325<br />
2002-9-25,24,17,10,5,-1,-6,48,31,17,1018,1016,1013,10,9,6,32,10,,0.00,2,,88<br />
2002-9-26,24,18,12,8,3,-1,72,44,20,1021,1019,1017,10,9,7,35,10,58,0.00,3,Rain-Thunderstorm,351<br />
2002-9-27,23,17,10,7,1,-4,76,37,19,1020,1018,1016,10,9,6,16,6,,0.00,2,,296<br />
2002-9-28,24,17,9,2,-1,-3,54,32,19,1022,1020,1018,10,10,8,21,6,,0.00,2,,85<br />
2002-9-29,23,17,11,0,-2,-6,44,28,15,1022,1021,1019,10,9,7,26,8,40,0.00,2,,286<br />
2002-9-30,24,17,9,-1,-3,-6,47,28,13,1022,1021,1019,10,9,6,11,5,,0.00,0,,325<br />
2002-10-1,26,17,9,-3,-6,-10,40,23,9,1023,1021,1020,10,9,4,10,5,,0.00,0,,87<br />
2002-10-2,28,18,9,-3,-6,-11,43,23,8,1023,1021,1018,10,6,4,8,5,,0.00,0,,276<br />
2002-10-3,28,20,12,-3,-8,-11,33,16,8,1020,1019,1017,10,9,4,24,8,,0.00,1,,321<br />
2002-10-4,28,19,11,-6,-9,-13,28,15,6,1022,1019,1017,10,10,8,19,8,,0.00,0,,339<br />
2002-10-5,27,17,8,3,-4,-10,42,23,10,1022,1019,1017,10,9,6,13,5,,0.00,0,,300<br />
2002-10-6,28,19,11,3,-1,-9,54,30,8,1024,1022,1019,10,9,5,13,5,,0.00,0,,299<br />
2002-10-7,28,19,11,6,0,-8,62,34,10,1024,1022,1019,10,9,6,13,3,,0.00,0,,317<br />
2002-10-8,26,18,10,2,-3,-10,54,29,9,1024,1022,1020,10,9,5,11,5,,0.00,1,,40<br />
2002-10-9,28,19,10,3,-1,-6,62,33,10,1024,1023,1020,10,8,5,11,5,,0.00,0,,318<br />
2002-10-10,27,19,12,6,-2,-10,54,24,8,1025,1022,1021,10,9,6,10,5,,0.00,0,,164<br />
2002-10-11,27,18,9,4,-5,-9,54,27,10,1023,1020,1017,10,7,5,39,13,74,0.00,0,,338<br />
2002-10-12,25,18,10,-5,-7,-9,30,18,10,1019,1017,1014,10,9,5,24,13,42,0.00,0,,315<br />
2002-10-13,24,16,8,7,-3,-10,67,32,10,1021,1018,1016,10,9,5,23,6,,0.00,0,,81<br />
2002-10-14,24,16,8,6,1,-8,82,43,11,1022,1020,1017,10,9,5,14,6,,0.00,0,,291<br />
2002-10-15,23,16,9,3,2,1,66,42,23,1022,1020,1019,10,9,6,19,6,,0.00,2,,57<br />
2002-10-16,24,17,9,5,3,-2,66,45,18,1022,1020,1017,10,8,3,26,6,40,0.00,4,Rain-Thunderstorm,302<br />
2002-10-17,23,14,6,4,-3,-10,81,37,10,1021,1019,1017,10,9,5,26,6,,0.00,1,,310<br />
2002-10-18,24,16,8,-4,-7,-9,32,21,11,1020,1018,1016,10,8,2,42,18,63,0.00,0,,325<br />
2002-10-19,21,14,8,-3,-6,-8,43,26,14,1019,1017,1015,10,9,6,29,10,52,0.00,0,,325<br />
2002-10-20,21,13,5,5,-3,-6,51,31,18,1020,1018,1016,10,9,6,19,6,,0.00,1,,58<br />
2002-10-21,16,12,8,4,2,2,66,50,39,1023,1021,1019,10,9,7,16,8,,0.00,5,,259<br />
2002-10-22,20,13,6,3,1,-3,76,46,24,1022,1020,1018,10,9,5,11,5,,0.00,1,,306<br />
2002-10-23,21,13,7,1,-4,-8,57,33,14,1021,1019,1017,10,9,4,19,8,,0.00,1,,313<br />
2002-10-24,21,13,5,0,-3,-6,49,32,18,1022,1020,1019,10,9,5,11,5,,0.00,0,,114<br />
2002-10-25,21,13,5,1,-2,-7,65,37,16,1025,1023,1020,10,9,6,10,5,,0.00,1,,294<br />
2002-10-26,21,13,7,-3,-6,-9,49,26,13,1024,1022,1020,10,9,5,16,5,,0.00,1,,278<br />
2002-10-27,22,14,7,-6,-7,-9,37,23,13,1022,1020,1017,10,9,5,24,6,,0.00,0,,321<br />
2002-10-28,22,13,4,-6,-8,-13,42,24,10,1019,1017,1014,10,7,2,14,6,,0.00,0,,185<br />
2002-10-29,21,12,4,-1,-7,-10,45,28,12,1019,1017,1016,10,8,3,11,5,,0.00,0,,353<br />
2002-10-30,21,13,5,-2,-4,-6,53,33,16,1022,1020,1018,10,7,3,10,5,,0.00,0,,276<br />
2002-10-31,22,13,4,0,-6,-12,65,31,12,1023,1021,1019,10,7,3,32,6,42,0.00,0,,294<br />
2002-11-1,22,14,7,-9,-11,-13,29,19,10,1025,1022,1020,10,9,3,14,6,,0.00,0,,289<br />
2002-11-2,21,13,5,-8,-12,-13,39,20,10,1025,1023,1021,10,7,3,10,5,,0.00,0,,278<br />
2002-11-3,20,12,4,-3,-9,-13,42,24,12,1025,1022,1020,10,7,3,11,3,,0.00,3,,252<br />
2002-11-4,20,12,5,2,-1,-4,65,42,24,1024,1022,1019,10,9,5,13,5,,0.00,4,,45<br />
